DateTime,Entries,UniqueIPs
1453611988,0,0
1453615475,0,0
1453619111,0,0
1453622691,0,0
1453626325,0,0
1453629868,0,0
1453633576,0,0
1453637132,0,0
1453640762,0,0
1453644271,0,0
1453647957,0,0
1453651554,0,0
1453655089,0,0
1453658660,0,0
1453662269,0,0
1453665923,0,0
1453669524,0,0
1453673059,0,0
1453676716,0,0
1453680384,0,0
1453683906,0,0
1453687464,0,0
1453691194,0,0
1453694738,0,0
1453698257,0,0
1453701903,0,0
1453705494,0,0
1453709074,0,0
1453712682,0,0
1453716262,0,0
1453719912,0,0
1453723459,0,0
1453727071,0,0
1453730657,0,0
1453734246,0,0
1453737884,0,0
1453741465,0,0
1453745103,0,0
1455631590,1,1
1456002295,0,0
1456005979,1,1
1457928465,2,2
1457978793,1,1
1457989577,2,2
1458004026,1,1
1458065188,2,2
1458079582,1,1
1458083211,2,2
1458104849,1,1
1458115635,2,2
1458129982,1,1
1458133578,2,2
1458148009,1,1
1458176780,2,2
1458191202,1,1
1458198405,2,2
1458219994,1,1
1458259715,2,2
1458295604,1,1
1459094679,0,0
1464228512,1,1
1464249905,0,0
1464278876,1,1
1464314685,0,0
1464318429,1,1
1464339925,0,0
1464350857,1,1
1464365085,0,0
1464372439,1,1
1464447942,0,0
1464473274,1,1
1464527089,0,0
1464534561,1,1
1464570294,0,0
1464607802,1,1
1464635055,0,0
1464638878,1,1
1464671074,0,0
1464678418,1,1
1464692691,0,0
1464700052,1,1
1464717898,0,0
1464721667,1,1
1464735874,0,0
1464779219,1,1
1464807912,0,0
1464815235,1,1
1464829497,0,0
1464872817,1,1
1464901489,0,0
1464962815,1,1
1464977067,0,0
1465002467,1,1
1465016679,0,0
1465020419,1,1
1465038292,0,0
1465045620,1,1
1465074316,0,0
1465085154,1,1
1465099480,0,0
1465153613,1,1
1465167917,0,0
1465186056,1,1
1465200278,0,0
1465204020,1,1
1465218259,0,0
1465225612,1,1
1465239888,0,0
1465254470,1,1
1465272248,0,0
1465276010,1,1
1465290254,0,0
1465297636,1,1
1465311894,0,0
1465326437,1,1
1465340827,0,0
1465358882,1,1
1465376673,0,0
1465434438,1,1
1465448688,0,0
1465456076,1,1
1465470273,0,0
1465492042,1,1
1465506280,0,0
1465531652,1,1
1465545911,0,0
1465556837,1,1
1465571086,0,0
1465578419,1,1
1465610864,0,0
1465621662,1,1
1465635911,0,0
1465733202,1,1
1465747489,0,0
1465762062,1,1
1465783616,0,0
1465812443,1,1
1465826683,0,0
1465880852,1,1
1465909474,0,0
1465967281,1,1
1465981589,0,0
1466006811,1,1
1466021135,0,0
1466071650,1,1
1466085875,0,0
1466118495,1,1
1466132717,0,0
1466168818,1,1
1466183074,0,0
1466237235,1,1
1466251469,0,0
1466287633,1,1
1466309147,0,0
1466323615,1,1
1466337866,0,0
1466366841,1,1
1466384666,0,0
1466406461,1,1
1466420690,0,0
1466424459,1,1
1466438692,0,0
1466464031,1,1
1466496272,0,0
1466536021,1,1
1466564672,0,0
1466611637,1,1
1466625893,0,0
1466676412,1,1
1466690669,0,0
1466716011,1,1
1466784291,0,0
1466834825,1,1
1466849121,0,0
1466870869,1,1
1466895940,0,0
1466986082,1,1
1467021950,0,0
1467202004,1,1
1467216288,0,0
1467223673,1,1
1467237942,0,0
1467256081,1,1
1467281094,0,0
1467295636,1,1
1467309883,0,0
1467346036,1,1
1467360267,0,0
1467425242,1,1
1467453924,0,0
1467547633,1,1
1467565484,0,0
1467576437,1,1
1467601486,0,0
1467630440,1,1
