DateTime,AddedIPs,RemovedIPs
1453521835,0,1
1453529023,0,1
1453532681,2,0
1453575822,0,1
1453579397,1,0
1453619025,0,1
1453622601,1,0
1453680293,0,1
1453683820,1,0
1453701817,0,1
1453705405,1,0
1453780995,0,1
1453791772,1,0
1453896173,0,1
1453906957,1,0
1453975414,0,1
1453982628,1,0
1454076282,1,0
1454087021,0,1
1454094216,1,0
1454130164,0,2
1454133803,2,0
1454192256,0,1
1454199452,1,0
1454220165,0,1
1454227489,1,0
1454288706,0,1
1454292211,1,0
1454306584,0,1
1454324599,1,0
1454346162,0,1
1454353366,1,0
1454367771,0,1
1454371368,1,0
1454486539,0,1
1454493765,1,0
1454738555,0,1
1454749433,1,0
1454778151,0,1
1454781790,1,0
1454886201,0,1
1454889910,1,0
1454922162,0,1
1454943753,1,0
1455012158,0,1
1455019351,1,0
1455134608,0,1
1455138208,1,0
1455328957,0,1
1455332587,1,0
1455364952,0,1
1455368586,1,0
1455400991,0,1
1455404565,1,0
1455433384,0,1
1455436961,1,0
1455476543,0,1
1455480207,1,0
1455541374,0,1
1455544957,1,0
1455606150,0,1
1455613422,1,0
1455627756,0,1
1455642142,1,0
1455706979,0,1
1455714175,1,0
1455883352,0,1
1455894154,1,0
1455908582,0,1
1455912159,1,0
1455969794,0,1
1455980676,1,0
1455998558,0,1
1456002197,0,1
1456005756,2,0
1456059754,0,1
1456063362,0,1
1456066955,0,1
1456121109,0,1
1456124590,1,0
1456138962,0,1
1456146187,1,0
1456160553,0,1
1457536278,1,0
1457543362,0,1
1457654938,0,1
1457665652,1,0
1457690566,0,1
1457697788,1,0
1457956927,0,1
1459753392,1,0
1460502196,1,0
1460516555,0,1
1460523773,1,0
1460541793,0,1
1460545359,1,0
1460559767,0,1
1460563360,1,0
1460588565,0,1
1460624589,1,0
1460635378,0,1
1463580219,1,0
1463590969,0,1
1464750130,0,1
1464768157,1,0
1464811341,0,1
1464818683,1,0
1464858153,0,1
1464861796,1,0
1464894130,0,1
1464905035,1,0
1464919456,0,1
1464941046,1,0
1464955351,0,1
1464958953,1,0
1464973381,1,1
1464987756,1,0
1465016575,0,1
1465031022,1,0
1465070559,0,1
1465081432,1,0
1465124557,0,1
1465164227,1,0
1465178581,0,1
1465182155,1,0
1465207371,0,1
1465239750,1,0
1465254221,0,1
1465261373,1,0
1465275762,0,1
1465311762,1,0
1465326186,0,1
1465344178,1,0
1465362261,0,1
1465365772,1,0
1465416253,0,1
1465430605,1,0
1465462967,0,1
1465473761,1,0
1465495408,0,1
1465502581,1,0
1465517102,0,1
1465542174,1,0
1465556600,0,1
1465596174,1,0
1465610714,0,1
1465621422,1,0
1465635810,0,1
1465657379,1,0
1465671828,0,1
1465675367,1,0
1465704176,0,1
1465761819,1,0
1465783504,0,1
1465794239,1,0
1465808611,0,1
1465826583,1,0
1465855373,0,1
1465876964,0,1
1465880582,1,0
1465913025,1,0
1465927391,0,1
1465981489,1,0
1465995771,0,1
1466024630,1,0
1466039034,0,1
1466071409,1,0
1466085766,0,1
1466136298,1,0
1466150630,0,1
1466208195,1,0
1466222573,0,1
1466272999,1,0
1466287379,0,1
1466291026,1,0
1466305373,0,1
1466344956,1,0
1466359408,0,1
1466377374,1,0
1466398994,0,1
1466402698,1,0
1466417010,0,1
1466427766,1,0
1466442215,0,1
1466456563,1,0
1466470973,0,1
1466546641,1,0
1466571803,0,1
1466589818,1,0
1466604165,0,1
1466622220,1,0
1466650970,0,1
1466658291,1,0
1466672643,0,1
1466679847,1,0
1466694182,0,1
1466733814,1,0
1466748162,0,1
1466769848,1,0
1466784184,0,1
1466798558,1,0
1466812934,0,1
1466816710,1,0
1466830989,0,1
1466841757,1,0
1466863362,0,1
1466881382,1,0
1466931772,0,1
1466953357,1,0
1466982181,0,1
1467057814,1,0
1467083021,0,1
1467104571,1,0
1467111854,0,1
1467115367,1,0
1467173043,0,1
1467205427,1,0
1467277360,0,1
1467298968,1,0
1467349376,0,1
1467360157,1,0
1467374597,0,1
1467421386,1,0
1467450226,0,1
1467453824,1,0
1467468163,0,1
1467500590,1,0
1467515018,0,1
1467547362,1,0
1467572626,0,1
1467594252,1,0
1467619362,0,1
1467630171,1,0
1467644560,0,1
1467658953,1,0
1467695002,0,1
1467713018,0,1
1467720192,1,0
1467756312,1,0
