DateTime,Entries,UniqueIPs
1453694650,4,4
1453698162,4,4
1453701817,3,3
1453705405,4,4
1453708986,4,4
1453712592,4,4
1453716181,4,4
1453719824,4,4
1453723372,4,4
1453726982,4,4
1453730570,4,4
1453734161,4,4
1453737798,4,4
1453741377,4,4
1453745016,4,4
1453780995,3,3
1453791772,4,4
1453896173,3,3
1453906957,4,4
1453975414,3,3
1453982628,4,4
1454076282,5,5
1454087021,4,4
1454094216,5,5
1454130164,3,3
1454133803,5,5
1454192256,4,4
1454199452,5,5
1454220165,4,4
1454227489,5,5
1454288706,4,4
1454292211,5,5
1454306584,4,4
1454324599,5,5
1454346162,4,4
1454353366,5,5
1454367771,4,4
1454371368,5,5
1454486539,4,4
1454493765,5,5
1454738555,4,4
1454749433,5,5
1454778151,4,4
1454781790,5,5
1454886201,4,4
1454889910,5,5
1454922162,4,4
1454943753,5,5
1455012158,4,4
1455019351,5,5
1455134608,4,4
1455138208,5,5
1455328957,4,4
1455332587,5,5
1455364952,4,4
1455368586,5,5
1455400991,4,4
1455404565,5,5
1455433384,4,4
1455436961,5,5
1455476543,4,4
1455480207,5,5
1455541374,4,4
1455544957,5,5
1455606150,4,4
1455613422,5,5
1455627756,4,4
1455642142,5,5
1455706979,4,4
1455714175,5,5
1455883352,4,4
1455894154,5,5
1455908582,4,4
1455912159,5,5
1455969794,4,4
1455980676,5,5
1455998558,4,4
1456002197,3,3
1456005756,5,5
1456059754,4,4
1456063362,3,3
1456066955,2,2
1456121109,1,1
1456124590,2,2
1456138962,1,1
1456146187,2,2
1456160553,1,1
1457536278,2,2
1457543362,1,1
1457654938,0,0
1457665652,1,1
1457690566,0,0
1457697788,1,1
1457956927,0,0
1459753392,1,1
1460502196,2,2
1460516555,1,1
1460523773,2,2
1460541793,1,1
1460545359,2,2
1460559767,1,1
1460563360,2,2
1460588565,1,1
1460624589,2,2
1460635378,1,1
1463580219,2,2
1463590969,1,1
1464750130,0,0
1464768157,1,1
1464811341,0,0
1464818683,1,1
1464858153,0,0
1464861796,1,1
1464894130,0,0
1464905035,1,1
1464919456,0,0
1464941046,1,1
1464955351,0,0
1464958953,1,1
1464973381,1,1
1464987756,2,2
1465016575,1,1
1465031022,2,2
1465070559,1,1
1465081432,2,2
1465124557,1,1
1465164227,2,2
1465178581,1,1
1465182155,2,2
1465207371,1,1
1465239750,2,2
1465254221,1,1
1465261373,2,2
1465275762,1,1
1465311762,2,2
1465326186,1,1
1465344178,2,2
1465362261,1,1
1465365772,2,2
1465416253,1,1
1465430605,2,2
1465462967,1,1
1465473761,2,2
1465495408,1,1
1465502581,2,2
1465517102,1,1
1465542174,2,2
1465556600,1,1
1465596174,2,2
1465610714,1,1
1465621422,2,2
1465635810,1,1
1465657379,2,2
1465671828,1,1
1465675367,2,2
1465704176,1,1
1465761819,2,2
1465783504,1,1
1465794239,2,2
1465808611,1,1
1465826583,2,2
1465855373,1,1
1465876964,0,0
1465880582,1,1
1465913025,2,2
1465927391,1,1
1465981489,2,2
1465995771,1,1
1466024630,2,2
1466039034,1,1
1466071409,2,2
1466085766,1,1
1466136298,2,2
1466150630,1,1
1466208195,2,2
1466222573,1,1
1466272999,2,2
1466287379,1,1
1466291026,2,2
1466305373,1,1
1466344956,2,2
1466359408,1,1
1466377374,2,2
1466398994,1,1
1466402698,2,2
1466417010,1,1
1466427766,2,2
1466442215,1,1
1466456563,2,2
1466470973,1,1
1466546641,2,2
1466571803,1,1
1466589818,2,2
1466604165,1,1
1466622220,2,2
1466650970,1,1
1466658291,2,2
1466672643,1,1
1466679847,2,2
1466694182,1,1
1466733814,2,2
1466748162,1,1
1466769848,2,2
1466784184,1,1
1466798558,2,2
1466812934,1,1
1466816710,2,2
1466830989,1,1
1466841757,2,2
1466863362,1,1
1466881382,2,2
1466931772,1,1
1466953357,2,2
1466982181,1,1
1467057814,2,2
1467083021,1,1
1467104571,2,2
1467111854,1,1
1467115367,2,2
1467173043,1,1
1467205427,2,2
1467277360,1,1
1467298968,2,2
1467349376,1,1
1467360157,2,2
1467374597,1,1
1467421386,2,2
1467450226,1,1
1467453824,2,2
1467468163,1,1
1467500590,2,2
1467515018,1,1
1467547362,2,2
1467572626,1,1
1467594252,2,2
1467619362,1,1
1467630171,2,2
1467644560,1,1
1467658953,2,2
1467695002,1,1
1467713018,0,0
1467720192,1,1
1467756312,2,2
1467777893,1,1
1467835361,2,2
1467849770,1,1
1467857141,2,2
1467885775,1,1
1467918155,2,2
1467954316,1,1
1467979377,2,2
1467993826,1,1
1468001040,2,2
1468026315,1,1
1468058556,2,2
1468080237,1,1
1468098237,2,2
1468112713,1,1
1468134187,2,2
1468148564,1,1
1468177353,2,2
1468206164,1,1
1468253169,2,2
1468288987,1,1
1468296304,2,2
1468310565,1,1
1468317763,2,2
1468350188,1,1
1468425767,0,0
1468433098,1,1
1468468944,0,0
1468472705,1,1
1468497739,0,0
1468508644,1,1
1468522953,0,0
1468537380,1,1
1468591424,0,0
1468605792,1,1
1468641811,0,0
1468652577,1,1
1468674128,0,0
1468713802,1,1
1468749736,0,0
1468760584,1,1
1468774918,0,0
1468897457,1,1
1468911744,0,0
1468940628,1,1
1468976605,0,0
1469023376,1,1
1469037765,0,0
1469070225,1,1
1469084575,0,0
1469095374,1,1
1469109775,0,0
1469134969,1,1
1469149338,0,0
1469174622,1,1
1469188964,0,0
1469235758,1,1
1469250139,0,0
1469253767,1,1
1469268146,0,0
1469293363,1,1
1469307733,0,0
1469332966,1,1
1469354612,0,0
1469376167,1,1
1469390598,0,0
1469394214,1,1
1469419355,0,0
1469437416,1,1
1469451730,0,0
1469458985,1,1
1469473338,0,0
1469487789,1,1
1469509374,0,0
1469527435,1,1
1469541726,0,0
1469545389,1,1
1469559753,0,0
1469577798,1,1
1469602928,0,0
1469606592,1,1
1469621088,0,0
1469631771,1,1
1469649732,0,0
1469656989,1,1
1469671469,0,0
1469761376,1,1
1469775739,0,0
1469815434,1,1
1469833363,0,0
1469858568,1,1
1469872954,0,0
1469876583,1,1
1469890993,0,0
1469930584,1,1
1469944955,0,0
1469973778,1,1
1470034941,0,0
1470092557,1,1
1470121336,0,0
1470128569,1,1
1470150148,0,0
1470160984,1,1
1470175468,0,0
1470222176,1,1
1470240153,0,0
1470269053,1,1
1470290618,0,0
1470301355,1,1
1470330140,0,0
1470351807,1,1
1470369802,0,0
1470387784,1,1
1470423822,0,0
1470452744,1,1
