DateTime,Entries,UniqueIPs
1471195015,238,238
1471198594,238,238
1471202204,236,236
1471205786,243,243
1471209366,243,243
1471213111,238,238
1471216571,237,237
1471220351,270,270
1471223851,272,272
1471227465,278,278
1471230986,257,257
1471234651,255,255
1471238320,253,253
1471241821,252,252
1471245387,252,252
1471249034,254,254
1471252628,252,252
1471256186,250,250
1471259770,251,251
1471263447,250,250
1471267064,251,251
1471270635,251,251
1471274222,250,250
1471277895,253,253
1471281460,252,252
1471285097,251,251
1471288633,254,254
1471292262,257,257
1471295792,259,259
1471299434,257,257
1471302963,256,256
1471306664,273,273
1471310191,275,275
1471314113,272,272
1471317423,259,259
1471321052,261,261
1471324730,252,252
1471328198,263,263
1471331863,263,263
1471335456,264,264
1471338977,265,265
1471342694,264,264
1471346267,261,261
1471349719,261,261
1471353399,255,255
1471357024,255,255
1471360656,256,256
1471364189,254,254
1471367835,253,253
1471371422,258,258
1471374987,264,264
1471378590,264,264
1471382259,262,262
1471385778,261,261
1471389340,264,264
1471393091,278,278
1471396599,283,283
1471400512,286,286
1471403789,260,260
1471407518,261,261
1471411097,256,256
1471414689,256,256
1471418277,256,256
1471421802,254,254
1471425436,254,254
1471429077,254,254
1471432598,253,253
1471436293,253,253
1471439781,259,259
1471443392,256,256
1471447112,254,254
1471450597,256,256
1471454204,257,257
1471457769,260,260
1471461528,256,256
1471465191,256,256
1471468605,260,260
1471472301,257,257
1471475744,253,253
1471479500,282,282
1471483022,279,279
1471486741,283,283
1471490165,257,257
1471493860,253,253
1471497442,253,253
1471500974,255,255
1471504646,257,257
1471508246,255,255
1471511790,254,254
1471515392,254,254
1471519015,252,252
1471522653,256,256
1471526169,252,252
1471529828,249,249
1471533348,248,248
1471536963,248,248
1471540655,251,251
1471544220,254,254
1471547786,252,252
1471551337,252,252
1471554965,247,247
1471558630,245,245
1471562215,247,247
1471565795,248,248
1471569439,280,280
1471572972,285,285
1471576588,281,281
1471580294,267,267
1471583843,265,265
1471587380,261,261
1471594617,256,256
1471598194,258,258
1471601845,263,263
1471605413,263,263
1471608956,264,264
1471612608,263,263
1471616196,259,259
1471619809,257,257
1471623385,252,252
1471627069,252,252
1471630614,262,262
1471634235,258,258
1471637846,254,254
1471641423,255,255
1471645068,253,253
1471648616,256,256
1471652232,274,274
1471655762,268,268
1471659498,272,272
1471662968,254,254
1471666586,248,248
1471670254,246,246
1471673751,250,250
1471677414,252,252
1471680916,254,254
1471684609,253,253
1471688113,252,252
1471691741,253,253
1471695361,250,250
1471698973,257,257
1471702573,255,255
1471706219,256,256
1471709865,256,256
1471713488,253,253
1471716973,253,253
1471720626,251,251
1471724214,248,248
1471727779,245,245
1471731514,246,246
1471734937,247,247
1471738651,274,274
1471742276,274,274
1471745994,277,277
1471749381,250,250
1471753045,254,254
1471756530,259,259
1471760255,255,255
1471763800,257,257
1471767424,253,253
1471771021,245,245
1471774581,250,250
1471778229,250,250
1471781872,248,248
1471785429,253,253
1471789022,254,254
1471792599,254,254
1471796243,255,255
1471799782,256,256
1471803541,256,256
1471807055,254,254
1471810793,251,251
1471814213,248,248
1471817814,249,249
1471821407,252,252
1471825078,276,276
1471828595,273,273
1471832375,272,272
1471835746,243,243
1471839419,245,245
1471843066,246,246
1471846567,246,246
1471850147,245,245
1471853854,244,244
1471857388,241,241
1471861042,243,243
1471864736,243,243
1471868253,239,239
1471871821,245,245
1471875382,246,246
1471879009,243,243
1471882623,240,240
1471886203,240,240
1471889782,240,240
1471893428,237,237
1471897022,240,240
1471900624,242,242
1471904112,243,243
1471907791,242,242
1471911403,246,246
1471914999,254,254
1471918556,258,258
1471922201,256,256
1471925858,250,250
1471929447,250,250
1471932968,249,249
1471936605,245,245
1471940177,245,245
1471943867,243,243
1471947461,246,246
1471951024,245,245
1471954654,249,249
1471958186,249,249
1471961809,245,245
1471965363,247,247
1471969100,249,249
1471972583,247,247
1471976354,246,246
1471979804,241,241
1471983441,241,241
1471986993,240,240
1471990666,244,244
1471994216,246,246
1471997856,271,271
1472001385,265,265
1472005154,267,267
1472008518,247,247
1472012186,245,245
1472015854,246,246
1472019376,247,247
1472023013,245,245
1472026618,247,247
1472030242,246,246
1472033752,243,243
1472037377,246,246
1472041083,246,246
1472044567,247,247
1472048289,248,248
1472051774,247,247
1472055402,243,243
1472058993,244,244
1472062554,248,248
1472066242,250,250
1472069693,250,250
1472073328,247,247
1472076891,244,244
1472080660,241,241
1472084307,265,265
1472087834,266,266
1472091488,266,266
1472095033,250,250
1472098552,253,253
1472102250,254,254
1472105736,254,254
1472109313,252,252
1472112984,255,255
1472116601,254,254
1472120173,255,255
1472123940,253,253
1472127387,252,252
1472131018,254,254
1472134589,251,251
1472138267,250,250
1472141925,259,259
1472145450,253,253
1472148995,257,257
1472152641,257,257
1472156144,253,253
1472159674,254,254
1472163370,254,254
1472167020,254,254
1472172499,279,279
1472174206,277,277
1472177899,279,279
1472181354,272,272
1472185062,264,264
1472188615,266,266
1472192130,264,264
1472195768,262,262
1472199330,263,263
1472202931,263,263
1472206505,264,264
1472210134,260,260
1472213737,261,261
1472217377,259,259
1472220971,259,259
1472224666,259,259
1472228401,259,259
1472231718,260,260
1472235406,264,264
1472238971,266,266
1472242618,268,268
1472246177,270,270
1472249906,270,270
1472253376,272,272
1472257130,305,305
1472260621,305,305
1472264370,308,308
1472267773,290,290
1472271682,291,291
1472275046,292,292
1472278578,292,292
1472282202,291,291
1472285755,292,292
1472289326,292,292
1472292980,290,290
1472296531,288,288
1472300183,289,289
1472303810,286,286
1472307447,285,285
1472310990,288,288
1472314667,287,287
1472318258,286,286
1472321821,290,290
1472325423,285,285
1472328942,288,288
1472332563,290,290
1472336301,289,289
1472339748,292,292
1472343524,307,307
1472346960,310,310
1472350780,309,309
1472354157,281,281
1472357890,279,279
1472361445,274,274
1472364972,286,286
1472368547,285,285
1472372228,286,286
1472375805,280,280
1472379393,280,280
1472382939,280,280
1472386596,279,279
1472390217,278,278
1472393805,279,279
1472397511,280,280
1472400982,281,281
1472404621,282,282
1472408164,282,282
1472411929,283,283
1472415393,285,285
1472418930,280,280
1472422588,279,279
1472426104,279,279
1472429781,301,301
1472433480,299,299
1472437179,300,300
1472440610,277,277
1472444201,276,276
1472447805,274,274
1472451374,276,276
1472454983,273,273
1472458734,273,273
1472462246,276,276
1472465864,275,275
1472469393,282,282
1472472979,286,286
1472476624,284,284
1472480213,282,282
1472483791,279,279
1472487491,280,280
1472491027,280,280
1472494648,280,280
1472498200,282,282
1472501937,280,280
1472505416,284,284
1472509066,285,285
1472512558,293,293
1472516339,313,313
1472519805,310,310
1472523433,311,311
1472527136,273,273
