DateTime,AddedIPs,RemovedIPs
1439895096,1,0
1439923971,0,1
1439925737,1,0
1439943693,0,1
1439945491,1,0
1439990506,0,1
1441731112,0,1
1443176591,1,0
1443186399,0,1
1444089093,1,0
1444100883,0,1
1445213226,1,0
1447776481,1,0
1448402925,0,1
1448421531,1,0
1448461097,0,1
1448464644,1,0
1448486207,0,1
1448493401,1,0
1448640986,0,1
1448651800,1,0
1448990147,0,1
1448993791,0,1
1448997380,2,0
1449090952,0,1
1449101953,1,0
1449152176,0,1
1452060519,0,1
1453226948,1,0
1456567748,0,1
1456621753,1,0
1460210950,0,1
1471698558,1,0
1471712957,0,1
1471882185,1,0
1471896586,0,1
1472054945,1,0
1472069331,0,1
1472227770,1,0
1472242151,0,1
1472404140,1,0
1472418537,0,1
1472504965,2,0
1472580524,1,0
1472594984,0,1
1472627317,0,1
1472749876,1,0
1472764162,0,1
1472803749,1,0
1472818158,0,1
1472929761,1,0
1472944142,0,1
1472976522,1,0
1472990931,0,1
