DateTime,Entries,UniqueIPs
1464757697,4,4
1464764903,3,3
1464772054,2,2
1464775676,2,2
1464779253,3,3
1464782856,4,4
1464793692,5,5
1464797304,4,4
1464804459,6,6
1464815269,7,7
1464818945,6,6
1464826080,5,5
1464829682,4,4
1464833499,5,5
1464862067,6,6
1464887289,6,6
1464890887,8,8
1464894470,9,9
1464901663,10,10
1464905301,9,9
1464908870,9,9
1464916102,7,7
1464919759,7,7
1464923255,6,6
1464926839,7,7
1464952043,8,8
1464955670,7,7
1464959251,6,6
1464962847,6,6
1464966472,6,6
1464973645,5,5
1464977244,7,7
1464995241,9,9
1464998882,8,8
1465002498,7,7
1465031300,6,6
1465034830,7,7
1465049256,7,7
1465052841,7,7
1465056433,6,6
1465078081,7,7
1465085188,8,8
1465092498,7,7
1465103299,6,6
1465106870,7,7
1465110504,8,8
1465121250,7,7
1465128509,8,8
1465146459,9,9
1465153646,8,8
1465157258,9,9
1465160842,8,8
1465168096,12,12
1465175247,10,10
1465178909,9,9
1465182439,8,8
1465186087,8,8
1465196865,6,6
1465200451,6,6
1465204050,7,7
1465290436,6,6
1465308449,7,7
1465322846,6,6
1465326468,7,7
1465344458,10,10
1465348093,9,9
1465351935,8,8
1465355259,9,9
1465398466,8,8
1465405684,9,9
1465448871,8,8
1465452458,9,9
1465459668,7,7
1465463239,8,8
1465466843,9,9
1465470450,8,8
1465488466,7,7
1465492075,6,6
1465495680,8,8
1465499284,9,9
1465517379,8,8
1465521100,8,8
1465524601,9,9
1465528074,7,7
1465542457,7,7
1465549712,8,8
1465585691,16,16
1465592878,17,17
1465600063,9,9
1465621691,8,8
1465650505,6,6
1465654038,7,7
1465661273,8,8
1465664873,9,9
1465675626,8,8
1465693702,9,9
1465697470,6,6
1465704511,6,6
1465708200,7,7
1465711659,9,9
1465715288,10,10
1465718847,9,9
1465726053,8,8
1465729651,9,9
1465740497,7,7
1465744097,9,9
1465747653,10,10
1465758468,9,9
1465762095,6,6
1465765736,10,10
1465769321,11,11
1465780062,9,9
1465783789,7,7
1465787252,9,9
1465790872,10,10
1465798095,11,11
1465812475,10,10
1465823301,10,10
1465826864,7,7
1465834067,7,7
1465837671,6,6
1465841271,8,8
1465848463,9,9
1465855680,8,8
1465862925,6,6
1465870315,5,5
1465873650,1,1
1465906116,3,3
1465985314,2,2
1465992527,3,3
1466057230,4,4
1466060858,6,6
1466086048,8,8
1466093244,7,7
1466096854,5,5
1466118527,6,6
1466132892,5,5
1466136558,3,3
1466147295,2,2
1466154451,3,3
1466168851,2,2
1466172443,3,3
1466219262,2,2
1466226450,1,1
1466237266,2,2
1466258862,1,1
1466262480,2,2
1466273266,1,1
1466280454,1,1
1466287664,2,2
1466384834,1,1
1466392033,2,2
1466417290,3,3
1466420862,2,2
1466428058,2,2
1466475005,1,1
1466485777,2,2
1466514444,1,1
1466528848,2,2
1466543297,1,1
1466564852,1,1
1466572109,2,2
1466611669,1,1
1466626064,2,2
1466651256,1,1
1466654886,0,0
1466672902,1,1
1466680118,2,2
1466734105,1,1
1466737726,2,2
1466752056,1,1
1466780865,2,2
1466788050,3,3
1466791684,4,4
1466795252,3,3
1466806066,3,3
1466809661,4,4
1466813230,5,5
1466820463,4,4
1466824067,2,2
1466827669,2,2
1466831282,4,4
1466842054,5,5
1466852857,4,4
1466856461,1,1
1466863657,2,2
1466867265,3,3
1466878046,3,3
1466881663,3,3
1466885306,4,4
1466899669,5,5
1466903256,4,4
1466906947,3,3
1466910461,3,3
1466953646,2,2
1466960871,3,3
1466975280,2,2
1466978948,3,3
1467065273,2,2
1467090543,1,1
1467097669,4,4
1467101336,5,5
1467112122,4,4
1467119303,3,3
1467126477,4,4
1467130101,4,4
1467140898,3,3
1467144442,3,3
1467187649,4,4
1467198431,3,3
1467202038,4,4
1467216456,3,3
1467227239,4,4
1467230856,3,3
1467241645,3,3
1467245252,4,4
1467248887,2,2
1467252481,3,3
1467259726,2,2
1467277634,1,1
1467299242,1,1
1467313620,2,2
1467317288,3,3
1467342446,2,2
1467353235,3,3
1467356843,2,2
1467360433,3,3
1467364045,5,5
1467367691,4,4
1467371301,3,3
1467378437,2,2
1467382056,1,1
1467385679,2,2
1467389263,3,3
1467396487,4,4
1467400052,5,5
1467414487,4,4
1467425275,3,3
1467428826,4,4
1467432570,5,5
1467439689,4,4
1467443279,5,5
1467446855,4,4
1467457646,5,5
