DateTime,Entries,UniqueIPs
1471021722,116,116
1471025301,116,116
1471028950,117,117
1471032525,118,118
1471036118,118,118
1471039775,117,117
1471043300,114,114
1471046962,117,117
1471050516,114,114
1471054168,115,115
1471057772,113,113
1471061331,113,113
1471064931,114,114
1471068484,118,118
1471072117,113,113
1471075716,113,113
1471079301,116,116
1471082978,116,116
1471086509,117,117
1471090116,115,115
1471093729,116,116
1471097298,117,117
1471100904,116,116
1471104496,119,119
1471108118,121,121
1471115312,119,119
1471118907,115,115
1471122521,115,115
1471126160,113,113
1471129722,116,116
1471133315,116,116
1471136919,118,118
1471140524,119,119
1471144100,118,118
1471147704,118,118
1471151295,117,117
1471154907,118,118
1471158513,119,119
1471162178,118,118
1471169309,117,117
1471172900,118,118
1471180104,119,119
1471183699,118,118
1471187292,119,119
1471190900,116,116
1471194522,116,116
1471198095,115,115
1471201707,115,115
1471205308,119,119
1471208889,118,118
1471212645,116,116
1471219839,116,116
1471223346,119,119
1471226938,123,123
1471230495,122,122
1471234125,121,121
1471237803,120,120
1471248540,119,119
1471255690,116,116
1471259323,116,116
1471262986,114,114
1471270114,113,113
1471273707,113,113
1471277345,114,114
1471280891,115,115
1471284560,116,116
1471288150,116,116
1471291722,117,117
1471295307,118,118
1471298966,117,117
1471302507,118,118
1471306138,116,116
1471309769,118,118
1471313600,116,116
1471316909,116,116
1471320516,115,115
1471324209,113,113
1471327697,115,115
1471331339,115,115
1471334956,115,115
1471338513,115,115
1471342149,114,114
1471345768,114,114
1471349293,115,115
1471352916,112,112
1471356523,112,112
1471360145,111,111
1471363697,111,111
1471367331,113,113
1471370954,114,114
1471374516,116,116
1471378106,114,114
1471381703,113,113
1471385312,115,115
1471388912,114,114
1471392547,115,115
1471396137,118,118
1471400007,119,119
1471403307,121,121
1471410608,119,119
1471417781,118,118
1471424927,119,119
1471432092,119,119
1471435778,118,118
1471439332,117,117
1471442909,115,115
1471446598,116,116
1471453730,118,118
1471457297,119,119
1471460906,118,118
1471464524,118,118
1471471811,117,117
1471475282,116,116
1471478947,118,118
1471482569,119,119
1471486270,120,120
1471489708,119,119
1471493390,118,118
1471496964,118,118
1471507749,117,117
1471511306,117,117
1471514923,116,116
1471522145,116,116
1471525718,112,112
1471532906,111,111
1471536509,113,113
1471540162,113,113
1471543710,117,117
1471547309,116,116
1471554512,114,114
1471558138,114,114
1471561710,116,116
1471565286,116,116
1471568944,118,118
1471572511,119,119
1471576116,118,118
1471579818,118,118
1471583380,119,119
1471586895,120,120
1471594141,119,119
1471597745,118,118
1471601371,119,119
1471604951,118,118
1471608508,118,118
1471612148,115,115
1471615739,115,115
1471619345,114,114
1471622897,108,108
1471626540,112,112
1471630094,119,119
1471637331,114,114
1471640910,113,113
1471644559,112,112
1471648111,113,113
1471651718,115,115
1471655283,111,111
1471658994,113,113
1471662522,116,116
1471666114,115,115
1471669761,114,114
1471673286,116,116
1471676967,117,117
1471687690,116,116
1471691307,115,115
1471698524,118,118
1471702103,119,119
1471709347,121,121
1471712923,119,119
1471716483,120,120
1471720139,120,120
1471723697,118,118
1471727311,115,115
1471731043,114,114
1471734521,118,118
1471738143,121,121
1471745482,121,121
1471748908,116,116
1471752534,118,118
1471756113,122,122
1471759756,121,121
1471763306,121,121
1471766932,118,118
1471770516,113,113
1471774101,117,117
1471777727,117,117
1471781363,119,119
1471784919,118,118
1471788518,119,119
1471792115,118,118
1471795732,119,119
1471799303,121,121
1471806520,120,120
1471810268,117,117
1471813735,115,115
1471817350,117,117
1471820928,116,116
1471824537,119,119
1471828099,117,117
1471831881,117,117
1471835313,115,115
1471838924,119,119
1471842571,120,120
1471849714,118,118
1471853351,119,119
1471856899,118,118
1471860532,117,117
1471864119,119,119
1471867756,119,119
1471871347,121,121
1471874907,121,121
1471878549,119,119
1471882151,116,116
1471885722,117,117
1471889284,119,119
1471892903,119,119
1471896544,118,118
1471900176,116,116
1471903703,117,117
1471907324,117,117
1471910890,119,119
1471914540,120,120
1471918106,119,119
1471921723,120,120
1471925370,119,119
1471928967,122,122
1471932500,120,120
1471936114,118,118
1471939686,118,118
1471943367,116,116
1471946947,117,117
1471950527,118,118
1471957720,120,120
1471961338,118,118
1471964900,123,123
1471968542,122,122
1471972116,122,122
1471975798,121,121
1471979334,118,118
1471982938,118,118
1471986534,117,117
1471990150,119,119
1471993741,120,120
1471997373,117,117
1472000880,113,113
1472004660,115,115
1472008098,113,113
1472011754,116,116
1472015400,118,118
1472018905,119,119
1472022514,118,118
1472026123,119,119
1472029744,117,117
1472033304,115,115
1472036911,115,115
1472040514,116,116
1472044096,117,117
1472047821,118,118
1472054911,112,112
1472058523,114,114
1472062103,118,118
1472065759,117,117
1472069297,116,116
1472072955,113,113
1472076543,113,113
1472080149,116,116
1472083813,116,116
1472087385,118,118
1472090926,118,118
1472094486,118,118
1472098084,117,117
1472101835,116,116
1472105311,116,116
1472108892,115,115
1472112510,118,118
1472116114,117,117
1472119693,120,120
1472126915,119,119
