DateTime,Entries,UniqueIPs
1468120228,46,46
1468123884,45,45
1468127392,44,44
1468134592,45,45
1468141811,46,46
1468152655,45,45
1468195833,60,60
1468206628,48,48
1468249837,49,49
1468264255,48,48
1468282212,54,54
1468285800,55,55
1468292978,41,41
1468300323,40,40
1468368685,60,60
1468379341,44,44
1468455067,63,63
1468465805,48,48
1468541546,61,61
1468545052,62,62
1468548906,63,63
1468552278,58,58
1468555948,58,58
1468559565,58,58
1468563074,58,58
1468566957,58,58
1468570582,58,58
1468574163,58,58
1468577774,58,58
1468581408,58,58
1468584951,58,58
1468588603,58,58
1468592216,58,58
1468595773,58,58
1468599388,58,58
1468602615,58,58
1468606196,58,58
1468609793,58,58
1468613406,58,58
1468617001,58,58
1468620676,58,58
1468624198,58,58
1468627872,92,92
1468631432,92,92
1468635224,92,92
1468638598,70,70
1468642248,70,70
1468645918,70,70
1468649407,70,70
1468652980,70,70
1468656611,70,70
1468660213,70,70
1468663778,70,70
1468667402,70,70
1468671008,70,70
1468674603,70,70
1468678210,70,70
1468681790,70,70
1468685360,70,70
1468688989,70,70
1468692571,70,70
1468696167,70,70
1468699830,70,70
1468703372,70,70
1468707050,70,70
1468710627,70,70
1468714211,87,87
1468717812,87,87
1468721405,87,87
1468724970,69,69
1468728579,67,67
1468732182,67,67
1468735788,67,67
1468739443,67,67
1468742973,67,67
1468746581,67,67
1468750154,67,67
1468753771,67,67
1468757424,67,67
1468760984,67,67
1468764632,67,67
1468768187,67,67
1468771812,67,67
1468775355,67,67
1468778997,67,67
1468782573,67,67
1468786211,67,67
1468789773,67,67
1468793455,67,67
1468796997,67,67
1468800661,86,86
1468804198,87,87
1468807849,87,87
1468811391,74,74
1468815017,73,73
1468818590,71,71
1468876169,72,72
1468883423,71,71
1468886999,100,100
1468890613,101,101
1468894189,104,104
1468897854,69,69
1468904981,67,67
1468908603,66,66
1468915752,65,65
1468919375,66,66
1468926576,65,65
1468933759,66,66
1468937382,65,65
1468944575,66,66
1468955381,65,65
1468962565,66,66
1468973377,81,81
1468977028,83,83
1468980629,84,84
1468984183,72,72
1468987772,71,71
1468991477,70,70
1469009383,71,71
1469052598,70,70
1469056207,71,71
1469059913,89,89
1469067254,88,88
1469070626,72,72
1469077927,71,71
1469081390,70,70
