DateTime,Entries,UniqueIPs
1471114878,27,27
1471118506,25,25
1471122106,23,23
1471125740,23,23
1471129309,24,24
1471132895,23,23
1471136479,25,25
1471143684,23,23
1471147282,19,19
1471150882,20,20
1471154492,20,20
1471158088,23,23
1471161741,21,21
1471165306,21,21
1471168907,25,25
1471172485,24,24
1471176108,24,24
1471179677,23,23
1471183295,23,23
1471186883,24,24
1471190480,25,25
1471194107,21,21
1471197692,22,22
1471201290,21,21
1471204908,24,24
1471208485,24,24
1471212236,22,22
1471215678,20,20
1471219405,22,22
1471222940,20,20
1471226517,23,23
1471233712,24,24
1471237280,24,24
1471244479,21,21
1471248108,24,24
1471251709,21,21
1471258904,23,23
1471262538,25,25
1471266107,25,25
1471269707,24,24
1471273290,23,23
1471276908,23,23
1471280493,21,21
1471284111,20,20
1471287708,22,22
1471291293,24,24
1471294880,23,23
1471298541,23,23
1471302085,21,21
1471305706,20,20
1471309334,21,21
1471313000,20,20
1471316500,20,20
1471320090,23,23
1471323798,17,17
1471327303,24,24
1471330904,23,23
1471334532,22,22
1471338104,23,23
1471341682,24,24
1471345302,24,24
1471348888,23,23
1471352473,23,23
1471356084,21,21
1471359734,23,23
1471363288,21,21
1471366900,14,14
1471370479,19,19
1471374101,22,22
1471377673,24,24
1471384886,21,21
1471388503,27,27
1471392108,25,25
1471395735,25,25
1471399416,26,26
1471402880,23,23
1471406537,24,24
1471410072,25,25
1471417308,25,25
1471420890,24,24
1471424506,22,22
1471428136,24,24
1471431676,20,20
1471435294,21,21
1471438904,27,27
1471442479,26,26
1471446136,26,26
1471449705,28,28
1471453292,27,27
1471456879,28,28
1471460488,24,24
1471464081,23,23
1471467702,24,24
1471471398,23,23
1471474876,22,22
1471478535,26,26
1471482138,21,21
1471485722,22,22
1471489308,24,24
1471492935,21,21
1471496482,23,23
1471500109,24,24
1471503708,26,26
1471510893,24,24
1471514485,25,25
1471518082,22,22
1471521710,26,26
1471525305,25,25
1471528940,25,25
1471532484,26,26
1471536078,23,23
1471539709,24,24
1471543281,23,23
1471546903,21,21
1471550507,20,20
1471554108,18,18
1471557715,16,16
1471561306,17,17
1471564882,18,18
1471568541,25,25
1471572096,30,30
1471575684,29,29
1471579406,30,30
1471582914,28,28
1471586479,22,22
1471590107,21,21
1471593692,16,16
1471597340,21,21
1471600909,24,24
1471604539,25,25
1471608086,24,24
1471611708,25,25
1471615338,22,22
1471618895,21,21
1471622483,24,24
1471626108,19,19
1471629682,23,23
1471633308,20,20
1471636917,22,22
1471640506,24,24
1471644147,21,21
1471647706,22,22
1471651291,24,24
1471654879,24,24
1471658508,25,25
1471662084,24,24
1471665701,22,22
1471669284,21,21
1471672883,22,22
1471676507,22,22
1471680080,23,23
1471683740,22,22
1471687292,22,22
1471690884,27,27
1471694487,24,24
1471698086,26,26
1471701684,26,26
1471705309,25,25
1471712479,24,24
1471716080,22,22
1471719711,19,19
1471723282,18,18
1471726877,19,19
1471730604,21,21
1471734087,20,20
1471737709,19,19
1471741339,19,19
1471745019,22,22
1471748507,23,23
1471752085,24,24
1471755679,25,25
1471759341,23,23
1471762907,24,24
1471766510,24,24
1471770081,22,22
1471773691,23,23
1471777307,23,23
1471780891,19,19
1471784509,23,23
1471788082,22,22
1471791707,23,23
1471795308,24,24
1471798886,22,22
1471802612,22,22
1471806112,22,22
1471809696,24,24
1471813339,24,24
1471816910,22,22
1471820505,24,24
1471824108,26,26
1471827683,26,26
1471831311,25,25
1471834882,25,25
1471838517,22,22
1471842122,24,24
1471845681,25,25
1471849308,23,23
1471852945,23,23
1471856481,18,18
1471860141,21,21
1471863692,21,21
1471867342,19,19
1471870882,25,25
1471878143,23,23
1471881742,22,22
1471885287,21,21
1471888880,20,20
1471892495,16,16
1471896140,19,19
1471899684,24,24
1471903287,25,25
1471906878,25,25
1471910484,24,24
1471914079,20,20
1471917676,23,23
1471921294,23,23
1471924965,24,24
1471928565,22,22
1471932080,24,24
1471935682,25,25
1471939277,26,26
