DateTime,AddedIPs,RemovedIPs
1472023953,10,13
1472025859,9,33
1472027786,13,28
1472029818,9,9
1472031628,19,17
1472033547,11,21
1472035464,12,9
1472037642,9,17
1472039552,8,11
1472041709,14,20
1472043652,12,21
1472045571,17,11
1472047463,7,19
1472049398,14,15
1472051306,13,16
1472053227,13,19
1472055181,14,15
1472057056,17,11
1472059003,8,16
1472060920,12,14
1472062814,15,128
1472064741,20,20
1472066660,20,19
1472068595,12,13
1472070505,17,24
1472072452,25,15
1472074340,16,14
1472076261,14,10
1472078186,22,11
1472080099,11,14
1472082032,12,12
1472083970,6,16
1472085865,12,11
1472087790,8,11
1472089719,17,18
1472091611,13,16
1472093538,18,8
1472095461,9,17
1472097383,18,14
1472099329,12,51
1472101250,12,34
1472103210,11,39
1472105068,9,15
1472107036,18,11
1472108924,6,10
1472110835,14,9
1472112757,9,71
1472114680,14,9
1472116578,11,9
1472118506,17,26
1472120445,12,11
1472122370,38,7
1472124259,12,9
1472126184,19,13
1472128123,11,12
1472130066,24,9
1472131952,353,12
1472133874,10,10
1472135802,22,14
1472137714,10,16
1472139617,14,14
1472141570,4,15
1472143449,17,9
1472145752,14,10
1472147564,12,11
1472149450,11,13
1472151380,13,19
1472153308,10,17
1472155284,16,13
1472157158,10,12
1472159211,15,17
1472161211,15,15
1472163142,8,9
1472165072,14,16
1472166993,14,15
1472168919,21,13
1472170814,9,10
1472172758,16,13
1472174671,9,8
1472176575,17,18
1472178517,12,11
1472180527,9,14
1472182339,12,7
1472184281,29,21
1472186188,43,15
1472188122,20,10
1472190029,17,11
1472191971,8,7
1472193869,11,13
1472195785,10,11
1472197703,9,11
1472199666,14,47
1472201550,16,4
1472203457,4,10
1472205382,10,11
1472207325,8,13
1472209311,14,13
1472211167,14,14
1472213066,9,8
1472215008,18,12
1472216948,12,310
1472218870,12,15
1472220777,8,15
1472222679,11,11
1472224865,10,17
1472226782,23,13
1472228659,10,11
1472230594,16,15
1472232516,14,12
1472234483,12,8
1472236353,17,12
1472238264,9,11
1472240204,13,15
1472242134,10,7
1472244031,17,11
1472245980,7,14
1472247899,14,14
1472249796,18,38
1472251711,11,18
1472253665,8,14
1472255551,16,18
1472257461,34,10
1472259407,8,17
1472261319,10,14
1472263282,19,5
1472265158,12,13
1472267057,10,10
1472269007,15,14
1472270905,10,32
1472272834,15,37
1472274767,8,34
1472276668,17,21
1472278597,6,13
1472280524,6,13
1472282420,12,14
1472284347,15,14
1472286265,6,108
1472288212,6,17
1472290128,14,4
1472292079,11,11
1472293955,12,15
1472295857,12,17
1472297798,15,14
1472299711,21,13
1472301528,19,23
1472303332,15,10
1472305240,14,11
1472307168,15,9
1472309061,11,12
1472311120,7,12
1472312929,11,10
1472314845,11,16
1472316752,21,12
1472318673,7,10
1472320607,14,12
1472322516,16,13
1472324465,19,10
1472326373,10,11
1472328279,8,14
1472330191,10,11
1472332115,10,8
1472334037,8,12
1472335957,9,17
1472337880,11,10
1472339797,104,17
1472341707,250,10
1472343632,12,9
1472345562,11,39
1472347467,4,10
1472349386,9,11
1472351314,7,6
1472353276,9,17
1472355148,12,10
1472357328,15,21
1472359229,15,13
1472361140,7,9
1472363056,7,7
1472365006,6,9
1472366899,14,9
1472368839,13,23
1472370746,8,7
1472372654,12,48
1472374612,14,10
1472376516,16,14
1472378454,17,7
1472380445,13,11
1472382256,7,13
1472384206,12,9
1472386098,4,11
1472388030,13,20
1472389961,10,15
1472391862,17,8
1472393792,11,11
1472395714,14,10
1472397630,6,11
1472399538,11,12
1472401461,7,11
1472403392,8,12
1472405307,10,15
1472407268,12,19
1472409137,17,12
1472411321,21,11
1472413235,11,6
1472415153,14,8
1472417053,6,7
1472419104,17,8
1472420911,16,14
1472422828,8,10
1472424752,8,14
1472426655,7,209
1472428592,15,141
1472430498,5,26
1472432475,18,6
1472434359,19,12
1472436262,8,11
1472438192,12,9
1472440123,8,8
1472442021,9,6
1472443945,16,18
1472445862,15,10
1472448040,11,6
1472449947,10,9
1472451855,10,7
1472453785,16,6
1472455708,6,12
1472457646,18,10
1472459552,17,42
1472461460,8,16
1472463380,12,10
1472465306,5,9
1472467223,19,9
1472469169,15,13
1472471055,11,12
1472473246,17,5
1472475154,15,7
1472477069,11,12
1472478990,15,8
1472480910,14,18
1472482864,15,10
1472484752,12,9
1472486658,13,6
1472488599,30,6
1472490517,28,16
1472492417,20,9
1472494607,18,7
1472496540,22,23
1472498426,11,17
1472500350,22,6
1472502267,9,11
1472504197,24,8
1472506108,14,10
1472508081,21,5
1472509945,9,7
1472511875,9,15
1472513796,14,9
1472515702,9,16
1472517625,20,4
1472519557,10,15
1472521457,17,7
1472523645,30,9
1472525549,15,10
1472527463,17,7
1472529395,23,17
1472531308,39,10
1472533274,35,12
1472535165,18,6
1472537072,8,13
1472538993,19,14
1472540922,7,11
1472542830,14,12
1472544760,9,44
1472546669,19,12
1472548853,12,11
1472550769,17,5
1472552670,11,11
1472554596,15,10
1472556524,13,10
1472558471,20,14
1472560356,17,10
1472562274,8,8
1472564200,14,10
1472566153,11,13
1472568050,21,13
1472569976,13,6
1472571872,20,10
1472573800,6,18
1472575723,14,16
1472577651,7,26
1472579562,313,14
1472581463,43,16
1472583399,33,14
1472585321,8,14
1472587265,15,17
1472589162,18,18
1472591168,16,14
1472592998,16,8
1472594927,5,12
1472596829,19,6
1472598773,8,17
1472600892,12,16
1472602821,5,14
1472604748,15,15
1472606669,14,10
1472608581,11,7
1472610504,4,11
1472612477,18,10
1472614360,13,15
1472616273,14,29
1472618196,11,40
1472620115,8,34
1472622041,18,11
1472623961,14,12
1472625857,11,12
1472627815,2,9
1472629725,18,14
1472631643,6,64
1472633562,14,10
1472635522,10,14
1472637405,18,12
1472639324,10,12
1472641312,27,13
1472643165,16,9
1472645077,9,17
1472647016,23,15
1472648930,8,5
1472650844,22,19
1472652768,13,16
1472654666,18,15
1472656606,14,14
1472658522,21,13
1472660440,12,35
1472662365,16,21
1472664278,9,9
1472666201,12,345
1472668116,14,10
1472670069,18,7
1472671965,10,30
1472673872,11,11
1472675805,15,12
1472677736,12,15
1472679635,15,15
1472681567,7,12
1472683464,15,17
1472685385,8,6
1472687565,14,7
1472689470,17,6
1472691389,193,9
1472693308,8,16
1472695273,10,13
1472697163,13,16
1472699058,13,23
1472700998,13,9
1472702920,15,19
1472704827,20,14
1472706751,12,9
1472708690,14,12
1472710594,4,14
1472712507,11,13
1472714410,5,9
1472716344,15,12
1472718250,10,50
1472720183,15,13
1472722103,13,13
1472724079,17,13
1472725951,13,10
1472727854,6,20
1472729788,24,11
1472731700,15,15
1472733623,16,10
1472735568,9,7
1472737452,18,15
1472739389,6,15
1472741313,17,16
1472743219,7,15
1472745253,24,15
1472747062,8,13
1472748984,19,8
1472750908,4,14
1472752855,17,5
1472754740,9,6
1472756663,16,10
1472758583,13,11
1472760510,9,11
1472762428,18,15
1472764350,8,11
1472766256,13,8
1472768202,5,9
1472770107,12,11
1472772019,9,8
1472773952,23,7
1472775884,8,17
1472777795,18,143
1472779716,10,9
1472781669,8,13
1472783562,13,11
1472785466,16,9
1472787400,18,10
1472789323,47,18
1472791239,18,16
1472793156,9,14
1472795068,11,20
1472796984,16,12
1472798910,7,13
1472801099,4,7
1472802987,9,12
1472804922,16,104
1472806862,11,17
1472808762,14,15
1472810673,9,21
1472812590,14,12
1472814513,10,11
1472816433,17,17
1472818362,9,12
1472820267,16,18
1472822406,10,18
1472824339,34,11
1472826251,11,13
1472828178,7,14
1472830099,9,9
1472832072,14,10
1472833956,12,10
1472835858,11,10
1472837783,19,10
1472839712,6,8
1472841625,23,9
1472843551,8,10
1472845462,8,12
1472847389,6,14
1472849303,10,9
1472851248,11,9
1472853164,11,10
1472855068,9,9
1472856994,9,8
1472858909,8,14
1472860868,15,18
1472862765,18,20
1472864676,5,11
1472866584,13,11
1472868516,6,11
1472870438,15,8
1472872356,10,14
1472874277,13,14
1472876193,17,25
1472878113,14,9
1472880038,17,5
1472881958,8,9
1472883874,5,14
1472885789,7,7
1472887703,5,14
1472889669,13,13
1472891553,8,43
1472893468,9,14
1472895399,12,26
1472897264,7,16
1472899237,15,12
1472901148,9,13
1472903067,11,16
1472904952,4,13
1472906904,13,15
1472908818,14,11
1472910731,11,22
1472912652,7,10
1472914590,15,6
1472916509,9,11
1472918462,15,17
1472920346,13,13
1472922253,14,13
1472924183,15,10
1472926131,9,9
1472928018,8,14
1472929936,9,7
1472931855,12,9
1472933782,12,12
1472935705,8,6
1472937617,9,12
1472939542,13,9
1472941448,9,11
1472943380,9,7
1472945296,6,9
1472947261,13,14
1472949147,12,13
1472951058,10,9
1472952996,8,12
1472954911,8,13
1472956821,16,8
1472958757,8,19
1472960648,13,13
1472962586,16,51
1472964510,16,12
1472966413,8,9
1472968362,7,11
1472970262,11,8
1472972191,11,8
1472974106,9,4
1472976081,18,11
1472977962,18,39
1472979880,12,8
1472981802,11,9
1472983703,5,13
1472985643,7,9
