DateTime,Entries,UniqueIPs
1472010508,1373,1373
1472012443,1403,1403
1472014354,1434,1434
1472016263,1454,1454
1472018190,1469,1469
1472020127,1469,1469
1472022042,1474,1474
1472023953,1471,1471
1472025859,1447,1447
1472027786,1432,1432
1472029818,1432,1432
1472031628,1434,1434
1472033547,1424,1424
1472035464,1427,1427
1472037642,1419,1419
1472039552,1416,1416
1472041709,1410,1410
1472043652,1401,1401
1472045571,1407,1407
1472047463,1395,1395
1472049398,1394,1394
1472051306,1391,1391
1472053227,1385,1385
1472055181,1384,1384
1472057056,1390,1390
1472059003,1382,1382
1472060920,1380,1380
1472062814,1267,1267
1472064741,1267,1267
1472066660,1268,1268
1472068595,1267,1267
1472070505,1260,1260
1472072452,1270,1270
1472074340,1272,1272
1472076261,1276,1276
1472078186,1287,1287
1472080099,1284,1284
1472082032,1284,1284
1472083970,1274,1274
1472085865,1275,1275
1472087790,1272,1272
1472089719,1271,1271
1472091611,1268,1268
1472093538,1278,1278
1472095461,1270,1270
1472097383,1274,1274
1472099329,1235,1235
1472101250,1213,1213
1472103210,1185,1185
1472105068,1179,1179
1472107036,1186,1186
1472108924,1182,1182
1472110835,1187,1187
1472112757,1125,1125
1472114680,1130,1130
1472116578,1132,1132
1472118506,1123,1123
1472120445,1124,1124
1472122370,1155,1155
1472124259,1158,1158
1472126184,1164,1164
1472128123,1163,1163
1472130066,1178,1178
1472131952,1519,1519
1472133874,1519,1519
1472135802,1527,1527
1472137714,1521,1521
1472139617,1521,1521
1472141570,1510,1510
1472143449,1518,1518
1472145752,1522,1522
1472147564,1523,1523
1472149450,1521,1521
1472151380,1515,1515
1472153308,1508,1508
1472155284,1511,1511
1472157158,1509,1509
1472159211,1507,1507
1472161211,1507,1507
1472163142,1506,1506
1472165072,1504,1504
1472166993,1503,1503
1472168919,1511,1511
1472170814,1510,1510
1472172758,1513,1513
1472174671,1514,1514
1472176575,1513,1513
1472178517,1514,1514
1472180527,1509,1509
1472182339,1514,1514
1472184281,1522,1522
1472186188,1550,1550
1472188122,1560,1560
1472190029,1566,1566
1472191971,1567,1567
1472193869,1565,1565
1472195785,1564,1564
1472197703,1562,1562
1472199666,1529,1529
1472201550,1541,1541
1472203457,1535,1535
1472205382,1534,1534
1472207325,1529,1529
1472209311,1530,1530
1472211167,1530,1530
1472213066,1531,1531
1472215008,1537,1537
1472216948,1239,1239
1472218870,1236,1236
1472220777,1229,1229
1472222679,1229,1229
1472224865,1222,1222
1472226782,1232,1232
1472228659,1231,1231
1472230594,1232,1232
1472232516,1234,1234
1472234483,1238,1238
1472236353,1243,1243
1472238264,1241,1241
1472240204,1239,1239
1472242134,1242,1242
1472244031,1248,1248
1472245980,1241,1241
1472247899,1241,1241
1472249796,1221,1221
1472251711,1214,1214
1472253665,1208,1208
1472255551,1206,1206
1472257461,1230,1230
1472259407,1221,1221
1472261319,1217,1217
1472263282,1231,1231
1472265158,1230,1230
1472267057,1230,1230
1472269007,1231,1231
1472270905,1209,1209
1472272834,1187,1187
1472274767,1161,1161
1472276668,1157,1157
1472278597,1150,1150
1472280524,1143,1143
1472282420,1141,1141
1472284347,1142,1142
1472286265,1040,1040
1472288212,1029,1029
1472290128,1039,1039
1472292079,1039,1039
1472293955,1036,1036
1472295857,1031,1031
1472297798,1032,1032
1472299711,1040,1040
1472301528,1036,1036
1472303332,1041,1041
1472305240,1044,1044
1472307168,1050,1050
1472309061,1049,1049
1472311120,1044,1044
1472312929,1045,1045
1472314845,1040,1040
1472316752,1049,1049
1472318673,1046,1046
1472320607,1048,1048
1472322516,1051,1051
