DateTime,AddedIPs,RemovedIPs
1472375306,6,2
1472376046,2,6
1472376737,6,2
1472378910,2,6
1472379874,1,0
1472380586,1,0
1472381311,6,2
1472382744,4,7
1472383453,6,2
1472385659,2,6
1472387060,6,2
1472387773,1,0
1472389255,2,6
1472391394,4,21
1472392851,28,6
1472393535,6,28
1472394258,28,6
1472396452,6,31
1472397141,31,6
1472397853,7,31
1472398609,31,6
1472399301,6,31
1472400056,31,6
1472401452,6,31
1472403652,31,6
1472404353,7,31
1472405053,32,6
1472405790,1,0
1472406497,6,31
1472408664,31,6
1472410092,6,31
1472412493,3,0
1472413227,3,4
1472415385,4,6
1472416825,1,0
1472417553,6,4
1472419698,4,6
1472421133,6,4
1472421860,2,0
1472424026,5,6
1472425454,7,4
1472426434,4,6
1472427819,6,4
1472428584,4,6
1472429306,6,4
1472430023,4,6
1472431449,6,8
1472432182,8,6
1472432912,6,8
1472433608,8,6
1472434350,6,8
1472435050,8,6
1472437215,6,8
1472437942,8,6
1472438656,6,8
1472439382,1,1
1472440114,8,6
1472442246,6,8
1472442986,8,6
1472444426,6,8
1472445144,1,0
1472445854,8,6
1472448032,6,8
1472448747,8,6
1472449461,6,8
1472450174,8,6
1472450903,7,8
1472451616,8,6
1472452377,1,0
1472453776,6,8
1472458101,12,7
1472459544,6,8
1472460271,1,0
1472461698,10,6
1472462667,3,2
1472463371,7,8
1472464864,9,7
1472466247,7,8
1472469847,8,7
1472470582,1,0
1472471298,7,8
1472473458,1,0
1472474191,8,7
1472474903,2,0
1472477061,7,8
1472480651,1,0
1472481380,8,7
1472482856,1,0
1472483559,7,8
1472484253,1,1
1472484978,9,7
1472485725,7,8
1472486457,10,7
1472487149,7,8
1472487866,8,7
1472488591,7,8
1472489339,8,7
1472490043,8,8
1472492190,1,0
1472493678,9,8
1472496738,7,8
1472498180,1,0
1472498905,8,7
1472499616,7,8
1472501788,8,7
1472505374,8,9
1472506100,8,7
1472506819,7,8
1472507546,8,7
1472508993,7,8
1472511866,8,7
1472512585,7,8
1472513303,8,7
1472514017,7,8
1472515453,8,7
1472516901,1,0
1472517617,7,8
1472518344,8,7
1472521219,1,1
1472523636,7,8
1472524339,8,7
1472525056,7,8
1472527217,8,7
1472527941,1,0
1472529387,7,9
1472530822,8,6
1472533698,7,9
1472534418,8,6
1472535852,5,1
1472536587,6,7
1472537304,8,6
1472540186,7,8
1472541635,7,6
1472542344,1,1
1472543783,6,7
1472545936,9,6
1472547385,6,7
1472548096,7,6
1472548836,6,7
1472549540,7,6
1472550272,6,7
1472550978,7,6
1472553144,7,7
1472553850,7,6
1472557450,7,8
1472558180,7,6
1472558918,0,1
1472559871,8,7
1472561338,8,25
1472562047,1,7
1472562747,163,91
1472563446,219,4
1472564182,0,6
1472564904,0,6
1472565652,0,7
1472566600,1,5
1472568033,0,6
1472568750,0,1
1472569457,0,1
1472570436,0,3
1472571144,0,1
1472573343,0,2
1472574008,0,3
1472574743,0,2
1472576183,0,2
1472576902,0,1
1472577634,0,2
1472581223,0,3
1472581946,0,2
1472583382,1,4
1472584142,2,0
1472586257,0,3
1472586984,0,1
1472587716,0,1
1472589146,0,1
1472590585,0,2
1472594457,3,0
1472595857,2,3
1472596586,0,1
1472597306,1,0
1472598061,0,2
1472599455,0,1
1472601651,0,2
1472603785,0,221
1472607389,1,0
1472608092,1,0
1472609549,1,0
1472610990,0,3
1472611693,1,1
1472613409,3,0
1472614833,0,4
1472615542,3,1
1472616986,0,3
1472617706,3,0
1472618427,1,2
1472619151,0,4
1472621298,3,0
1472622025,0,3
1472622749,0,1
1472624181,3,0
1472625632,0,4
1472626348,0,1
1472627347,1,0
1472628274,0,1
1472628984,0,1
1472630458,1,0
1472631851,2,0
1472633292,1,2
1472634063,2,0
1472636171,0,2
1472637653,2,0
1472638339,1,0
1472639051,0,88
1472639789,358,106
1472640504,136,325
1472641290,6,75
1472642658,106,99
1472643381,335,1
1472644108,3,12
1472644846,0,8
1472645551,39,367
1472646248,347,39
1472646998,0,2
1472648465,39,346
1472649148,343,39
1472649851,0,2
1472650582,39,342
1472651297,0,1
1472652750,331,38
1472653454,37,331
1472654185,233,86
1472654894,165,9
1472655656,0,29
1472656347,0,4
1472657087,0,1
1472657777,0,4
1472658505,0,4
1472659262,0,1
1472659955,0,5
1472660647,0,1
1472661385,0,3
1472662106,0,250
1472663547,247,0
1472664258,0,1
1472664988,0,1
1472665704,0,242
1472666468,0,1
1472668579,238,0
1472670051,0,238
1472670741,238,0
1472671459,0,1
1472672177,0,2
1472672908,0,238
1472673643,8,3
1472676496,220,0
1472677267,0,1
1472677949,0,1
1472678656,0,1
1472679378,0,218
1472680099,217,0
1472680861,0,1
1472682247,0,217
1472683945,213,1
1472685032,0,214
1472685856,0,1
1472688261,208,0
1472689700,0,208
1472690427,208,0
1472691143,0,208
1472691852,207,1
1472693551,0,1
1472695699,0,1
1472697148,0,2
1472697860,0,203
1472698463,202,0
1472699306,0,1
1472700749,0,201
1472701445,200,0
1472702184,0,1
1472702904,0,199
1472704339,198,0
1472707218,0,198
1472710817,196,0
1472711688,0,197
1472714203,194,0
1472714905,0,195
1472715624,194,0
1472716335,0,194
1472717057,193,1
1472717782,1,1
1472718511,1,1
1472719943,1,190
1472720925,3,2
1472722579,189,0
1472724070,1,190
1472724763,1,1
1472725447,1,0
1472726179,187,0
1472729052,75,173
1472729780,172,74
1472730498,1,1
1472731259,74,171
1472731958,171,74
1472733405,76,174
1472734110,171,73
1472735542,72,171
1472736259,1,1
1472736980,170,71
1472738456,72,170
1472739147,169,71
1472739847,72,169
1472740593,2,1
1472741305,168,72
1472742063,73,167
1472742741,166,72
1472743451,72,166
1472744213,166,72
1472744912,72,166
1472745671,1,0
1472746355,1,0
1472747054,1,1
1472747781,163,72
1472748503,73,161
1472749257,1,1
1472750197,160,72
1472751621,72,161
1472752334,3,1
1472753064,5,0
1472753784,158,76
1472754512,0,1
1472759545,78,156
1472760261,155,78
1472760985,1,1
1472761709,0,1
1472762421,76,153
1472763860,153,76
1472764581,2,1
1472765300,79,153
1472766038,1,0
1472766748,152,79
1472767457,81,154
1472768191,152,79
1472768915,0,2
1472771791,82,151
1472773219,150,79
1472773944,80,148
1472774673,0,1
1472777535,148,80
1472778265,80,148
1472779231,148,80
1472780653,81,148
1472782099,147,80
1472782821,82,146
1472785708,146,82
1472786429,83,145
1472787859,1,0
1472788583,144,85
1472789315,83,144
1472790008,1,1
1472790744,145,84
1472791449,84,145
1472792183,1,1
1472792897,146,85
1472793623,84,145
1472794353,2,0
1472795061,144,86
1472796495,85,143
1472797222,143,85
1472797946,0,1
1472801089,0,1
1472801808,87,141
1472802502,141,86
1472803263,87,141
1472804197,141,88
1472804914,1,1
1472805624,87,140
1472806332,140,88
1472807060,1,0
1472807781,87,140
1472809219,2,1
1472809940,1,1
1472810665,1,0
1472811401,1,1
1472813541,138,87
1472814256,88,139
1472814983,1,1
1472818581,138,87
1472819300,87,138
1472820021,1,1
1472820654,2,0
1472825059,138,89
1472825781,89,138
1472826499,139,89
1472827227,89,137
1472828936,137,89
1472830350,89,137
1472831049,136,89
1472831784,90,136
1472832497,136,90
1472833220,92,136
1472833948,134,90
1472834654,90,134
1472836107,3,1
1472836810,133,90
1472837566,90,133
1472838983,2,2
1472839704,132,90
1472841851,93,131
1472842580,132,94
1472843321,96,132
1472844752,132,96
1472846181,1,1
1472846932,1,1
1472849059,1,1
1472851239,96,131
1472851952,3,1
1472852651,129,96
1472853373,97,129
1472854114,129,97
1472856251,99,129
1472857726,129,99
1472858425,99,129
1472860573,129,99
1472862756,99,129
1472863453,128,98
1472864173,100,128
1472864898,1,1
1472867047,128,101
1472867778,101,128
1472868507,128,100
1472869469,100,127
1472870178,127,100
1472870897,100,127
1472871657,127,100
1472873051,103,127
1472873821,127,103
1472874506,103,127
1472875263,1,1
1472875941,128,104
1472877144,73,166
1472880035,1,0
1472880755,3,1
1472881452,1,0
1472882910,3,1
