DateTime,Entries,UniqueIPs
1472659958,4290,4290
1472660650,4292,4292
1472661388,4288,4288
1472662109,4288,4288
1472662859,4301,4301
1472663549,4311,4311
1472664260,4321,4321
1472664991,4312,4312
1472665706,4301,4301
1472666470,4308,4308
1472667149,4322,4322
1472667857,4330,4330
1472668582,4323,4323
1472669297,4326,4326
1472670054,4334,4334
1472670744,4348,4348
1472671461,4328,4328
1472672180,4334,4334
1472672911,4328,4328
1472673645,4334,4334
1472674355,4320,4320
1472675060,4326,4326
1472675791,4319,4319
1472676499,4319,4319
1472677270,4316,4316
1472677951,4318,4318
1472678658,4306,4306
1472679380,4295,4295
1472680101,4283,4283
1472680864,4258,4258
1472681552,4260,4260
1472682249,4253,4253
1472683120,4257,4257
1472683947,4243,4243
1472685035,4231,4231
1472685858,4237,4237
1472686590,4219,4219
1472687532,4225,4225
1472688264,4221,4221
1472688871,4228,4228
1472689703,4224,4224
1472690430,4232,4232
1472691146,4232,4232
1472691857,4213,4213
1472692713,4218,4218
1472693553,4213,4213
1472694247,4214,4214
1472694982,4208,4208
1472695702,4206,4206
1472696549,4218,4218
1472697150,4209,4209
1472697863,4215,4215
1472698465,4209,4209
1472699308,4214,4214
1472700009,4211,4211
1472700751,4215,4215
1472701447,4221,4221
1472702187,4217,4217
1472702906,4219,4219
1472703632,4216,4216
1472704341,4199,4199
1472705063,4203,4203
1472705783,4201,4201
1472706511,4205,4205
1472707221,4203,4203
1472707938,4197,4197
1472708677,4193,4193
1472709392,4212,4212
1472710105,4218,4218
1472710819,4201,4201
1472711690,4199,4199
1472712502,4208,4208
1472713277,4213,4213
1472714206,4224,4224
1472714907,4230,4230
1472715626,4229,4229
1472716338,4209,4209
1472717060,4221,4221
1472717785,4218,4218
1472718514,4209,4209
1472719220,4226,4226
1472719946,4226,4226
1472720928,4233,4233
1472721872,4247,4247
1472722581,4258,4258
1472723297,4240,4240
1472724072,4235,4235
1472724766,4235,4235
1472725449,4242,4242
1472726181,4253,4253
1472726897,4251,4251
1472727686,4263,4263
1472728352,4264,4264
1472729054,4263,4263
1472729782,4267,4267
1472730501,4263,4263
1472731261,4269,4269
1472731960,4274,4274
1472732659,4274,4274
1472733407,4278,4278
1472734113,4269,4269
1472734853,4284,4284
1472735545,4294,4294
1472736262,4301,4301
1472736982,4293,4293
1472737709,4295,4295
1472738459,4303,4303
1472739149,4297,4297
1472739849,4282,4282
1472740595,4278,4278
1472741307,4289,4289
1472742066,4289,4289
1472742744,4298,4298
1472743454,4302,4302
1472744216,4307,4307
1472744914,4307,4307
1472745673,4292,4292
1472746357,4296,4296
1472747056,4309,4309
1472747783,4320,4320
1472748505,4317,4317
1472749259,4327,4327
1472750200,4319,4319
1472750903,4317,4317
1472751624,4309,4309
1472752336,4315,4315
1472753066,4317,4317
1472753787,4317,4317
1472754514,4327,4327
1472755220,4325,4325
1472755942,4325,4325
1472756657,4312,4312
1472757400,4319,4319
1472758103,4305,4305
1472758837,4300,4300
1472759547,4302,4302
1472760264,4307,4307
1472760987,4299,4299
1472761711,4299,4299
1472762423,4302,4302
1472763147,4293,4293
1472763866,4282,4282
1472764583,4272,4272
1472765302,4268,4268
1472766040,4252,4252
1472766751,4240,4240
1472767460,4232,4232
1472768193,4233,4233
1472768918,4213,4213
1472769618,4197,4197
1472770342,4198,4198
1472771058,4203,4203
1472771794,4189,4189
1472772509,4206,4206
1472773221,4195,4195
1472773946,4198,4198
1472774675,4191,4191
1472775387,4186,4186
1472776101,4182,4182
1472776822,4185,4185
1472777537,4180,4180
1472778267,4174,4174
1472779234,4183,4183
1472779949,4184,4184
1472780655,4184,4184
1472781375,4181,4181
1472782101,4174,4174
1472782824,4163,4163
1472783556,4161,4161
1472784255,4172,4172
1472784989,4161,4161
1472785711,4149,4149
1472786432,4159,4159
1472787139,4155,4155
1472787861,4148,4148
1472788585,4159,4159
1472789318,4153,4153
1472790011,4157,4157
1472790746,4154,4154
1472791451,4160,4160
1472792185,4150,4150
1472792899,4157,4157
1472793625,4150,4150
1472794355,4150,4150
1472795063,4147,4147
1472795773,4154,4154
1472796498,4170,4170
1472797224,4173,4173
1472797948,4176,4176
1472798658,4175,4175
1472799376,4177,4177
1472800098,4180,4180
1472801092,4191,4191
1472801810,4189,4189
1472802504,4192,4192
1472803265,4194,4194
1472804200,4194,4194
1472804916,4198,4198
1472805627,4201,4201
1472806335,4215,4215
1472807063,4212,4212
1472807784,4214,4214
1472808506,4214,4214
1472809221,4212,4212
1472809942,4217,4217
1472810667,4217,4217
1472811403,4209,4209
1472812097,4221,4221
1472812833,4229,4229
1472813543,4233,4233
1472814258,4222,4222
1472814985,4228,4228
1472815710,4229,4229
1472816427,4240,4240
1472817144,4241,4241
1472817852,4236,4236
1472818584,4239,4239
1472819302,4253,4253
1472820023,4256,4256
1472820656,4250,4250
1472821520,4253,4253
1472822389,4249,4249
1472823663,4265,4265
1472824334,4264,4264
1472825062,4263,4263
1472825785,4265,4265
1472826502,4258,4258
1472827229,4254,4254
1472827955,4262,4262
1472828939,4276,4276
1472829621,4273,4273
1472830352,4257,4257
1472831051,4257,4257
1472831786,4261,4261
1472832499,4279,4279
1472833223,4279,4279
1472833950,4282,4282
1472834656,4295,4295
1472835379,4308,4308
1472836109,4298,4298
1472836813,4291,4291
1472837568,4296,4296
1472838251,4293,4293
1472838985,4291,4291
1472839706,4301,4301
1472840422,4312,4312
1472841147,4297,4297
1472841853,4297,4297
1472842582,4285,4285
1472843324,4291,4291
1472844016,4295,4295
1472844755,4282,4282
1472845456,4272,4272
1472846183,4287,4287
1472846935,4286,4286
1472847615,4281,4281
1472848342,4278,4278
1472849062,4269,4269
1472849807,4254,4254
1472850503,4251,4251
1472851242,4260,4260
1472851955,4271,4271
1472852654,4271,4271
1472853375,4257,4257
1472854117,4252,4252
1472854809,4244,4244
1472855543,4236,4236
1472856254,4237,4237
1472856989,4224,4224
1472857729,4231,4231
1472858427,4232,4232
1472859157,4222,4222
1472859853,4222,4222
1472860575,4227,4227
1472861267,4224,4224
1472862022,4229,4229
1472862759,4220,4220
1472863455,4211,4211
1472864176,4213,4213
1472864900,4219,4219
1472865630,4220,4220
1472866361,4227,4227
1472867049,4221,4221
1472867780,4209,4209
1472868509,4215,4215
1472869471,4222,4222
1472870180,4218,4218
1472870900,4210,4210
1472871659,4215,4215
1472872350,4214,4214
1472873053,4206,4206
1472873823,4206,4206
1472874508,4196,4196
1472875265,4202,4202
1472875944,4208,4208
1472876678,4206,4206
1472877385,4203,4203
1472878107,4201,4201
1472878856,4210,4210
1472879548,4203,4203
1472880258,4202,4202
1472880983,4201,4201
1472881700,4196,4196
1472882465,4190,4190
1472883143,4174,4174
1472883868,4188,4188
1472884605,4199,4199
1472885304,4200,4200
1472886064,4219,4219
1472886749,4207,4207
1472887448,4213,4213
1472888186,4211,4211
1472888898,4226,4226
1472889664,4245,4245
1472890343,4240,4240
1472891054,4251,4251
1472891812,4255,4255
1472892509,4263,4263
1472893259,4269,4269
1472893944,4259,4259
1472894655,4265,4265
1472895392,4268,4268
1472896095,4285,4285
1472897170,4282,4282
1472897849,4294,4294
1472898752,4289,4289
1472899451,4290,4290
1472900186,4296,4296
1472900904,4281,4281
1472901639,4295,4295
1472902342,4292,4292
1472903053,4297,4297
1472903775,4298,4298
1472904518,4302,4302
1472905261,4289,4289
1472905956,4303,4303
1472906656,4301,4301
1472907374,4299,4299
1472908132,4282,4282
1472908813,4288,4288
1472909558,4296,4296
1472910251,4306,4306
1472910988,4317,4317
1472911707,4312,4312
1472912416,4321,4321
1472913139,4323,4323
1472913853,4330,4330
1472914584,4318,4318
1472915309,4324,4324
1472916024,4321,4321
1472916740,4326,4326
1472917457,4318,4318
1472918180,4325,4325
1472918908,4327,4327
1472919618,4318,4318
1472920340,4311,4311
1472921064,4318,4318
1472921785,4320,4320
1472922509,4325,4325
1472923210,4330,4330
1472923956,4330,4330
1472924648,4332,4332
1472925392,4329,4329
1472926125,4321,4321
1472926821,4330,4330
1472927542,4326,4326
1472928255,4321,4321
1472928983,4324,4324
1472929711,4321,4321
1472930412,4325,4325
1472931147,4327,4327
1472931849,4333,4333
1472932588,4314,4314
1472933303,4321,4321
1472934014,4319,4319
1472934747,4314,4314
1472935454,4294,4294
1472936181,4301,4301
1472936951,4287,4287
1472937611,4302,4302
1472938359,4294,4294
1472939048,4277,4277
1472939785,4277,4277
1472940503,4283,4283
1472941220,4287,4287
1472941950,4286,4286
1472942660,4277,4277
1472943375,4271,4271
1472944106,4274,4274
1472944825,4255,4255
1472945551,4254,4254
1472946261,4258,4258
1472946977,4260,4260
1472947699,4251,4251
1472948624,4244,4244
1472949380,4244,4244
1472950100,4237,4237
1472950848,4229,4229
1472951542,4223,4223
1472952255,4218,4218
1472952990,4234,4234
1472953710,4238,4238
1472954495,4216,4216
1472955148,4234,4234
1472955853,4226,4226
1472956584,4216,4216
1472957314,4199,4199
1472958062,4205,4205
1472958751,4204,4204
1472959459,4215,4215
1472960184,4216,4216
1472960905,4223,4223
1472961664,4210,4210
1472962343,4206,4206
1472963049,4201,4201
1472963792,4199,4199
1472964504,4198,4198
1472965263,4206,4206
1472965939,4201,4201
1472966659,4209,4209
1472967414,4210,4210
1472968098,4211,4211
1472968862,4222,4222
1472969553,4221,4221
1472970249,4223,4223
1472970977,4234,4234
1472971700,4232,4232
1472972471,4244,4244
1472973155,4266,4266
1472973856,4265,4265
1472974586,4255,4255
1472975296,4262,4262
1472976067,4266,4266
1472976999,4264,4264
1472977695,4285,4285
1472978430,4282,4282
1472979142,4287,4287
1472979866,4282,4282
1472980580,4289,4289
1472981303,4290,4290
1472982025,4299,4299
1472982751,4292,4292
1472983462,4291,4291
1472984184,4309,4309
1472984902,4305,4305
1472985629,4303,4303
1472986348,4297,4297
1472987059,4289,4289
1472987776,4299,4299
1472988509,4280,4280
1472989216,4289,4289
1472989948,4296,4296
1472990918,4311,4311
1472991628,4318,4318
1472992357,4315,4315
1472993054,4320,4320
1472993782,4315,4315
1472994495,4314,4314
1472995223,4312,4312
1472995946,4313,4313
1472996656,4326,4326
1472997383,4330,4330
1472998147,4331,4331
1472998810,4340,4340
1472999547,4322,4322
1473000247,4321,4321
1473000982,4332,4332
1473001699,4332,4332
1473002421,4339,4339
1473003143,4340,4340
1473003865,4345,4345
1473004580,4344,4344
1473005309,4358,4358
1473006011,4371,4371
1473006745,4384,4384
1473007452,4372,4372
1473008192,4378,4378
1473008933,4391,4391
1473009618,4375,4375
1473010356,4374,4374
1473011050,4388,4388
1473011785,4380,4380
