DateTime,AddedIPs,RemovedIPs
1472406967,3,0
1472407816,0,2
1472408677,1,0
1472409611,2,9
1472411708,4,1
1472412611,8,7
1472413327,1,4
1472415247,1,7
1472416209,1,4
1472417106,3,0
1472418125,2,1
1472418984,2,0
1472420708,3,12
1472422216,0,1
1472423130,3,0
1472424010,4,3
1472425806,1,2
1472427907,6,4
1472429646,3,7
1472430572,3,2
1472431879,0,2
1472433006,1,2
1472434927,2,7
1472436308,2,2
1472437209,1,1
1472438408,2,6
1472440852,3,2
1472443081,3,4
1472443972,23,2
1472444808,2,0
1472445727,2,6
1472446658,2,1
1472447548,2,2
1472448486,4,2
1472449326,0,3
1472450135,4,0
1472451016,5,3
1472452210,2,3
1472453110,1,3
1472453903,3,4
1472454911,3,1
1472455806,2,6
1472456674,1,2
1472457816,2,4
1472458809,2,0
1472459992,3,1
1472460890,1,3
1472461808,5,5
1472462683,3,0
1472463610,3,1
1472464636,2,0
1472465710,3,2
1472466612,3,4
1472467333,1,5
1472468167,5,0
1472469009,2,3
1472469900,3,2
1472470810,3,3
1472473211,10,14
1472474408,6,7
1472476296,5,5
1472477410,3,6
1472479383,4,3
1472480327,4,0
1472481898,5,3
1472483105,5,5
1472484841,7,4
1472485332,0,3
1472486708,3,4
1472487611,3,0
1472488926,2,8
1472489929,4,3
1472490907,0,1
1472491808,2,4
1472492708,3,2
1472494811,3,4
1472495859,2,4
1472496909,4,1
1472497806,2,5
1472498886,6,1
1472499728,0,9
1472501109,4,3
1472502008,2,0
1472503558,6,39
1472504428,4,0
1472506207,3,1
1472507089,1,2
1472508309,1,0
1472509209,1,0
1472509689,2,0
1472511705,1,6
1472513407,2,2
1472514126,0,4
1472514971,1,1
1472515815,2,2
1472516886,4,1
1472517730,4,6
1472518569,1,0
1472519407,3,2
1472520430,2,0
1472521326,4,5
1472523589,3,37
1472524808,2,6
1472526187,0,2
1472526847,5,0
1472527808,3,1
1472528706,1,1
1472530508,4,12
1472531408,2,7
1472532311,1,2
1472533451,11,0
1472534408,4,0
1472535607,1,3
1472536505,4,0
1472537416,1,3
1472538609,0,4
1472539509,2,0
1472541607,2,1
1472542425,1,6
1472543712,5,2
1472544616,6,2
1472545691,4,1
1472547410,4,6
1472548807,10,2
1472550009,6,4
1472551512,1,4
1472552409,3,1
1472553729,6,6
1472555707,3,6
1472556609,5,3
1472558710,2,12
1472559610,2,0
1472560506,1,2
1472561707,7,1
1472562630,1,7
1472564527,4,5
1472565907,4,2
1472566813,1,0
1472568132,7,13
1472570410,4,2
1472571607,3,8
1472572506,4,0
1472573416,1,3
1472574611,1,5
1472575509,2,1
1472576661,1,4
1472577610,2,0
1472578087,1,0
1472579326,5,4
1472580176,3,2
1472581209,1,1
1472582107,3,10
1472582527,0,2
1472583367,1,0
1472585411,3,4
1472586308,2,2
1472586966,2,0
1472587816,3,1
1472589010,6,4
1472589907,1,0
1472590960,2,3
1472592010,1,0
1472592868,2,9
1472595248,2,0
1472596214,2,4
1472599207,3,8
1472600706,1,3
1472602450,3,0
1472603408,3,2
1472604307,1,0
1472605809,2,1
1472607728,1,4
1472610008,6,2
1472611211,3,5
1472612108,3,1
1472613007,2,21
1472614810,0,5
1472616616,0,3
1472618528,3,4
1472620446,2,4
1472621409,2,5
1472622127,1,0
1472623512,1,1
1472624412,1,0
1472626023,4,3
1472627109,0,2
1472628009,1,0
1472628912,1,3
1472630111,2,1
1472631016,5,0
1472631916,3,0
1472632809,2,13
1472633769,4,1
1472634564,1,3
1472635509,1,1
1472636529,2,5
1472637534,2,1
1472638510,5,1
1472639390,3,5
1472640127,3,1
1472641097,2,3
1472641901,1,0
1472642773,1,1
1472643728,4,6
1472645030,4,3
1472646010,3,0
1472646909,8,4
1472647808,7,1
1472648864,13,4
1472649680,13,0
1472650507,19,7
1472653212,18,4
1472654527,4,5
1472656449,5,3
1472657293,2,1
1472658310,2,4
1472660051,3,2
1472661012,3,1
1472661907,1,2
1472662568,1,0
1472663410,2,3
1472664609,2,3
1472665508,1,2
1472666167,3,0
1472667016,2,2
1472668089,4,1
1472669913,4,9
1472671312,2,2
1472672106,2,2
1472673006,3,2
1472674449,4,4
1472675409,2,4
1472676306,1,0
1472678046,2,1
1472679008,5,6
1472680493,7,1
1472681710,4,2
1472682612,2,4
1472683509,8,0
1472685818,5,1
1472686615,11,6
1472688846,66,6
1472689807,2,4
1472690706,1,0
1472693072,5,6
1472694010,1,3
1472695509,1,1
1472696047,2,0
1472697009,2,5
1472697907,0,2
1472698567,1,1
1472699408,3,3
1472699646,2,0
1472700607,3,0
1472701326,2,1
1472702400,0,10
1472703307,4,1
1472704105,0,1
1472704927,2,6
1472705858,1,1
1472706907,5,5
1472707686,2,3
1472708716,2,4
1472709807,1,4
1472710810,3,0
1472711634,3,0
1472712907,3,2
1472713807,3,3
1472714602,2,0
1472715607,4,5
1472716539,4,1
1472717708,7,4
1472718608,1,7
1472719506,3,3
1472720621,2,3
1472722808,42,7
1472723630,6,0
1472724616,6,3
1472725686,1,1
1472727581,6,10
1472728400,3,1
1472729411,2,1
1472730754,4,2
1472731643,2,6
1472732646,5,0
1472733609,1,7
1472734568,3,0
1472735407,5,5
1472736323,2,2
1472737331,2,6
1472738708,1,6
1472739611,2,0
1472740507,1,4
1472742083,4,6
1472742907,3,0
1472743807,3,3
1472744709,1,1
1472746808,6,3
1472747287,5,0
1472748128,4,5
1472750047,4,6
1472751010,2,2
1472754009,4,3
1472754830,3,4
1472755328,0,1
1472756708,0,4
1472757609,1,0
1472758407,5,6
1472759756,4,2
1472760620,2,3
1472761473,3,0
1472762412,1,5
1472763907,2,0
1472764808,4,1
1472765669,2,4
1472766127,3,0
1472768049,6,4
1472768896,3,0
1472769731,2,2
1472770568,4,0
1472771406,2,1
1472772607,4,6
1472773506,3,1
1472774360,3,0
1472775306,3,0
1472776207,8,3
1472777109,1,1
1472777993,1,2
1472778846,3,1
1472780529,3,7
1472781906,3,4
1472782808,2,0
1472783923,5,2
1472784926,3,3
1472785806,1,2
1472787804,5,2
1472789647,9,3
1472790608,3,2
1472791329,8,2
1472792705,19,1
1472793609,2,2
1472794930,4,4
1472795766,2,1
1472796614,4,1
1472797809,3,2
1472798709,3,0
1472800449,3,4
1472801560,3,4
1472802132,0,2
1472802968,2,0
1472803816,2,3
1472804674,6,2
1472805513,3,5
1472806768,3,4
1472808220,5,2
1472809147,1,8
1472810107,1,2
1472811016,2,1
1472812087,5,0
1472812932,4,5
1472814309,3,4
1472815209,5,1
1472815689,1,0
1472816529,1,6
1472818509,10,6
1472819339,2,0
1472822602,37,25
1472823609,1,20
1472824944,4,4
1472825974,3,0
1472826488,2,0
1472828154,4,10
1472828950,5,3
1472830086,5,1
1472830894,4,4
1472831707,3,0
1472832616,1,3
1472833687,3,0
1472834708,2,2
1472835712,3,5
1472836507,5,0
1472837354,2,0
1472838147,3,1
1472840048,10,3
1472841730,8,4
1472842567,4,1
1472843408,0,5
1472844487,2,0
1472845304,2,4
1472846239,2,0
1472847311,3,6
1472848087,3,3
1472851237,9,9
1472852411,7,18
1472854215,5,4
1472855406,5,2
1472856572,9,55
1472859308,10,24
1472860195,3,2
1472861706,3,4
1472862607,0,6
1472863435,5,1
1472864707,3,1
1472865608,2,2
1472866560,2,2
1472866931,3,0
1472868307,2,1
1472869211,3,0
1472870106,5,2
1472872506,3,3
1472873408,4,5
1472874128,3,2
1472876046,3,2
1472877010,3,3
1472877910,3,1
1472878822,3,2
1472879647,11,0
1472880607,2,5
1472881516,0,4
1472882708,2,0
1472883609,5,1
1472885108,1,5
1472885994,3,5
1472886910,3,0
1472888530,2,9
1472889908,3,1
1472890809,3,1
1472891798,1,3
1472893507,3,50
1472895610,4,12
1472896568,2,0
1472897416,0,3
1472898503,3,1
1472899507,2,7
1472901006,5,3
1472902065,7,1
1472903366,11,6
1472904351,8,2
1472904849,4,0
1472905810,3,5
1472906707,4,1
1472907366,1,0
1472908208,2,1
1472909407,2,7
1472910613,2,0
1472912616,7,1
1472914507,2,8
1472915406,2,4
1472916753,3,4
1472917853,5,4
1472919034,3,3
1472920929,5,3
1472922907,7,3
1472923909,4,2
1472924709,5,1
1472925369,4,0
1472926215,6,1
1472928128,7,5
1472929508,7,2
1472930410,4,2
1472931610,6,5
1472932567,6,0
1472933416,1,2
1472934610,3,6
1472936463,5,4
1472937607,4,1
1472938506,76,5
1472938927,1,2
1472939790,1,0
1472940616,4,3
1472941807,47,7
1472942531,2,1
1472943909,6,6
1472944812,7,0
1472946275,4,8
1472947510,7,3
1472948408,3,0
1472949728,3,6
1472951108,4,2
1472952009,2,0
1472953209,2,6
1472954058,2,0
1472955016,1,2
1472956207,4,1
1472957106,1,1
1472958906,6,4
1472959806,1,6
1472960709,1,5
1472962808,4,45
1472964007,6,9
1472965508,7,4
1472966410,1,0
1472967729,5,6
1472968566,2,0
1472969416,3,3
1472970306,2,0
1472971209,3,6
1472974507,10,14
1472975776,1,2
1472976846,2,4
