DateTime,Entries,UniqueIPs
1472446658,9049,9049
1472447548,9049,9049
1472448486,9051,9051
1472449326,9048,9048
1472450135,9052,9052
1472451016,9054,9054
1472452210,9053,9053
1472453110,9051,9051
1472453903,9050,9050
1472454911,9052,9052
1472455806,9048,9048
1472456674,9047,9047
1472457816,9045,9045
1472458809,9047,9047
1472459992,9049,9049
1472460890,9047,9047
1472461808,9047,9047
1472462683,9050,9050
1472463610,9052,9052
1472464636,9054,9054
1472465710,9055,9055
1472466612,9054,9054
1472467333,9050,9050
1472468167,9055,9055
1472469009,9054,9054
1472469900,9055,9055
1472470810,9055,9055
1472473211,9051,9051
1472474408,9050,9050
1472476296,9050,9050
1472477410,9047,9047
1472479383,9048,9048
1472480327,9052,9052
1472481898,9054,9054
1472483105,9054,9054
1472484841,9057,9057
1472485332,9054,9054
1472486708,9053,9053
1472487611,9056,9056
1472488926,9050,9050
1472489929,9051,9051
1472490907,9050,9050
1472491808,9048,9048
1472492708,9049,9049
1472494811,9048,9048
1472495859,9046,9046
1472496909,9049,9049
1472497806,9046,9046
1472498886,9051,9051
1472499728,9042,9042
1472501109,9043,9043
1472502008,9045,9045
1472503558,9012,9012
1472504428,9016,9016
1472506207,9018,9018
1472507089,9017,9017
1472508309,9018,9018
1472509209,9019,9019
1472509689,9021,9021
1472511705,9016,9016
1472513407,9016,9016
1472514126,9012,9012
1472514971,9012,9012
1472515815,9012,9012
1472516886,9015,9015
1472517730,9013,9013
1472518569,9014,9014
1472519407,9015,9015
1472520430,9017,9017
1472521326,9016,9016
1472523589,8982,8982
1472524808,8978,8978
1472526187,8976,8976
1472526847,8981,8981
1472527808,8983,8983
1472528706,8983,8983
1472530508,8975,8975
1472531408,8970,8970
1472532311,8969,8969
1472533451,8980,8980
1472534408,8984,8984
1472535607,8982,8982
1472536505,8986,8986
1472537416,8984,8984
1472538609,8980,8980
1472539509,8982,8982
1472541607,8983,8983
1472542425,8978,8978
1472543712,8981,8981
1472544616,8985,8985
1472545691,8988,8988
1472547410,8986,8986
1472548807,8994,8994
1472550009,8996,8996
1472551512,8993,8993
1472552409,8995,8995
1472553729,8995,8995
1472555707,8992,8992
1472556609,8994,8994
1472558710,8984,8984
1472559610,8986,8986
1472560506,8985,8985
1472561707,8991,8991
1472562630,8985,8985
1472564527,8984,8984
1472565907,8986,8986
1472566813,8987,8987
1472568132,8981,8981
1472570410,8983,8983
1472571607,8978,8978
1472572506,8982,8982
1472573416,8980,8980
1472574611,8976,8976
1472575509,8977,8977
1472576661,8974,8974
1472577610,8976,8976
1472578087,8977,8977
1472579326,8978,8978
1472580176,8979,8979
1472581209,8979,8979
1472582107,8972,8972
1472582527,8970,8970
1472583367,8971,8971
1472585411,8970,8970
1472586308,8970,8970
1472586966,8972,8972
1472587816,8974,8974
1472589010,8976,8976
1472589907,8977,8977
1472590960,8976,8976
1472592010,8977,8977
1472592868,8970,8970
1472595248,8972,8972
1472596214,8970,8970
1472599207,8965,8965
1472600706,8963,8963
1472602450,8966,8966
1472603408,8967,8967
