DateTime,AddedIPs,RemovedIPs
1472433008,8,9
1472434928,9,19
1472436310,9,8
1472437211,11,0
1472438409,4,17
1472439308,6,0
1472440854,5,8
1472443082,11,9
1472443973,6,10
1472444810,7,1
1472445728,0,12
1472446659,5,0
1472447549,3,11
1472448487,2,1
1472449328,4,15
1472450136,6,1
1472451018,3,8
1472452212,8,6
1472453116,0,3
1472453907,6,10
1472454913,7,1
1472455808,2,16
1472456676,6,2
1472457818,2,3
1472458810,4,0
1472459994,7,18
1472460892,2,0
1472461810,3,5
1472462685,2,0
1472463614,6,16
1472463730,1,0
1472464638,4,0
1472465714,5,11
1472466615,4,9
1472467334,2,6
1472468168,2,0
1472469011,5,10
1472469901,5,1
1472470812,4,13
1472473213,32,7
1472474411,13,13
1472476297,13,5
1472476447,1,0
1472477416,3,11
1472479384,15,13
1472480328,4,0
1472481900,10,18
1472483107,10,7
1472484845,11,22
1472485333,1,5
1472486712,4,5
1472487613,1,0
1472488928,8,12
1472489930,6,12
1472490911,7,1
1472491810,11,16
1472492710,2,5
1472494813,11,7
1472495861,9,20
1472496911,4,1
1472497808,2,13
1472498888,6,0
1472499729,4,8
1472501112,11,10
1472502013,1,0
1472503560,4,9
1472504429,4,9
1472506208,8,14
1472507091,6,6
1472508311,9,13
1472509211,6,0
1472509691,4,0
1472511707,6,26
1472513409,6,13
1472514127,2,2
1472514973,2,1
1472515817,5,10
1472516888,6,0
1472517733,2,21
1472518570,2,0
1472519409,2,11
1472520431,3,0
1472521328,5,20
1472523590,6,6
1472524810,6,27
1472526191,5,14
1472526849,1,0
1472527810,5,12
1472528708,2,3
1472530512,4,10
1472531412,4,12
1472532315,6,1
1472533452,6,11
1472534410,6,0
1472535609,1,10
1472536507,1,1
1472537418,2,8
1472538615,4,9
1472539511,5,2
1472541611,4,6
1472542427,5,9
1472543713,8,2
1472544618,3,8
1472545693,6,0
1472547412,5,14
1472548810,8,4
1472550012,2,12
1472551513,7,6
1472552411,6,0
1472553730,5,11
