DateTime,Entries,UniqueIPs
1472422218,1564,1564
1472423131,1567,1567
1472424015,1556,1556
1472424968,1561,1561
1472425809,1556,1556
1472427908,1545,1545
1472429648,1539,1539
1472430573,1538,1538
1472431881,1538,1538
1472433008,1537,1537
1472434928,1527,1527
1472436310,1528,1528
1472437211,1539,1539
1472438409,1526,1526
1472439308,1532,1532
1472440854,1529,1529
1472443082,1531,1531
1472443973,1527,1527
1472444810,1533,1533
1472445728,1521,1521
1472446659,1526,1526
1472447549,1518,1518
1472448487,1519,1519
1472449328,1508,1508
1472450136,1513,1513
1472451018,1508,1508
1472452212,1510,1510
1472453116,1507,1507
1472453907,1503,1503
1472454913,1509,1509
1472455808,1495,1495
1472456676,1499,1499
1472457818,1498,1498
1472458810,1502,1502
1472459994,1491,1491
1472460892,1493,1493
1472461810,1491,1491
1472462685,1493,1493
1472463614,1483,1483
1472463730,1484,1484
1472464638,1488,1488
1472465714,1482,1482
1472466615,1477,1477
1472467334,1473,1473
1472468168,1475,1475
1472469011,1470,1470
1472469901,1474,1474
1472470812,1465,1465
1472473213,1490,1490
1472474411,1490,1490
1472476297,1498,1498
1472476447,1499,1499
1472477416,1491,1491
1472479384,1493,1493
1472480328,1497,1497
1472481900,1489,1489
1472483107,1492,1492
1472484845,1481,1481
1472485333,1477,1477
1472486712,1476,1476
1472487613,1477,1477
1472488928,1473,1473
1472489930,1467,1467
1472490911,1473,1473
1472491810,1468,1468
1472492710,1465,1465
1472494813,1469,1469
1472495861,1458,1458
1472496911,1461,1461
1472497808,1450,1450
1472498888,1456,1456
1472499729,1452,1452
1472501112,1453,1453
1472502013,1454,1454
1472503560,1449,1449
1472504429,1444,1444
1472506208,1438,1438
1472507091,1438,1438
1472508311,1434,1434
1472509211,1440,1440
1472509691,1444,1444
1472511707,1424,1424
1472513409,1417,1417
1472514127,1417,1417
1472514973,1418,1418
1472515817,1413,1413
1472516888,1419,1419
1472517733,1400,1400
1472518570,1402,1402
1472519409,1393,1393
1472520431,1396,1396
1472521328,1381,1381
1472523590,1381,1381
1472524810,1360,1360
1472526191,1351,1351
1472526849,1352,1352
1472527810,1345,1345
1472528708,1344,1344
1472530512,1338,1338
1472531412,1330,1330
1472532315,1335,1335
1472533452,1330,1330
1472534410,1336,1336
1472535609,1327,1327
1472536507,1327,1327
1472537418,1321,1321
1472538615,1316,1316
1472539511,1319,1319
1472541611,1317,1317
1472542427,1313,1313
1472543713,1319,1319
1472544618,1314,1314
1472545693,1320,1320
1472547412,1311,1311
1472548810,1315,1315
1472550012,1305,1305
1472551513,1306,1306
1472552411,1312,1312
1472553730,1306,1306
1472555711,1308,1308
1472556611,1302,1302
1472558713,1300,1300
1472559614,1307,1307
1472560508,1303,1303
1472561708,1305,1305
1472562632,1302,1302
1472564529,1296,1296
1472565911,1291,1291
1472566816,1295,1295
1472568134,1287,1287
1472570413,1295,1295
1472571611,1294,1294
1472572508,1299,1299
1472573418,1303,1303
1472574616,1299,1299
1472575510,1301,1301
1472576663,1297,1297
1472577613,1304,1304
1472578091,1307,1307
1472579328,1301,1301
1472580178,1295,1295
1472581212,1302,1302
1472582108,1302,1302
1472582529,1301,1301
1472583368,1306,1306
1472584208,1308,1308
1472585414,1307,1307
1472586310,1309,1309
1472586968,1314,1314
1472587818,1316,1316
1472589014,1312,1312
1472589911,1320,1320
