DateTime,Entries,UniqueIPs
1472184341,155,155
1472186571,154,154
1472188209,155,155
1472190264,155,155
1472190971,156,156
1472191819,156,156
1472193594,155,155
1472194875,156,156
1472195715,157,157
1472196617,159,159
1472201114,159,159
1472202118,158,158
1472202928,159,159
1472204529,158,158
1472206173,158,158
1472207288,159,159
1472208311,160,160
1472209812,162,162
1472210851,162,162
1472211732,161,161
1472214013,160,160
1472214910,157,157
1472216110,158,158
1472219709,157,157
1472220851,154,154
1472224839,146,146
1472225669,147,147
1472227161,145,145
1472228966,142,142
1472231411,141,141
1472233548,139,139
1472234686,139,139
1472237713,139,139
1472239812,139,139
1472241849,140,140
1472243416,140,140
1472246441,142,142
1472247785,140,140
1472249154,141,141
1472250036,143,143
1472254834,142,142
1472255709,143,143
1472257704,144,144
1472258759,145,145
1472260450,147,147
1472261417,145,145
1472264117,146,146
1472265016,145,145
1472267409,149,149
1472268617,146,146
1472271249,148,148
1472272213,147,147
1472272979,146,146
1472274613,146,146
1472276593,144,144
1472278451,143,143
1472279387,142,142
1472281559,141,141
1472283309,144,144
1472285651,145,145
1472286615,145,145
1472289574,146,146
1472290857,145,145
1472292912,142,142
1472293813,141,141
1472296510,142,142
1472299820,144,144
1472301793,146,146
1472303172,147,147
1472306268,148,148
1472307318,147,147
1472308974,146,146
1472310370,146,146
1472312601,144,144
1472313502,142,142
1472314511,145,145
1472315870,145,145
1472317811,145,145
1472319015,145,145
1472321651,146,146
1472322615,145,145
1472323514,146,146
1472325011,151,151
1472326216,152,152
1472327110,153,153
1472329813,153,153
1472330529,152,152
1472332449,154,154
1472333376,156,156
1472336413,162,162
1472337311,164,164
1472338509,166,166
1472339412,167,167
1472340615,170,170
1472343020,171,171
1472344931,172,172
1472345769,173,173
1472347691,174,174
1472349082,176,176
1472352131,175,175
1472355732,178,178
1472357419,177,177
1472358489,195,195
1472359402,193,193
1472360712,200,200
1472363710,198,198
1472364619,198,198
1472366530,195,195
1472367466,194,194
1472372120,193,193
1472374703,193,193
1472375712,194,194
1472376616,194,194
1472378597,193,193
1472380944,191,191
1472381800,192,192
1472382612,192,192
1472384415,195,195
1472385915,195,195
1472388130,194,194
1472390114,194,194
1472391015,193,193
1472392715,191,191
1472394517,192,192
1472396901,193,193
1472398641,193,193
1472399868,194,194
1472400912,195,195
1472401815,196,196
1472402711,198,198
1472404513,199,199
1472405416,197,197
1472406129,198,198
1472406970,200,200
1472407819,199,199
1472409614,198,198
1472411714,198,198
1472412618,199,199
1472415250,193,193
1472417109,194,194
1472418128,194,194
1472418987,195,195
1472420713,191,191
1472423133,192,192
1472424019,190,190
1472425810,191,191
1472427910,193,193
1472429650,191,191
1472430575,190,190
1472433010,190,190
1472434930,187,187
1472436311,188,188
1472438411,186,186
1472440856,185,185
1472443095,184,184
1472443975,183,183
1472444811,184,184
1472445730,182,182
1472448489,181,181
1472449329,179,179
1472451020,181,181
1472452214,179,179
1472453118,177,177
1472453909,176,176
1472455810,176,176
1472456678,175,175
1472457820,174,174
1472460894,175,175
1472461812,177,177
1472462686,178,178
1472465716,179,179
1472466617,179,179
1472467336,178,178
1472468170,180,180
1472469013,179,179
1472470814,178,178
1472473215,175,175
1472474413,176,176
1472476299,177,177
1472477418,176,176
1472479386,174,174
1472480330,175,175
1472481901,178,178
1472483109,178,178
1472484850,180,180
1472485335,179,179
1472486714,180,180
1472487614,181,181
1472488929,178,178
1472489932,181,181
1472491812,179,179
1472492713,177,177
1472495863,175,175
1472496913,174,174
1472497810,175,175
1472499731,174,174
1472501114,175,175
1472503562,174,174
1472504431,176,176
1472506211,177,177
1472507092,178,178
1472511709,176,176
1472513410,175,175
1472514129,173,173
1472515819,173,173
1472516890,174,174
1472517734,176,176
1472519410,177,177
1472520433,178,178
1472523592,180,180
1472526192,181,181
1472530514,170,170
1472531414,166,166
1472535611,166,166
1472536509,167,167
1472544619,168,168
1472547414,168,168
1472548812,172,172
1472550014,174,174
1472551515,172,172
1472552413,174,174
1472553732,173,173
1472555713,170,170
1472558715,169,169
1472560510,168,168
1472561710,169,169
1472564531,168,168
1472565913,168,168
1472568136,170,170
1472571613,170,170
1472572510,172,172
1472573420,171,171
1472574618,168,168
1472576665,165,165
1472577615,167,167
1472580180,167,167
1472581215,168,168
1472582110,167,167
1472582531,166,166
1472586314,166,166
1472589016,166,166
1472590963,164,164
1472592871,162,162
1472595252,163,163
1472596218,161,161
1472599212,162,162
1472605812,161,161
1472610012,162,162
1472611218,161,161
1472612112,162,162
1472616619,161,161
1472618531,162,162
1472621415,161,161
1472626027,160,160
1472627113,159,159
1472628016,160,160
1472628916,160,160
1472631020,161,161
1472631921,162,162
1472632817,155,155
1472633774,155,155
1472634568,155,155
1472636532,155,155
1472639393,154,154
1472641904,155,155
1472642776,154,154
1472643732,153,153
1472645034,156,156
1472646015,159,159
1472646912,164,164
1472647811,167,167
