DateTime,AddedIPs,RemovedIPs
1472568123,158,116
1472570405,366,52
1472571602,145,71
1472572503,63,0
1472573403,81,37
1472574603,93,81
1472575503,81,22
1472576658,99,65
1472577602,99,0
1472578083,56,0
1472579322,133,95
1472580172,141,55
1472581202,169,0
1472582103,144,96
1472582523,80,33
1472583363,127,0
1472584203,135,38
1472585403,174,98
1472586303,111,36
1472586963,80,0
1472587803,106,47
1472589002,140,68
1472589903,123,17
1472590956,104,42
1472592004,99,0
1472592864,96,55
1472595243,400,62
1472596205,150,53
1472597103,130,17
1472599202,295,114
1472599683,46,0
1472600703,129,335
1472602443,235,155
1472603403,146,85
1472604303,116,13
1472604962,96,0
1472605803,139,45
1472607724,473,92
1472610002,354,49
1472611205,180,70
1472612103,96,1
1472613003,50,56
1472613811,38,0
1472614804,42,81
1472615703,56,0
1472616603,55,35
1472618523,150,82
1472620442,151,59
1472621403,76,83
1472622123,55,23
1472623503,105,56
1472624405,63,0
1472626019,81,123
1472627103,50,59
1472628004,47,1
1472628903,33,63
1472630103,87,38
1472631003,54,79
1472631911,56,0
1472632803,109,205
1472633763,172,2
1472634561,118,94
1472635506,157,1
1472636523,181,205
1472637531,112,90
1472638503,159,10
1472639386,158,206
1472640123,151,78
1472641081,86,0
1472641897,81,137
1472642767,81,0
1472643724,109,292
1472645026,180,121
1472646003,139,0
1472646903,117,165
1472647803,102,49
1472648860,98,144
1472649676,93,0
1472650503,121,226
1472650923,48,66
1472653205,303,133
1472654523,176,218
1472656443,386,113
1472657289,193,0
1472658303,189,240
1472660043,271,114
1472661006,68,150
1472661903,41,50
1472662562,24,0
1472663404,36,114
1472664604,50,127
1472665503,68,24
1472666163,58,0
1472667003,98,61
1472668083,134,0
1472669909,246,368
1472671309,191,19
1472672103,123,236
1472673002,118,83
1472674443,220,135
1472675404,131,248
1472676302,142,80
1472678043,378,210
1472679002,192,218
1472680489,243,79
1472681703,209,163
1472682604,163,210
1472683504,195,58
1472685815,343,213
1472686611,137,312
1472688842,353,354
1472689803,153,271
1472690702,138,83
1472692115,243,176
1472693068,185,1
1472694003,158,319
1472695503,253,176
1472696043,103,0
1472697003,177,282
1472697903,141,90
1472698563,133,0
1472699403,182,152
1472699643,51,0
1472700603,211,143
1472701322,134,45
1472702397,200,51
1472703303,158,2
1472704102,127,0
1472704923,72,160
1472705854,31,0
1472706903,53,78
1472707683,45,1
1472708703,29,102
1472709804,53,37
1472710804,49,0
1472711630,30,60
1472712903,102,23
1472713803,78,49
1472714598,149,0
1472715604,155,131
1472716536,139,1
1472717703,97,56
1472718603,79,137
1472719502,92,41
1472720617,173,54
1472721604,180,0
1472722804,257,118
1472723626,121,0
1472724603,145,98
1472725682,134,0
1472727578,244,544
1472728397,135,19
1472729403,234,154
1472730751,188,38
1472731640,118,164
1472732641,159,0
1472733603,164,381
1472734563,179,2
1472735403,170,183
1472736319,176,2
1472737323,191,240
1472738703,223,169
1472739603,141,0
1472740503,129,295
1472742075,204,128
1472742903,112,0
1472743803,147,153
1472744703,129,55
1472746803,234,91
1472747283,21,0
1472748124,40,227
1472750043,98,180
1472751003,44,267
1472754003,146,298
1472754826,60,263
1472755323,31,71
1472756703,133,168
1472757603,97,1
1472758403,93,200
1472759753,137,82
1472760616,94,133
1472761470,89,0
1472762403,84,276
1472762524,11,0
1472763903,162,208
1472764803,110,1
1472765665,124,260
1472766123,56,78
1472768043,246,176
1472768893,157,0
1472769726,145,288
1472770563,190,0
1472771402,151,173
1472772603,244,230
1472773503,115,91
1472774356,116,136
1472775303,137,17
1472776202,141,253
1472777102,109,113
1472777989,109,167
1472778842,95,13
1472780524,201,314
1472781902,178,116
1472782804,106,0
1472783920,126,104
1472784923,138,28
1472785803,122,85
1472787795,246,169
1472789643,231,105
1472790603,124,125
1472791324,100,53
1472792701,185,84
1472793603,107,0
1472794924,116,160
1472795763,67,1
1472796602,71,50
1472797804,56,76
1472798703,40,38
1472800442,69,76
1472801556,68,94
1472802124,43,90
1472802963,69,0
1472803803,68,206
1472804670,61,2
1472805509,70,277
1472806764,112,242
1472808216,298,20
1472809142,103,299
1472810102,111,136
1472811003,72,134
1472812083,112,1
1472812924,120,209
1472814303,201,170
1472815203,89,1
1472815683,58,0
1472816523,140,293
1472818502,278,103
1472819335,124,0
1472822598,449,430
1472823602,99,309
1472824393,77,0
1472825403,96,230
1472826482,237,0
1472828150,322,485
1472828947,162,244
1472830082,129,0
1472830888,93,175
1472831703,95,0
1472832603,91,59
1472833681,127,0
1472834703,104,91
1472835707,98,125
1472836503,96,0
1472837340,92,0
1472838142,82,265
1472840043,185,176
1472841723,139,329
1472842563,87,0
1472843403,86,197
1472844483,111,0
1472845296,74,342
1472846235,97,1
1472847303,85,248
1472848083,73,0
1472851232,269,711
1472852403,108,440
1472853416,93,0
1472854503,75,219
1472855403,60,243
1472856569,84,127
1472859302,194,436
1472860192,63,99
1472861702,100,204
1472862603,64,319
1472863431,52,97
1472864703,81,235
