DateTime,Entries,UniqueIPs
1472336411,393,393
1472337308,392,392
1472339410,387,387
1472340611,385,385
1472343017,384,384
1472344928,380,380
1472345767,382,382
1472347689,383,383
1472349080,382,382
1472349907,380,380
1472351290,379,379
1472352128,374,374
1472354046,372,372
1472355729,367,367
1472356567,368,368
1472357417,364,364
1472359400,358,358
1472360709,359,359
1472362509,348,348
1472363708,346,346
1472364616,336,336
1472366528,326,326
1472367464,326,326
1472368447,327,327
1472369410,326,326
1472372117,319,319
1472373730,317,317
1472374700,320,320
1472375708,319,319
1472376614,317,317
1472377327,317,317
1472378595,318,318
1472380087,319,319
1472380942,314,314
1472381798,315,315
1472382609,315,315
1472383587,316,316
1472384413,313,313
1472385912,311,311
1472386810,313,313
1472388127,316,316
1472390110,320,320
1472391012,322,322
1472392713,321,321
1472393649,322,322
1472394515,323,323
1472395624,320,320
1472396898,321,321
1472397836,322,322
1472398639,321,321
1472399865,323,323
1472400909,323,323
1472401812,324,324
1472402708,324,324
1472404510,313,313
1472405413,285,285
1472406127,284,284
1472409612,286,286
1472410507,287,287
1472411710,290,290
1472412615,291,291
1472413328,290,290
1472415248,291,291
1472416210,291,291
1472418126,289,289
1472418985,290,290
1472420709,289,289
1472422217,289,289
1472424012,285,285
1472424967,286,286
1472425808,283,283
1472427908,281,281
1472429647,282,282
1472430573,282,282
1472431880,291,291
1472433007,294,294
1472434928,293,293
1472436309,296,296
1472437210,299,299
1472438408,302,302
1472439307,307,307
1472440853,312,312
1472443081,319,319
1472443972,315,315
1472444809,314,314
1472445727,310,310
1472446658,314,314
1472447549,315,315
1472448487,317,317
1472449327,317,317
1472450136,326,326
1472451017,331,331
1472452211,334,334
1472453112,335,335
1472453905,336,336
1472454912,340,340
1472455807,337,337
1472456675,340,340
1472457817,345,345
1472458809,347,347
1472459993,348,348
1472460891,351,351
1472461809,353,353
1472462684,355,355
1472463613,353,353
1472463729,354,354
1472465712,355,355
1472466614,347,347
1472467334,350,350
1472468168,353,353
1472469010,352,352
1472469901,355,355
1472470811,353,353
1472473213,356,356
1472474410,354,354
1472476297,357,357
1472477412,355,355
1472479384,359,359
1472480328,361,361
1472481899,363,363
1472483106,368,368
1472484842,371,371
1472485333,371,371
1472486711,372,372
1472487612,373,373
1472488927,374,374
1472489930,374,374
1472491809,372,372
1472494812,371,371
1472495860,371,371
1472496910,372,372
1472497808,372,372
1472498887,373,373
1472501111,375,375
1472502011,376,376
1472503559,374,374
1472504428,375,375
1472506208,374,374
1472507090,373,373
1472508310,375,375
1472511706,373,373
1472513408,375,375
1472514972,376,376
1472515816,373,373
1472516887,374,374
1472517732,372,372
1472518569,375,375
1472519408,375,375
1472520431,381,381
1472521328,383,383
1472523590,388,388
1472524810,387,387
1472526190,388,388
1472526848,391,391
1472527809,389,389
1472528707,387,387
1472530511,391,391
1472531408,394,394
1472532312,396,396
1472533452,397,397
1472534409,398,398
1472535608,397,397
1472536506,399,399
1472537417,400,400
1472538613,397,397
1472539510,396,396
1472541610,395,395
1472542426,394,394
1472543713,395,395
1472544617,391,391
1472545692,392,392
1472547411,393,393
1472548809,394,394
1472550010,394,394
1472551513,396,396
1472552410,399,399
1472553730,395,395
1472555709,395,395
1472556609,393,393
1472558713,390,390
1472559612,392,392
1472560507,390,390
1472561708,394,394
1472562631,394,394
1472564528,394,394
1472565908,396,396
1472568133,394,394
1472570412,396,396
1472571610,395,395
1472572507,398,398
1472573417,398,398
1472574615,398,398
1472576662,398,398
1472580177,397,397
1472582108,399,399
1472583368,400,400
1472584207,399,399
1472585413,399,399
1472586967,400,400
1472587817,400,400
1472589012,400,400
1472589910,402,402
1472592011,405,405
1472592868,405,405
1472595250,407,407
1472596216,409,409
1472597110,409,409
1472599209,410,410
1472600707,406,406
1472602451,407,407
1472603409,404,404
1472604308,406,406
1472604967,408,408
1472605809,416,416
1472607729,435,435
1472610008,435,435
1472611213,430,430
1472612109,432,432
1472613008,429,429
1472613816,430,430
1472615708,431,431
1472618529,434,434
1472620447,430,430
1472621410,420,420
1472622128,418,418
1472623515,416,416
1472624414,419,419
1472626024,414,414
1472627110,411,411
1472628913,410,410
1472630112,414,414
1472631017,413,413
1472631917,415,415
1472632811,413,413
1472633771,416,416
1472634565,417,417
1472635510,419,419
1472636530,418,418
1472637535,420,420
1472638512,425,425
1472639391,426,426
1472640128,425,425
1472641101,424,424
1472641902,426,426
1472642774,427,427
1472643729,426,426
1472645032,424,424
1472646012,426,426
1472647809,427,427
1472648865,427,427
1472649681,428,428
1472650508,425,425
1472650927,423,423
1472653213,423,423
1472654527,421,421
1472656450,421,421
1472657294,422,422
1472658311,419,419
1472660052,420,420
1472661016,423,423
1472661907,422,422
1472662568,424,424
1472663411,424,424
1472664612,424,424
1472665510,423,423
1472666168,424,424
1472669914,421,421
1472671313,420,420
1472672107,422,422
1472674450,421,421
1472675409,423,423
1472678047,420,420
1472679010,420,420
1472680493,419,419
1472681711,421,421
1472682614,418,418
1472683510,418,418
1472685819,418,418
1472686615,416,416
1472688847,417,417
1472689810,412,412
1472690707,411,411
1472693073,414,414
1472694012,410,410
1472695509,411,411
1472696048,412,412
1472697013,411,411
1472698568,414,414
1472699409,411,411
1472700608,415,415
1472701327,415,415
1472702401,413,413
1472703308,417,417
1472704106,418,418
1472704927,412,412
1472705859,413,413
1472706908,412,412
1472707687,414,414
1472708717,412,412
1472709808,415,415
1472710813,417,417
1472711635,416,416
1472712908,420,420
1472713808,414,414
1472714603,416,416
1472715609,413,413
1472716540,418,418
1472717709,424,424
1472718609,416,416
1472719507,416,416
1472720622,414,414
1472721613,415,415
1472722809,414,414
1472723631,417,417
1472724617,418,418
1472725687,419,419
1472727582,417,417
1472728401,419,419
1472729410,417,417
1472730755,416,416
1472731644,411,411
1472732648,412,412
1472733610,409,409
1472734569,410,410
1472735409,408,408
1472736324,410,410
1472737332,409,409
1472738710,409,409
1472739614,418,418
1472740507,416,416
1472742086,416,416
1472742908,418,418
1472743807,420,420
1472744710,419,419
1472746810,418,418
1472748130,415,415
1472750048,417,417
1472751011,416,416
1472754011,417,417
1472754831,416,416
1472755330,415,415
1472756709,414,414
1472757610,416,416
1472758408,414,414
1472759757,413,413
1472760621,414,414
1472761474,417,417
1472762415,413,413
1472763908,413,413
1472765670,414,414
1472766128,413,413
1472768050,414,414
1472769733,412,412
1472771407,412,412
1472772608,408,408
1472774361,405,405
1472775307,407,407
1472776209,404,404
1472777110,405,405
1472777994,405,405
1472778847,406,406
1472780532,406,406
1472781907,415,415
1472782809,416,416
1472783924,415,415
1472784927,416,416
1472785808,417,417
1472787805,412,412
1472789647,418,418
1472790609,416,416
1472791331,417,417
1472792706,418,418
1472793611,420,420
1472794933,419,419
1472796615,421,421
1472797810,420,420
1472798710,419,419
1472800450,418,418
1472801561,416,416
1472802135,414,414
1472802969,415,415
1472803818,413,413
1472804675,417,417
1472805514,416,416
1472806769,405,405
1472808221,407,407
1472809148,402,402
1472811017,403,403
1472812088,405,405
1472812935,403,403
1472814310,400,400
1472815209,402,402
1472816531,398,398
1472818510,397,397
1472819340,398,398
1472822603,401,401
1472823612,394,394
1472824948,392,392
1472828155,393,393
1472828951,388,388
1472830896,388,388
1472831707,388,388
1472832617,389,389
1472833688,391,391
1472834709,388,388
1472836508,389,389
1472837355,388,388
1472840049,389,389
1472841733,389,389
1472844488,390,390
1472847313,391,391
1472851238,394,394
1472852412,395,395
1472854216,396,396
1472859308,396,396
1472860196,394,394
1472861708,394,394
1472862609,394,394
1472864707,391,391
1472865611,392,392
1472866561,391,391
1472866935,393,393
1472868308,392,392
1472869214,394,394
1472870107,392,392
1472872507,390,390
1472873409,392,392
1472876047,396,396
1472877011,394,394
1472877911,394,394
1472878826,390,390
1472879648,391,391
1472880608,386,386
1472881516,385,385
1472882709,381,381
1472885110,371,371
1472885995,367,367
1472886911,368,368
1472888532,362,362
1472889909,361,361
1472890813,362,362
1472891799,360,360
1472893508,359,359
1472895614,359,359
1472897417,357,357
1472898503,358,358
1472899507,352,352
1472901007,352,352
1472903367,352,352
1472904353,352,352
1472905811,352,352
1472906708,355,355
1472908209,354,354
1472909408,348,348
1472912617,304,304
1472914508,296,296
1472915407,297,297
1472917854,296,296
1472919035,298,298
1472920930,301,301
1472922908,309,309
1472923909,343,343
1472924710,340,340
1472925370,339,339
1472926217,339,339
1472930414,340,340
1472931614,339,339
1472932568,340,340
1472933417,339,339
1472934611,338,338
1472936467,338,338
1472938507,337,337
1472938929,335,335
1472940617,333,333
1472941808,332,332
1472943910,332,332
1472944814,333,333
1472946276,331,331
1472947511,329,329
1472949729,327,327
1472951109,321,321
1472953212,318,318
1472954059,319,319
1472955017,317,317
1472956208,313,313
1472957107,313,313
1472958907,311,311
1472959807,310,310
1472960710,309,309
1472962810,306,306
1472964009,303,303
1472965509,305,305
1472967733,301,301
1472968567,303,303
1472969417,304,304
1472970307,308,308
1472971211,300,300
1472974508,298,298
1472975777,298,298
1472976847,299,299
