DateTime,Entries,UniqueIPs
1472451003,19113,19113
1472452205,18974,18974
1472453103,18961,18961
1472453896,18867,18867
1472454903,18903,18903
1472455803,18881,18881
1472456671,18935,18935
1472457813,18952,18952
1472458802,18988,18988
1472459989,18976,18976
1472460887,19041,19041
1472461803,19051,19051
1472462680,19128,19128
1472463602,19109,19109
1472463722,19117,19117
1472464633,19184,19184
1472465703,19211,19211
1472466603,19186,19186
1472467323,19218,19218
1472468163,19279,19279
1472469002,19343,19343
1472469896,19456,19456
1472470802,19480,19480
1472470923,19491,19491
1472473203,19733,19733
1472474403,19783,19783
1472476292,19930,19930
1472476442,19945,19945
1472477403,19961,19961
1472479379,20076,20076
1472480323,20177,20177
1472481895,20295,20295
1472483102,20384,20384
1472484837,20442,20442
1472485325,20459,20459
1472486703,20525,20525
1472487605,20602,20602
1472488922,20643,20643
1472489925,20695,20695
1472490903,20791,20791
1472491803,20786,20786
1472492702,20828,20828
1472493902,20891,20891
1472494803,20968,20968
1472495856,20930,20930
1472496903,20963,20963
1472497803,20905,20905
1472498883,21024,21024
1472499723,21038,21038
1472501102,21177,21177
1472502003,21291,21291
1472503554,21396,21396
1472504423,21448,21448
1472506203,21641,21641
1472507086,21754,21754
1472508303,21909,21909
1472509203,22035,22035
1472509683,22101,22101
1472511701,22234,22234
1472513403,22386,22386
1472514123,22442,22442
1472514963,22590,22590
1472515802,22693,22693
1472516883,22886,22886
1472517723,22968,22968
1472518563,23125,23125
1472519403,23272,23272
1472520426,23420,23420
1472521322,23424,23424
1472523586,23687,23687
1472524803,23739,23739
1472526181,23892,23892
1472526842,23977,23977
1472527803,24103,24103
1472528703,24198,24198
1472530503,24304,24304
1472531403,24318,24318
1472532305,24357,24357
1472533448,24362,24362
1472534404,24434,24434
1472535602,24296,24296
1472536502,24359,24359
1472537403,24271,24271
1472538602,24152,24152
1472539505,24116,24116
1472541603,24117,24117
1472542422,24085,24085
1472543703,24099,24099
1472544603,24097,24097
1472545682,24161,24161
1472547407,24145,24145
1472548802,24203,24203
1472550003,24165,24165
1472551503,24176,24176
1472552403,24229,24229
1472553725,24206,24206
1472555703,24402,24402
1472556604,24491,24491
1472558703,24726,24726
1472559604,24801,24801
1472560503,24787,24787
1472561703,24886,24886
1472562626,24980,24980
1472564524,25199,25199
1472565903,25357,25357
1472566806,25451,25451
1472568123,25493,25493
1472570405,25807,25807
1472571602,25881,25881
1472572503,25944,25944
1472573403,25988,25988
1472574603,26000,26000
1472575503,26059,26059
1472576658,26093,26093
1472577602,26192,26192
1472578083,26248,26248
1472579322,26286,26286
1472580172,26372,26372
1472581202,26541,26541
1472582103,26589,26589
1472582523,26636,26636
1472583363,26763,26763
1472584203,26860,26860
1472585403,26936,26936
1472586303,27011,27011
1472586963,27091,27091
1472587803,27150,27150
1472589002,27222,27222
1472589903,27328,27328
1472590956,27390,27390
1472592004,27489,27489
1472592864,27530,27530
1472595243,27868,27868
1472596205,27965,27965
1472597103,28078,28078
1472599202,28259,28259
1472599683,28305,28305
1472600703,28099,28099
1472602443,28179,28179
1472603403,28240,28240
1472604303,28343,28343
1472604962,28439,28439
1472605803,28533,28533
1472607724,28914,28914
1472610002,29219,29219
1472611205,29329,29329
1472612103,29424,29424
1472613003,29418,29418
1472613811,29456,29456
1472614804,29417,29417
1472615703,29473,29473
1472616603,29493,29493
1472618523,29561,29561
1472620442,29653,29653
1472621403,29646,29646
1472622123,29678,29678
1472623503,29727,29727
1472624405,29790,29790
1472626019,29748,29748
1472627103,29739,29739
1472628004,29785,29785
1472628903,29755,29755
1472630103,29804,29804
1472631003,29779,29779
1472631911,29835,29835
1472632803,29739,29739
1472633763,29909,29909
1472634561,29933,29933
1472635506,30089,30089
1472636523,30065,30065
1472637531,30087,30087
1472638503,30236,30236
1472639386,30188,30188
1472640123,30261,30261
1472641081,30347,30347
1472641897,30291,30291
1472642767,30372,30372
1472643724,30189,30189
1472645026,30248,30248
1472646003,30387,30387
1472646903,30339,30339
1472647803,30392,30392
1472648860,30346,30346
1472649676,30439,30439
1472650503,30334,30334
1472650923,30316,30316
1472653205,30486,30486
1472654523,30444,30444
1472656443,30717,30717
1472657289,30910,30910
1472658303,30859,30859
1472660043,31016,31016
1472661006,30934,30934
1472661903,30925,30925
1472662562,30949,30949
1472663404,30871,30871
1472664604,30794,30794
1472665503,30838,30838
1472666163,30896,30896
1472667003,30933,30933
1472668083,31067,31067
1472669909,30945,30945
1472671309,31117,31117
1472672103,31004,31004
1472673002,31039,31039
1472674443,31124,31124
1472675404,31007,31007
1472676302,31069,31069
1472678043,31237,31237
1472679002,31211,31211
1472680489,31375,31375
1472681703,31421,31421
1472682604,31374,31374
1472683504,31511,31511
1472685815,31641,31641
1472686611,31466,31466
1472688842,31465,31465
1472689803,31347,31347
1472690702,31402,31402
1472692115,31469,31469
1472693068,31653,31653
1472694003,31492,31492
1472695503,31569,31569
1472696043,31672,31672
1472697003,31567,31567
1472697903,31618,31618
1472698563,31751,31751
1472699403,31781,31781
1472699643,31832,31832
1472700603,31900,31900
1472701322,31989,31989
1472702397,32138,32138
1472703303,32294,32294
1472704102,32421,32421
1472704923,32333,32333
1472705854,32364,32364
1472706903,32339,32339
1472707683,32383,32383
1472708703,32310,32310
1472709804,32326,32326
1472710804,32375,32375
1472711630,32345,32345
1472712903,32424,32424
1472713803,32453,32453
1472714598,32602,32602
1472715604,32626,32626
1472716536,32764,32764
1472717703,32805,32805
1472718603,32747,32747
1472719502,32798,32798
1472720617,32917,32917
1472721604,33097,33097
1472722804,33236,33236
1472723626,33357,33357
1472724603,33404,33404
1472725682,33538,33538
1472727578,33238,33238
1472728397,33354,33354
1472729403,33434,33434
1472730751,33584,33584
1472731640,33538,33538
1472732641,33697,33697
1472733603,33480,33480
1472734563,33657,33657
1472735403,33644,33644
1472736319,33818,33818
1472737323,33769,33769
1472738703,33823,33823
1472739603,33964,33964
1472740503,33798,33798
1472742075,33874,33874
1472742903,33986,33986
1472743803,33980,33980
1472744703,34054,34054
1472746803,34197,34197
1472747283,34218,34218
1472748124,34031,34031
1472750043,33949,33949
1472751003,33726,33726
1472754003,33574,33574
1472754826,33371,33371
1472755323,33331,33331
1472756703,33296,33296
1472757603,33392,33392
1472758403,33285,33285
1472759753,33340,33340
1472760616,33301,33301
1472761470,33390,33390
1472762403,33198,33198
1472762524,33209,33209
1472763903,33163,33163
1472764803,33272,33272
1472765665,33136,33136
1472766123,33114,33114
1472768043,33184,33184
1472768893,33341,33341
1472769726,33198,33198
1472770563,33388,33388
1472771402,33366,33366
1472772603,33380,33380
1472773503,33404,33404
1472774356,33384,33384
1472775303,33504,33504
1472776202,33392,33392
1472777102,33388,33388
1472777989,33330,33330
1472778842,33412,33412
1472780524,33299,33299
1472781902,33361,33361
1472782804,33467,33467
1472783920,33489,33489
1472784923,33599,33599
1472785803,33636,33636
1472787795,33713,33713
1472789643,33839,33839
1472790603,33838,33838
1472791324,33885,33885
1472792701,33986,33986
1472793603,34093,34093
1472794924,34049,34049
1472795763,34115,34115
1472796602,34136,34136
1472797804,34116,34116
1472798703,34118,34118
1472800442,34111,34111
1472801556,34085,34085
1472802124,34038,34038
1472802963,34107,34107
1472803803,33969,33969
1472804670,34028,34028
1472805509,33821,33821
1472806764,33691,33691
1472808216,33969,33969
1472809142,33773,33773
1472810102,33748,33748
1472811003,33686,33686
1472812083,33797,33797
1472812924,33708,33708
1472814303,33739,33739
1472815203,33827,33827
1472815683,33885,33885
1472816523,33732,33732
1472818502,33907,33907
1472819335,34031,34031
1472822598,34050,34050
1472823602,33840,33840
1472824393,33917,33917
1472825403,33783,33783
1472826482,34020,34020
1472828150,33857,33857
1472828947,33775,33775
1472830082,33904,33904
1472830888,33822,33822
1472831703,33917,33917
1472832603,33949,33949
1472833681,34076,34076
1472834703,34089,34089
1472835707,34062,34062
1472836503,34158,34158
1472837340,34250,34250
1472838142,34067,34067
1472840043,34076,34076
1472841723,33886,33886
1472842563,33973,33973
1472843403,33862,33862
1472844483,33973,33973
1472845296,33705,33705
1472846235,33801,33801
1472847303,33638,33638
1472848083,33711,33711
1472851232,33269,33269
1472852403,32937,32937
1472853416,33030,33030
1472854503,32886,32886
1472855403,32703,32703
1472856569,32660,32660
1472859302,32418,32418
1472860192,32382,32382
1472861702,32278,32278
1472862603,32023,32023
1472863431,31978,31978
1472864703,31824,31824
1472865603,31893,31893
1472866556,31650,31650
1472866924,31579,31579
1472868303,31448,31448
1472869205,31517,31517
1472870103,31206,31206
1472872503,31063,31063
1472873403,30868,30868
1472874123,30866,30866
1472876043,30968,30968
1472877003,30944,30944
1472877903,30983,30983
1472878815,30994,30994
1472879643,31063,31063
1472880603,31031,31031
1472881503,31062,31062
1472882702,31025,31025
1472883603,31081,31081
1472885103,30801,30801
1472885990,30656,30656
1472886903,30674,30674
1472888523,30554,30554
1472889902,30423,30423
1472890803,30450,30450
1472891794,30163,30163
1472893503,29891,29891
1472895604,29696,29696
1472896563,29731,29731
1472897403,29592,29592
1472898499,29749,29749
1472899503,29433,29433
1472901003,29442,29442
1472902061,29544,29544
1472903362,29224,29224
1472904348,29028,29028
1472904843,29046,29046
1472905803,28751,28751
1472906703,28660,28660
1472907363,28676,28676
1472908203,28499,28499
1472909403,28259,28259
1472910610,28235,28235
1472912612,27998,27998
1472914503,27605,27605
1472915403,27469,27469
1472916749,27395,27395
1472917850,27397,27397
1472919030,27354,27354
1472920925,27313,27313
1472922903,27369,27369
1472923905,27473,27473
1472924702,27565,27565
1472925363,27587,27587
1472926202,27500,27500
1472928123,27324,27324
1472929504,27257,27257
1472930403,27309,27309
1472931604,27119,27119
1472932563,27166,27166
1472933403,27039,27039
1472933642,27046,27046
1472934603,26876,26876
1472936453,26749,26749
1472937603,26806,26806
1472938503,26603,26603
1472938923,26502,26502
1472939786,26531,26531
1472940603,26286,26286
1472940842,26306,26306
1472941803,26051,26051
1472942524,25979,25979
1472943903,25850,25850
1472944805,25892,25892
1472945282,25910,25910
1472946272,25586,25586
1472947503,25478,25478
1472948404,25511,25511
1472949723,25245,25245
1472951103,25126,25126
1472952003,25148,25148
1472953203,24911,24911
1472954055,24939,24939
1472955003,24778,24778
1472956203,24604,24604
1472957103,24574,24574
1472958902,24483,24483
1472959803,24322,24322
1472960703,24276,24276
1472962802,24170,24170
1472964002,23962,23962
1472965504,23925,23925
1472966405,23952,23952
1472967724,23876,23876
1472968563,23918,23918
1472969403,23896,23896
1472970303,23936,23936
1472971204,23826,23826
1472974503,23765,23765
1472975772,23760,23760
1472976843,23676,23676
1472977804,23405,23405
1472979732,23266,23266
1472980868,23325,23325
1472981917,23179,23179
1472982789,23138,23138
1472984104,22995,22995
1472985003,22836,22836
1472985903,22777,22777
1472988005,22678,22678
1472989203,22395,22395
1472990102,22448,22448
1472991003,22303,22303
1472991243,22309,22309
1472992203,22142,22142
1472993104,22113,22113
1472993763,22143,22143
1472994603,22058,22058
1472995397,22087,22087
