DateTime,AddedIPs,RemovedIPs
1472454912,5,5
1472455807,6,16
1472456675,12,4
1472457817,17,9
1472458809,7,7
1472459993,19,16
1472460891,13,6
1472461809,10,6
1472462684,8,3
1472463613,14,17
1472464637,12,4
1472465710,7,8
1472466614,13,15
1472467333,10,4
1472468167,5,4
1472469010,4,10
1472469900,10,4
1472470811,12,18
1472470927,3,1
1472473212,24,22
1472474410,29,9
1472476296,21,10
1472476446,4,0
1472477411,6,9
1472479383,23,13
1472480327,12,8
1472481899,16,24
1472483106,3,7
1472484841,19,17
1472485332,8,1
1472486711,12,11
1472487612,8,6
1472488926,7,16
1472489929,16,7
1472490907,17,5
1472491808,6,9
1472492709,13,10
1472494811,28,15
1472495860,12,21
1472496910,13,8
1472497807,14,7
1472498887,16,8
1472499728,9,9
1472501111,10,9
1472502010,14,4
1472503559,15,16
1472504428,10,13
1472506207,17,22
1472507090,6,9
1472508310,19,10
1472509210,16,6
1472509690,8,6
1472511706,20,30
1472513408,22,21
1472514127,14,7
1472514972,15,9
1472515816,9,17
1472516887,16,10
1472517732,14,10
1472518569,10,6
1472519408,13,4
1472520430,11,9
1472521327,10,11
1472523589,21,20
1472524809,13,23
1472526188,18,16
1472526848,6,10
1472527808,13,11
1472528707,9,6
1472530511,21,15
1472531408,9,10
1472532311,10,8
1472533451,9,10
1472534409,11,7
1472535608,13,21
1472536506,5,5
1472537417,19,15
1472538611,15,12
1472539510,12,10
1472541609,24,24
1472542426,5,9
1472543712,14,12
1472544616,21,12
1472545691,21,4
1472547411,23,18
1472548808,18,24
1472550010,19,14
1472551512,18,14
1472552410,12,6
1472553729,14,21
1472555708,23,16
1472556609,10,12
1472558710,23,27
1472559611,13,11
1472560507,7,7
1472561707,10,6
1472562631,15,11
1472564528,22,21
1472565907,10,14
1472566813,6,3
1472568133,11,17
1472570411,20,22
1472571609,12,11
1472572507,14,4
1472573417,7,11
1472574614,13,19
1472575509,9,8
1472576662,13,11
1472577611,15,4
1472578088,6,4
1472579327,13,15
1472580177,13,13
1472581210,8,6
1472582107,13,14
1472582528,3,7
1472583367,10,2
1472584207,7,7
1472585412,13,14
1472586309,9,5
1472586967,4,5
1472587817,5,8
1472589010,13,6
1472589910,7,7
1472590960,11,12
1472592011,11,5
1472592868,7,9
1472595250,20,11
1472596214,9,9
1472597110,8,10
1472599208,13,13
1472599687,2,5
1472600706,15,9
1472602451,19,13
1472603408,9,19
1472604307,12,5
1472604966,6,9
1472605809,23,11
1472607729,186,23
1472610008,70,25
1472611212,11,14
1472612109,12,12
1472613007,8,11
1472613815,16,8
1472614811,12,13
1472615707,13,4
1472616616,6,8
1472618529,16,24
1472620447,18,21
1472621410,17,15
1472622127,10,7
1472623514,19,17
1472624413,6,9
1472626024,11,20
1472627110,11,17
1472628010,10,6
1472628913,13,19
1472630112,18,14
1472631016,6,16
1472631916,8,8
1472632811,7,17
1472633770,8,7
1472634565,12,11
1472635510,6,3
1472636529,10,21
1472637535,7,11
1472638511,4,7
1472639390,6,5
1472640127,6,14
1472641100,12,11
1472641902,10,5
1472642773,4,4
1472643729,8,31
1472645030,19,13
1472646011,14,7
1472646910,9,13
1472647808,7,12
1472648865,15,17
1472649681,8,9
1472650508,11,17
1472650927,6,5
1472653212,23,15
1472654527,26,20
1472656450,22,10
1472657294,9,5
1472658310,13,13
1472660051,16,20
1472661014,13,17
1472661907,16,9
1472662568,6,5
1472663411,10,11
1472664612,15,23
1472665510,12,15
1472666168,8,4
1472667016,13,13
1472668090,12,10
1472669913,17,35
1472671313,15,6
1472672107,8,20
1472673006,6,8
1472674449,15,16
1472675409,13,13
1472676306,11,5
1472678046,27,20
1472679009,25,20
1472680492,11,14
1472681711,10,21
1472682613,8,25
1472683510,16,5
1472685818,20,15
1472686615,6,12
1472688847,15,25
1472689809,19,10
1472690707,9,8
1472693072,23,13
1472694011,8,16
1472695509,8,11
1472696047,3,8
1472697011,17,14
1472697907,22,12
1472698567,4,5
1472699409,7,12
1472699647,0,3
1472700608,15,14
1472701327,5,5
1472702401,9,11
1472703307,12,6
1472704106,8,6
1472704927,11,19
1472705858,8,8
1472706907,14,17
1472707687,10,7
1472708716,9,12
1472709808,10,13
1472710811,15,6
1472711635,6,15
1472712908,19,6
1472713807,6,12
1472714602,3,8
1472715608,14,22
1472716540,11,7
1472717709,8,10
1472718609,11,19
1472719507,8,6
1472720622,16,13
1472721611,12,9
1472722808,13,19
1472723630,11,8
1472724617,4,11
1472725686,17,3
1472727582,25,22
1472728401,6,4
1472729410,13,26
1472730755,23,6
1472731644,7,10
1472732647,10,7
1472733610,15,19
1472734568,13,4
1472735408,9,11
1472736323,5,2
1472737331,16,15
1472738710,15,8
1472739612,18,1
1472740507,22,15
1472742085,9,18
1472742907,12,9
1472743807,5,11
1472744710,7,9
1472746809,16,17
1472747287,4,4
1472748129,8,13
1472750047,18,13
1472751011,7,10
1472754011,28,20
1472754831,6,8
1472755330,2,5
1472756709,9,14
1472757609,6,2
1472758407,6,6
1472759757,15,5
1472760621,5,11
1472761474,11,7
1472762413,7,13
1472762532,1,0
1472763908,14,11
1472764809,5,1
1472765670,6,3
1472766128,2,4
1472768049,17,11
1472768897,5,3
1472769732,7,17
1472770569,7,4
1472771406,6,3
1472772607,10,9
1472773507,7,8
1472774360,8,4
1472775307,7,4
1472776209,6,12
1472777109,7,9
1472777993,11,8
1472778846,9,5
1472780531,19,18
1472781906,13,8
1472782809,5,3
1472783924,7,19
1472784927,9,13
1472785807,10,6
1472787804,21,18
1472789647,16,11
1472790608,13,16
1472791331,11,12
1472792706,17,8
1472793611,18,8
1472794932,12,17
1472795767,14,3
1472796615,8,17
1472797809,13,13
1472798710,13,7
1472800449,9,16
1472801560,10,9
1472802133,4,2
1472802969,13,2
1472803817,6,10
1472804674,4,2
1472805513,10,7
1472806768,13,9
1472808221,17,8
1472809148,11,9
1472810107,12,12
1472811016,7,7
1472812088,12,9
1472812933,8,12
1472814309,7,10
1472815209,10,7
1472815689,3,2
1472816530,9,15
1472818510,20,14
1472819339,6,3
1472822602,26,31
1472823611,9,27
1472824946,13,16
1472825975,16,7
1472826489,4,4
1472828154,15,26
1472828951,8,9
1472830086,10,4
1472830896,9,18
1472831707,8,2
1472832616,5,11
1472833688,15,7
1472834709,6,18
1472835714,12,13
1472836507,10,4
1472837355,13,16
1472838149,9,10
1472840049,19,16
1472841732,10,11
1472842567,12,4
1472843409,4,13
1472844487,11,5
1472845306,9,11
1472846239,9,2
1472847312,11,6
1472848087,9,3
1472851238,29,24
1472852412,13,23
1472854216,21,15
1472855408,5,16
1472856573,11,8
1472859308,19,20
1472860196,7,9
1472861707,11,10
1472862608,10,13
1472863435,10,10
1472864707,9,10
1472865609,8,4
1472866560,6,9
1472866933,3,3
1472868307,7,10
1472869213,6,5
1472870107,7,15
1472872507,15,13
1472873408,4,7
1472874129,5,6
1472876047,18,6
1472877010,9,16
1472877911,6,8
1472878824,8,4
1472879648,4,7
1472880608,9,19
1472881516,11,2
1472882709,5,10
1472883609,9,7
1472885109,15,13
1472885995,7,12
1472886910,9,5
1472888531,15,10
1472889909,13,13
1472890811,7,3
1472891798,4,9
1472893508,15,16
1472895612,23,16
1472896568,7,0
1472897416,5,15
1472898503,7,2
1472899507,5,7
1472901007,12,10
1472902066,13,0
1472903366,10,15
1472904352,4,8
1472904849,2,2
1472905810,4,9
1472906707,5,6
1472907367,4,2
1472908208,11,11
1472909407,5,11
1472910614,5,6
1472912617,12,129
1472914507,15,126
1472915407,6,8
1472916753,5,10
1472917854,6,13
1472919034,14,10
1472920930,9,15
1472922908,19,15
1472923909,150,7
1472924710,102,7
1472925369,1,2
1472926216,6,10
1472928129,15,20
1472929508,8,8
1472930412,5,1
1472931612,3,19
1472932568,6,3
1472933416,6,13
1472933648,1,1
1472934610,8,10
1472936465,10,9
1472937608,7,2
1472938507,11,12
