DateTime,Entries,UniqueIPs
1472443972,1022,1022
1472444809,1031,1031
1472445727,1020,1020
1472446658,1022,1022
1472447548,1016,1016
1472448486,1021,1021
1472449327,1022,1022
1472450135,1027,1027
1472451017,1035,1035
1472452211,1026,1026
1472453111,1038,1038
1472453904,1040,1040
1472454912,1040,1040
1472455807,1030,1030
1472456675,1038,1038
1472457817,1046,1046
1472458809,1046,1046
1472459993,1049,1049
1472460891,1056,1056
1472461809,1060,1060
1472462684,1065,1065
1472463613,1062,1062
1472464637,1070,1070
1472465710,1069,1069
1472466614,1067,1067
1472467333,1073,1073
1472468167,1074,1074
1472469010,1068,1068
1472469900,1074,1074
1472470811,1068,1068
1472470927,1070,1070
1472473212,1072,1072
1472474410,1092,1092
1472476296,1103,1103
1472476446,1107,1107
1472477411,1104,1104
1472479383,1114,1114
1472480327,1118,1118
1472481899,1110,1110
1472483106,1106,1106
1472484841,1108,1108
1472485332,1115,1115
1472486711,1116,1116
1472487612,1118,1118
1472488926,1109,1109
1472489929,1118,1118
1472490907,1130,1130
1472491808,1127,1127
1472492709,1130,1130
1472494811,1143,1143
1472495860,1134,1134
1472496910,1139,1139
1472497807,1146,1146
1472498887,1154,1154
1472499728,1154,1154
1472501111,1155,1155
1472502010,1165,1165
1472503559,1164,1164
1472504428,1161,1161
1472506207,1156,1156
1472507090,1153,1153
1472508310,1162,1162
1472509210,1172,1172
1472509690,1174,1174
1472511706,1164,1164
1472513408,1165,1165
1472514127,1172,1172
1472514972,1178,1178
1472515816,1170,1170
1472516887,1176,1176
1472517732,1180,1180
1472518569,1184,1184
1472519408,1193,1193
1472520430,1195,1195
1472521327,1194,1194
1472523589,1195,1195
1472524809,1185,1185
1472526188,1187,1187
1472526848,1183,1183
1472527808,1185,1185
1472528707,1188,1188
1472530511,1194,1194
1472531408,1193,1193
1472532311,1195,1195
1472533451,1194,1194
1472534409,1198,1198
1472535608,1190,1190
1472536506,1190,1190
1472537417,1194,1194
1472538611,1197,1197
1472539510,1199,1199
1472541609,1199,1199
1472542426,1195,1195
1472543712,1197,1197
1472544616,1206,1206
1472545691,1223,1223
1472547411,1228,1228
1472548808,1222,1222
1472550010,1227,1227
1472551512,1231,1231
1472552410,1237,1237
1472553729,1230,1230
1472555708,1237,1237
1472556609,1235,1235
1472558710,1231,1231
1472559611,1233,1233
1472560507,1233,1233
1472561707,1237,1237
1472562631,1241,1241
1472564528,1242,1242
1472565907,1238,1238
1472566813,1241,1241
1472568133,1235,1235
1472570411,1233,1233
