DateTime,AddedIPs,RemovedIPs
1472456673,31,5
1472457815,34,19
1472458807,23,1
1472459991,50,52
1472460889,54,1
1472461806,59,46
1472462682,68,0
1472463608,61,53
1472463727,5,0
1472464634,56,0
1472465707,82,22
1472466609,62,41
1472467329,63,10
1472468165,48,2
1472469007,91,20
1472469898,100,0
1472470808,112,63
1472470925,10,1
1472473209,247,30
1472474406,125,52
1472476294,144,22
1472476444,14,0
1472477407,82,39
1472479381,190,65
1472480325,79,2
1472481897,165,44
1472483104,103,20
1472484839,122,61
1472485330,41,15
1472486705,112,45
1472487610,66,1
1472488924,115,66
1472489927,80,16
1472490905,88,4
1472491806,50,41
1472492705,53,13
1472493907,83,31
1472494809,57,0
1472495858,26,53
1472496908,34,20
1472497805,34,26
1472498885,95,1
1472499726,82,50
1472501107,158,18
1472502005,105,0
1472503556,184,34
1472504426,85,25
1472506205,238,35
1472507088,126,11
1472508308,167,21
1472509207,107,0
1472509688,54,0
1472511703,234,82
1472513406,190,43
1472514125,65,11
1472514968,138,1
1472515814,136,23
1472516885,178,1
1472517727,157,42
1472518566,144,1
1472519406,187,17
1472520428,133,0
1472521324,108,51
1472523587,303,38
1472524806,130,51
1472526184,165,23
1472526845,74,2
1472527806,158,45
1472528705,111,18
1472530505,149,43
1472531405,67,33
1472532309,43,11
1472533449,29,24
1472534407,58,1
1472535605,58,168
1472536504,56,0
1472537414,35,111
1472538607,41,138
1472539507,20,57
1472541605,41,30
1472542424,21,30
1472543708,24,18
1472544614,29,27
1472545688,51,1
1472547409,61,58
1472548806,68,34
1472550007,50,63
1472551509,48,37
1472552406,36,2
1472553727,47,55
1472555705,202,17
1472556607,141,36
1472558707,287,46
1472559608,60,3
1472560505,23,30
1472561705,102,19
1472562628,130,35
1472564526,263,49
1472565905,154,20
1472566811,80,0
1472568130,130,68
1472570408,330,34
1472571605,106,40
1472572505,44,0
1472573414,64,24
1472574608,73,51
1472575507,69,10
1472576660,82,39
1472577607,76,0
1472578085,49,0
1472579324,110,61
1472580174,119,29
1472581207,152,0
1472582105,128,34
1472582525,73,22
1472583365,118,0
1472584205,120,23
1472585409,150,48
1472586307,99,25
1472586965,66,0
1472587814,85,28
1472589008,116,25
1472589905,101,14
1472590958,87,20
1472592008,85,1
1472592866,79,20
1472595246,356,35
1472596210,135,24
1472597105,105,9
1472599205,265,75
1472599685,38,0
1472600704,112,283
1472602449,206,136
1472603406,132,40
1472604305,106,9
1472604964,84,1
1472605806,117,9
1472607726,425,53
1472610006,320,27
1472611209,166,36
1472612105,81,3
1472613005,40,19
1472613813,30,1
1472614808,33,41
1472615705,32,0
1472616614,24,21
1472618526,95,43
1472620444,133,35
1472621408,68,35
1472622125,46,14
1472623509,86,36
1472624410,51,0
1472626021,64,53
1472627108,37,39
1472628007,27,1
1472628908,14,39
1472630109,64,24
1472631014,40,61
1472631915,42,0
1472632807,93,154
1472633766,144,1
1472634563,108,75
1472635508,140,1
1472636527,163,165
1472637533,84,75
1472638507,136,10
1472639388,128,179
1472640125,107,73
1472641094,57,102
1472641899,68,13
1472642771,65,0
1472643726,85,233
1472645028,156,99
1472646006,121,1
1472646907,101,129
1472647806,81,45
1472648863,68,119
1472649679,69,0
1472650506,89,186
1472650925,41,54
1472653209,246,100
1472654525,142,173
1472656448,345,96
1472657291,180,0
1472658307,180,189
1472660048,237,100
1472661010,42,110
1472661905,25,43
1472662566,13,0
1472663408,23,76
1472664606,33,93
1472665505,53,17
1472666165,48,0
1472667014,83,34
1472668085,109,0
1472669911,219,296
1472671311,151,16
1472672105,108,219
1472673004,104,71
1472674446,195,111
1472675406,115,217
1472676304,123,77
1472678044,358,171
1472679004,178,184
1472680491,224,71
1472681708,192,137
1472682610,150,176
1472683508,170,50
1472685817,306,186
1472686613,108,287
1472688844,267,324
1472689805,140,246
1472690704,127,74
1472692117,222,156
1472693070,171,2
1472694007,150,268
1472695507,233,151
1472696045,91,0
1472697006,159,228
1472697905,133,82
1472698565,125,0
1472699406,151,126
1472699645,42,1
1472700605,175,125
1472701324,115,36
1472702399,181,28
1472703305,136,0
1472704104,114,0
1472704925,55,129
1472705856,19,0
