DateTime,Entries,UniqueIPs
1472439304,15184,15184
1472440851,15065,15065
1472443079,14911,14911
1472443970,14840,14840
1472444807,14858,14858
1472445725,14625,14625
1472446656,14641,14641
1472447546,14606,14606
1472448484,14624,14624
1472449325,14565,14565
1472450133,14580,14580
1472451014,14565,14565
1472452208,14428,14428
1472453108,14417,14417
1472453901,14329,14329
1472454909,14343,14343
1472455805,14326,14326
1472456673,14352,14352
1472457815,14367,14367
1472458807,14389,14389
1472459991,14387,14387
1472460889,14440,14440
1472461806,14453,14453
1472462682,14521,14521
1472463608,14529,14529
1472463727,14534,14534
1472464634,14590,14590
1472465707,14650,14650
1472466609,14671,14671
1472467329,14724,14724
1472468165,14770,14770
1472469007,14841,14841
1472469898,14941,14941
1472470808,14990,14990
1472470925,14999,14999
1472473209,15216,15216
1472474406,15289,15289
1472476294,15411,15411
1472476444,15425,15425
1472477407,15468,15468
1472479381,15593,15593
1472480325,15670,15670
1472481897,15791,15791
1472483104,15874,15874
1472484839,15935,15935
1472485330,15961,15961
1472486705,16028,16028
1472487610,16093,16093
1472488924,16142,16142
1472489927,16206,16206
1472490905,16290,16290
1472491806,16299,16299
1472492705,16339,16339
1472493907,16391,16391
1472494809,16448,16448
1472495858,16421,16421
1472496908,16435,16435
1472497805,16443,16443
1472498885,16537,16537
1472499726,16569,16569
1472501107,16709,16709
1472502005,16814,16814
1472503556,16964,16964
1472504426,17024,17024
1472506205,17227,17227
1472507088,17342,17342
1472508308,17488,17488
1472509207,17595,17595
1472509688,17649,17649
1472511703,17801,17801
1472513406,17948,17948
1472514125,18002,18002
1472514968,18139,18139
1472515814,18252,18252
1472516885,18429,18429
1472517727,18544,18544
1472518566,18687,18687
1472519406,18857,18857
1472520428,18990,18990
1472521324,19047,19047
1472523587,19312,19312
1472524806,19391,19391
1472526184,19533,19533
1472526845,19605,19605
1472527806,19718,19718
1472528705,19811,19811
1472530505,19917,19917
1472531405,19951,19951
1472532309,19983,19983
1472533449,19988,19988
1472534407,20045,20045
1472535605,19935,19935
1472536504,19991,19991
1472537414,19915,19915
1472538607,19818,19818
1472539507,19781,19781
1472541605,19792,19792
1472542424,19783,19783
1472543708,19789,19789
1472544614,19791,19791
1472545688,19841,19841
1472547409,19844,19844
1472548806,19878,19878
1472550007,19865,19865
1472551509,19876,19876
1472552406,19910,19910
1472553727,19902,19902
1472555705,20087,20087
1472556607,20192,20192
1472558707,20433,20433
1472559608,20490,20490
1472560505,20483,20483
1472561705,20566,20566
1472562628,20661,20661
1472564526,20875,20875
1472565905,21009,21009
1472566811,21089,21089
1472568130,21151,21151
1472570408,21447,21447
1472571605,21513,21513
1472572505,21557,21557
1472573414,21597,21597
1472574608,21619,21619
1472575507,21678,21678
1472576660,21721,21721
1472577607,21797,21797
1472578085,21846,21846
1472579324,21895,21895
1472580174,21985,21985
1472581207,22137,22137
1472582105,22231,22231
1472582525,22282,22282
1472583365,22400,22400
1472584205,22497,22497
1472585409,22599,22599
1472586307,22673,22673
1472586965,22739,22739
1472587814,22796,22796
1472589008,22887,22887
1472589905,22974,22974
1472590958,23041,23041
1472592008,23125,23125
1472592866,23184,23184
1472595246,23505,23505
1472596210,23616,23616
1472597105,23712,23712
1472599205,23902,23902
1472599685,23940,23940
1472600704,23769,23769
1472602449,23839,23839
1472603406,23931,23931
1472604305,24028,24028
1472604964,24111,24111
1472605806,24219,24219
1472607726,24591,24591
1472610006,24884,24884
1472611209,25014,25014
1472612105,25092,25092
1472613005,25113,25113
1472613813,25142,25142
1472614808,25134,25134
1472615705,25166,25166
1472616614,25169,25169
1472618526,25221,25221
1472620444,25319,25319
1472621408,25352,25352
1472622125,25384,25384
1472623509,25434,25434
1472624410,25485,25485
1472626021,25496,25496
1472627108,25494,25494
1472628007,25520,25520
1472628908,25495,25495
1472630109,25535,25535
1472631014,25514,25514
1472631915,25556,25556
1472632807,25495,25495
1472633766,25638,25638
1472634563,25671,25671
1472635508,25810,25810
1472636527,25808,25808
1472637533,25817,25817
1472638507,25943,25943
1472639388,25892,25892
1472640125,25926,25926
1472641094,25881,25881
1472641899,25936,25936
1472642771,26001,26001
1472643726,25853,25853
1472645028,25910,25910
1472646006,26030,26030
1472646907,26002,26002
1472647806,26038,26038
1472648863,25987,25987
1472649679,26056,26056
1472650506,25959,25959
1472650925,25946,25946
1472653209,26092,26092
1472654525,26061,26061
1472656448,26310,26310
1472657291,26490,26490
1472658307,26481,26481
1472660048,26618,26618
1472661010,26550,26550
1472661905,26532,26532
1472662566,26545,26545
1472663408,26492,26492
1472664606,26432,26432
1472665505,26468,26468
1472666165,26516,26516
1472667014,26565,26565
1472668085,26674,26674
1472669911,26597,26597
1472671311,26732,26732
1472672105,26621,26621
1472673004,26654,26654
1472674446,26738,26738
1472675406,26636,26636
1472676304,26682,26682
1472678044,26869,26869
1472679004,26863,26863
1472680491,27016,27016
1472681708,27071,27071
1472682610,27045,27045
1472683508,27165,27165
1472685817,27285,27285
1472686613,27106,27106
1472688844,27049,27049
1472689805,26943,26943
1472690704,26996,26996
1472692117,27062,27062
1472693070,27231,27231
1472694007,27113,27113
1472695507,27195,27195
1472696045,27286,27286
1472697006,27217,27217
1472697905,27268,27268
1472698565,27393,27393
1472699406,27418,27418
1472699645,27459,27459
1472700605,27509,27509
1472701324,27588,27588
1472702399,27741,27741
1472703305,27877,27877
1472704104,27991,27991
1472704925,27917,27917
1472705856,27936,27936
1472706905,27904,27904
1472707685,27936,27936
1472708714,27879,27879
1472709806,27880,27880
1472710807,27908,27908
1472711632,27876,27876
1472712906,27943,27943
1472713805,27977,27977
1472714600,28106,28106
1472715606,28154,28154
1472716538,28274,28274
1472717706,28297,28297
1472718606,28261,28261
1472719504,28307,28307
1472720620,28431,28431
1472721607,28589,28589
1472722806,28715,28715
1472723628,28815,28815
1472724615,28857,28857
1472725684,28972,28972
1472727580,28693,28693
1472728399,28792,28792
1472729408,28852,28852
1472730753,28994,28994
1472731642,28957,28957
1472732643,29097,29097
1472733608,28920,28920
1472734566,29070,29070
1472735405,29072,29072
1472736321,29232,29232
1472737328,29209,29209
1472738706,29254,29254
1472739608,29373,29373
1472740505,29244,29244
1472742080,29336,29336
1472742905,29434,29434
1472743805,29449,29449
1472744707,29516,29516
1472746806,29635,29635
1472747285,29647,29647
1472748126,29479,29479
1472750045,29391,29391
1472751008,29187,29187
1472754006,28992,28992
1472754829,28805,28805
1472755326,28767,28767
1472756707,28717,28717
1472757606,28793,28793
1472758405,28703,28703
1472759755,28747,28747
1472760618,28714,28714
1472761472,28782,28782
1472762409,28617,28617
1472762528,28627,28627
1472763906,28579,28579
1472764807,28671,28671
1472765668,28535,28535
1472766126,28520,28520
1472768047,28580,28580
1472768895,28733,28733
1472769729,28610,28610
1472770566,28784,28784
1472771404,28767,28767
1472772605,28792,28792
1472773505,28804,28804
1472774358,28785,28785
1472775305,28886,28886
1472776204,28761,28761
1472777107,28747,28747
1472777991,28696,28696
1472778844,28772,28772
1472780526,28661,28661
1472781904,28695,28695
1472782807,28775,28775
1472783922,28798,28798
1472784925,28894,28894
1472785804,28933,28933
1472787797,29027,29027
1472789645,29135,29135
1472790606,29135,29135
1472791327,29174,29174
1472792703,29250,29250
1472793607,29338,29338
1472794927,29294,29294
1472795765,29352,29352
1472796613,29371,29371
1472797807,29368,29368
1472798707,29370,29370
1472800447,29354,29354
1472801558,29336,29336
1472802128,29296,29296
1472802965,29352,29352
1472803815,29232,29232
1472804672,29275,29275
1472805511,29070,29070
1472806766,28962,28962
1472808219,29211,29211
1472809145,29046,29046
1472810105,29048,29048
1472811014,29009,29009
1472812085,29100,29100
1472812929,29045,29045
1472814307,29075,29075
1472815206,29152,29152
1472815686,29199,29199
1472816526,29047,29047
1472818507,29204,29204
1472819337,29317,29317
1472822600,29331,29331
1472823606,29154,29154
1472824941,29047,29047
1472825973,29198,29198
1472826487,29311,29311
1472828152,29156,29156
1472828949,29081,29081
1472830085,29192,29192
1472830892,29141,29141
1472831705,29223,29223
1472832614,29263,29263
1472833684,29370,29370
1472834705,29400,29400
1472835709,29368,29368
1472836505,29446,29446
1472837342,29526,29526
1472838144,29355,29355
1472840047,29354,29354
1472841728,29196,29196
1472842565,29269,29269
1472843405,29161,29161
1472844485,29247,29247
1472845301,29007,29007
1472846237,29088,29088
1472847309,28932,28932
1472848085,28988,28988
1472851235,28527,28527
1472852409,28203,28203
1472854213,28092,28092
1472855405,27933,27933
1472856571,27931,27931
