DateTime,AddedIPs,RemovedIPs
1471899962,0,1
1471901065,1,0
1471905728,1,2
1471908910,1,3
1471911016,1,0
1471912208,0,3
1471914022,0,1
1471917151,0,1
1471932847,1,1
1471935731,0,1
1471946076,1,0
1471948209,0,1
1471950455,0,1
1471951808,0,1
1471955409,0,1
1471961417,1,1
1471963508,0,2
1471966812,2,0
1471969689,0,1
1471973709,2,0
1471975125,1,1
1471976112,0,1
1471977016,1,0
1471979647,0,2
1471983250,2,0
1471984212,1,0
1471985408,1,0
1471987958,0,2
1471989632,0,1
1471994047,3,0
1471995009,1,3
1471998612,1,0
1472000507,0,1
1472002210,0,1
1472004032,1,0
1472005812,1,1
1472008816,1,0
1472009707,0,1
1472013616,0,1
1472016608,1,0
1472029519,1,0
1472030418,2,0
1472031623,1,0
1472038818,1,1
1472040909,0,2
1472041811,0,3
1472043868,0,1
1472047707,1,1
1472048966,0,1
1472049744,1,0
1472051647,1,0
1472052596,1,0
1472053509,0,1
1472055549,0,1
1472056817,1,2
1472057707,1,0
1472059808,1,2
1472060714,1,1
1472061755,0,1
1472062606,1,0
1472063410,0,1
1472066047,1,0
1472069416,2,0
1472071347,2,0
1472073247,2,0
1472075116,2,0
1472076911,1,0
1472077811,1,0
1472078722,0,1
1472080817,1,2
1472084048,0,1
1472085228,1,0
1472087506,0,1
1472090724,0,1
1472097307,2,0
1472105417,1,0
1472110814,1,0
1472113810,0,1
1472120113,2,0
1472124613,0,1
1472129134,1,0
1472130607,1,1
1472133883,5,0
1472135411,1,1
1472136323,1,0
1472138419,1,0
1472139209,1,0
1472142280,1,0
1472143220,1,0
1472144168,1,0
1472147767,0,1
1472148914,1,1
1472153410,0,3
1472154332,0,2
1472161351,1,0
1472162720,1,1
1472163628,1,0
1472164507,0,2
1472168547,3,1
1472172017,2,0
1472175309,1,0
1472176568,5,0
1472183406,1,0
1472184327,1,1
1472186554,1,0
1472188207,0,1
1472190254,1,0
1472194855,1,0
1472200091,2,0
1472201110,0,3
1472202116,0,1
1472203807,1,0
1472204527,1,0
1472208309,1,1
1472210849,1,1
1472211730,0,1
1472214010,2,0
1472216107,3,0
1472219707,1,0
1472220849,0,1
1472221700,1,0
1472224825,0,3
1472225667,0,1
1472228964,0,2
1472229762,0,1
1472230567,2,0
1472233533,2,2
1472235637,1,0
1472236833,1,0
1472237710,1,0
1472238611,1,0
1472239808,3,4
1472241830,2,1
1472242448,1,0
1472244336,0,1
1472246421,1,0
1472247765,1,1
1472249132,1,1
1472250017,2,0
1472250907,1,0
1472252659,2,1
1472253634,1,2
1472254819,2,1
1472256616,3,1
1472257702,1,0
1472258737,1,0
