DateTime,Entries,UniqueIPs
1471955409,93,93
1471961417,93,93
1471963508,91,91
1471966812,93,93
1471969689,92,92
1471973709,94,94
1471975125,94,94
1471976112,93,93
1471977016,94,94
1471979647,92,92
1471983250,94,94
1471984212,95,95
1471985408,96,96
1471987958,94,94
1471989632,93,93
1471994047,96,96
1471995009,94,94
1471998612,95,95
1472000507,94,94
1472002210,93,93
1472004032,94,94
1472005812,94,94
1472008816,95,95
1472009707,94,94
1472013616,93,93
1472016608,94,94
1472029519,95,95
1472030418,97,97
1472031623,98,98
1472038818,98,98
1472040909,96,96
1472041811,93,93
1472043868,92,92
1472047707,92,92
1472048966,91,91
1472049744,92,92
1472051647,93,93
1472052596,94,94
1472053509,93,93
1472055549,92,92
1472056817,91,91
1472057707,92,92
1472059808,91,91
1472060714,91,91
1472061755,90,90
1472062606,91,91
1472063410,90,90
1472066047,91,91
1472069416,93,93
1472071347,95,95
1472073247,97,97
1472075116,99,99
1472076911,100,100
1472077811,101,101
1472078722,100,100
1472080817,99,99
1472084048,98,98
1472085228,99,99
1472087506,98,98
1472090724,97,97
1472097307,99,99
1472105417,100,100
1472110814,101,101
1472113810,100,100
1472120113,102,102
1472124613,101,101
1472129134,102,102
1472130607,102,102
1472133883,107,107
1472135411,107,107
1472136323,108,108
1472138419,109,109
1472139209,110,110
1472142280,111,111
1472143220,112,112
1472144168,113,113
1472147767,112,112
1472148914,112,112
1472153410,109,109
1472154332,107,107
1472161351,108,108
1472162720,108,108
1472163628,109,109
1472164507,107,107
1472168547,109,109
1472172017,111,111
1472175309,112,112
1472176568,117,117
1472183406,118,118
1472184327,118,118
1472186554,119,119
1472188207,118,118
1472190254,119,119
1472194855,120,120
1472200091,122,122
1472201110,119,119
1472202116,118,118
1472203807,119,119
1472204527,120,120
1472208309,120,120
1472210849,120,120
1472211730,119,119
1472214010,121,121
1472216107,124,124
1472219707,125,125
1472220849,124,124
1472221700,125,125
1472224825,122,122
1472225667,121,121
1472228964,119,119
1472229762,118,118
1472230567,120,120
1472233533,120,120
1472235637,121,121
1472236833,122,122
1472237710,123,123
1472238611,124,124
1472239808,123,123
1472241830,124,124
1472242448,125,125
1472244336,124,124
1472246421,125,125
1472247765,125,125
1472249132,125,125
1472250017,127,127
1472250907,128,128
1472252659,129,129
1472253634,128,128
1472254819,129,129
1472256616,131,131
1472257702,132,132
1472258737,133,133
1472260447,133,133
1472264114,134,134
1472268615,134,134
1472271247,135,135
1472280163,134,134
1472285648,134,134
1472286613,133,133
1472289572,132,132
1472295371,133,133
1472297414,133,133
1472299817,132,132
1472301769,133,133
1472303149,132,132
1472306265,130,130
1472307315,125,125
1472311226,126,126
1472312578,124,124
1472313500,123,123
1472315867,125,125
1472317809,127,127
1472319013,126,126
1472321649,128,128
1472322612,129,129
1472323511,130,130
1472325008,131,131
1472326212,132,132
1472328847,132,132
1472329810,134,134
1472330527,133,133
1472333374,135,135
1472336411,135,135
1472337308,134,134
1472338507,136,136
1472341509,135,135
1472343018,134,134
1472345767,135,135
1472347689,133,133
1472349080,133,133
1472351290,134,134
1472355729,132,132
1472359400,132,132
1472363708,133,133
1472364616,130,130
1472366528,130,130
1472367464,131,131
