DateTime,AddedIPs,RemovedIPs
1472468164,5,1
1472469005,6,6
1472469897,7,2
1472470805,4,17
1472473206,14,12
1472474403,6,25
1472476293,19,9
1472477405,4,18
1472479380,12,26
1472480324,10,0
1472481896,19,18
1472483103,9,12
1472484838,17,17
1472485328,4,6
1472486703,12,13
1472487608,7,0
1472488923,16,14
1472489926,7,14
1472490904,7,2
1472491804,11,12
1472492703,13,11
1472493905,28,13
1472494806,14,0
1472495857,13,12
1472496905,16,4
1472497803,11,63
1472498884,14,0
1472499724,12,18
1472501105,13,19
1472502004,4,0
1472503555,18,21
1472504424,7,15
1472506204,12,17
1472507086,6,7
1472508305,15,4
1472509205,11,0
1472509685,5,0
1472511702,22,14
1472513405,25,16
1472514123,10,5
1472514965,10,1
1472515812,9,10
1472516884,5,0
1472517724,10,20
1472518564,7,0
1472519405,6,19
1472520427,5,0
1472521323,3,41
1472523586,30,5
1472524804,13,13
1472526182,25,4
1472526843,4,0
1472527805,29,8
1472528704,11,5
1472530503,17,8
1472531404,0,10
1472532307,4,3
1472533448,4,8
1472534406,3,0
1472535604,3,19
1472536503,1,0
1472537413,7,11
1472538604,2,14
1472539506,3,6
1472541603,6,12
1472542423,3,16
1472543705,5,7
1472544613,10,9
1472545685,4,0
1472547407,6,13
1472548804,15,5
1472550005,15,32
1472551506,12,12
1472552404,9,0
1472553725,14,18
1472555704,21,10
1472556605,7,17
1472558705,21,12
1472559605,8,1
1472560504,11,10
1472561704,8,3
1472562627,12,4
1472564524,29,17
1472565904,30,3
1472566808,9,0
1472568125,13,15
1472570406,12,7
1472571603,28,12
1472572503,5,4
1472573413,8,7
1472574606,7,12
1472575505,3,6
1472576659,9,12
1472577603,10,0
1472578084,4,0
1472579323,11,18
1472580173,5,13
1472581204,5,0
1472582104,4,49
1472582524,3,4
1472583364,2,0
1472584204,7,7
1472585405,11,36
1472586305,3,4
1472586963,6,0
1472587813,8,10
1472589005,5,22
1472589904,11,3
1472590957,8,11
1472592005,7,0
1472592865,8,14
1472595245,18,18
1472596207,11,14
1472597104,13,1
1472599204,14,24
1472599684,2,0
1472600703,6,30
1472602446,15,8
1472603404,0,27
1472604304,3,2
1472604963,7,0
1472605805,3,17
1472607725,10,15
1472610004,13,11
1472611206,5,15
1472612104,7,0
1472613004,6,5
1472613812,3,0
1472614806,6,19
1472615704,21,1
1472616613,27,9
1472618524,39,20
1472620443,6,10
1472621405,5,21
1472622124,5,6
1472623506,10,6
1472624408,4,0
1472626020,5,50
1472627106,6,11
1472628006,14,0
1472628905,10,8
1472630106,12,9
1472631013,4,10
1472631912,5,0
1472632804,5,18
1472633764,16,0
1472634562,6,7
1472635506,9,0
1472636524,9,17
1472637532,18,7
1472638504,8,0
1472639387,21,10
1472640124,37,3
1472641082,23,0
1472641898,6,6
1472642770,8,0
1472643725,9,11
1472645027,13,11
