DateTime,Entries,UniqueIPs
1472416204,2067,2067
1472417103,2070,2070
1472418981,2076,2076
1472420704,2077,2077
1472422213,2076,2076
1472423127,2090,2090
1472424005,2085,2085
1472424964,2091,2091
1472425803,2086,2086
1472427903,2079,2079
1472429644,2096,2096
1472430569,2082,2082
1472431877,2083,2083
1472433003,2087,2087
1472434924,2073,2073
1472436303,2077,2077
1472437205,2079,2079
1472438403,2079,2079
1472439303,2086,2086
1472440850,2085,2085
1472443078,2079,2079
1472443969,2080,2080
1472444805,2083,2083
1472445724,2070,2070
1472446655,2077,2077
1472447545,2080,2080
1472448483,2089,2089
1472449323,2081,2081
1472450132,2087,2087
1472451013,2092,2092
1472452207,2085,2085
1472453105,2087,2087
1472453899,2086,2086
1472454906,2096,2096
1472455804,2112,2112
1472456672,2134,2134
1472457814,2134,2134
1472458805,2140,2140
1472459989,2138,2138
1472460887,2147,2147
1472461805,2144,2144
1472462680,2146,2146
1472463605,2130,2130
1472463725,2131,2131
1472464633,2134,2134
1472465705,2106,2106
1472466605,2073,2073
1472467326,2058,2058
1472468164,2062,2062
1472469005,2062,2062
1472469897,2067,2067
1472470805,2054,2054
1472473206,2056,2056
1472474403,2037,2037
1472476293,2047,2047
1472477405,2033,2033
1472479380,2019,2019
1472480324,2029,2029
1472481896,2030,2030
1472483103,2027,2027
1472484838,2027,2027
1472485328,2025,2025
1472486703,2024,2024
1472487608,2031,2031
1472488923,2033,2033
1472489926,2026,2026
1472490904,2031,2031
1472491804,2030,2030
1472492703,2032,2032
1472493905,2047,2047
1472494806,2061,2061
1472495857,2062,2062
1472496905,2074,2074
1472497803,2022,2022
1472498884,2036,2036
1472499724,2030,2030
1472501105,2024,2024
1472502004,2028,2028
1472503555,2025,2025
1472504424,2017,2017
1472506204,2012,2012
1472507086,2011,2011
1472508305,2022,2022
1472509205,2033,2033
1472509685,2038,2038
1472511702,2046,2046
1472513405,2055,2055
1472514123,2060,2060
1472514965,2069,2069
1472515812,2068,2068
