DateTime,AddedIPs,RemovedIPs
1470028809,1,0
1470035409,1,0
1470038591,0,1
1470043210,1,0
1470049508,1,0
1470050651,1,1
1470062709,0,1
1470070992,1,0
1470074168,1,0
1470094456,1,0
1470105308,1,0
1470108419,1,0
1470109328,0,1
1470110708,2,0
1470121509,0,1
1470123729,1,0
1470126909,1,0
1470128364,1,0
1470145328,1,0
1470147581,1,0
1470148810,0,1
1470197419,0,1
1470215111,1,0
1470217212,0,1
1470219019,0,1
1470221112,0,1
1470226085,0,1
1470227410,1,0
1470235509,1,0
1470240733,0,1
1470256090,1,0
1470272109,1,0
1470295810,0,1
1470300014,0,1
1470303908,0,1
1470314090,1,0
1470317357,0,1
1470320852,1,0
1470321728,0,1
1470336132,1,0
1470342612,1,0
1470365110,1,0
1470367213,1,0
1470373809,0,2
1470382929,0,1
1470384912,0,1
1470385810,0,1
1470400160,0,1
1470402848,1,0
1470406218,0,1
1470414908,0,1
1470416709,0,1
1470423650,1,0
1470429310,0,1
1470438296,0,1
1470445809,0,3
1470458709,3,0
1470465729,1,0
1470477362,0,1
1470483309,0,1
1470487585,0,1
1470495648,0,1
1470497409,0,1
1470502569,0,1
1470506169,0,1
1470515410,1,1
1470519310,0,1
1470526929,0,1
1470528174,0,3
1470530409,0,5
1470531908,0,5
1470533920,0,22
1470540632,0,1
1470544209,15,0
1470545109,9,0
1470546609,2,0
1470547811,2,0
1470551411,1,0
1470554410,1,0
1470557418,1,0
1470558489,1,0
1470560709,1,0
1470566054,1,0
1470571689,1,0
1470575109,0,1
1470580210,2,1
1470591613,1,0
1470593306,0,1
1470594609,1,0
1470600310,1,0
1470605411,1,0
1470608414,1,1
1470610192,1,1
1470611409,1,1
1470612628,1,1
1470615248,1,1
1470616210,1,0
1470622444,1,1
1470623708,0,3
1470624608,4,1
1470625508,1,0
1470626410,1,1
1470628880,1,2
1470635118,2,1
1470637211,1,0
1470638529,1,0
1470645911,1,1
1470648009,1,0
1470649673,1,1
1470651510,0,1
1470658450,1,1
1470661368,0,1
1470663309,1,0
1470667210,1,1
1470670210,0,1
1470677728,0,1
1470678131,1,0
1470682142,1,0
1470698411,1,0
1470704353,1,0
1470712812,1,1
1470728530,0,1
1470750013,0,1
1470756012,1,0
1470756488,1,0
1470760930,0,1
1470763690,1,0
1470765369,0,1
1470774805,0,1
1470780310,1,0
1470786309,1,1
1470793333,1,1
1470802450,1,0
1470803301,1,0
1470805809,0,1
1470809418,0,1
1470814937,0,1
1470818537,1,0
1470820510,1,0
1470821413,1,0
1470832814,0,1
1470837310,1,0
1470847511,0,1
1470850210,0,1
1470855311,0,1
1470860052,2,0
1470864496,1,0
1470876968,1,0
1470878042,0,1
1470880739,0,1
1470906973,2,0
1470907809,0,1
1470913468,0,1
1470926417,1,1
1470927707,2,0
1470935128,1,0
1470939312,1,0
1470942309,1,0
1470948023,0,1
1470953006,1,0
1470963380,1,1
1470976553,0,2
1470983991,1,0
1470990914,0,1
1470992417,1,0
1470994669,1,0
1470996316,1,1
1470998545,0,1
1471005745,1,1
1471007010,0,1
1471013479,2,0
1471018218,1,0
1471029963,1,0
1471043111,0,1
1471052109,1,0
1471059626,0,1
1471081337,0,1
1471085069,1,0
1471087659,1,0
1471104148,1,0
1471111528,0,1
1471113927,0,1
1471117808,0,1
1471127305,1,1
1471130340,1,0
1471133135,1,1
1471140324,1,0
1471153233,1,0
1471154170,1,0
1471156090,1,0
1471158074,2,0
1471159814,0,1
1471164610,0,1
1471173920,1,0
1471180209,0,1
1471182158,1,0
1471183529,0,1
1471197308,1,0
1471210251,1,2
1471211152,0,1
1471212619,1,1
1471222209,3,0
1471223409,1,1
1471224610,1,1
1471227612,1,0
1471229109,1,1
1471230277,1,1
1471232709,1,1
1471234811,1,0
1471248414,1,1
1471249689,1,0
1471250551,0,1
1471252210,1,0
1471253810,1,0
1471254909,0,1
1471255819,0,1
1471257732,2,2
1471258572,1,0
1471259413,2,1
1471260593,1,0
1471261513,1,1
1471263613,2,1
1471269912,1,1
1471273223,1,2
1471278610,13,0
1471285810,0,1
1471299019,1,1
1471305616,1,1
1471314609,1,1
1471326138,1,0
1471333404,0,1
1471343652,1,0
1471347614,1,1
1471358710,0,1
1471360210,0,1
1471364116,2,0
1471365013,0,1
1471369342,1,1
1471372216,0,1
1471380146,1,0
1471381811,1,0
1471389010,1,0
1471391803,1,0
1471396210,0,1
1471415289,1,0
1471416311,1,0
1471419309,1,0
1471422025,1,0
1471424312,1,0
1471437583,1,0
1471442720,0,1
1471444834,0,1
1471463118,0,1
1471469710,0,1
1471473014,0,1
1471487413,0,1
1471489528,0,1
1471491011,1,0
1471493650,1,0
1471506160,0,1
1471507066,1,0
1471508051,0,1
1471512653,0,1
1471522828,1,0
1471526615,1,0
1471529264,0,1
1471532710,1,0
1471537813,2,0
1471547502,1,0
1471590915,2,0
1471592419,1,1
1471595411,2,0
1471605618,0,1
1471608906,1,0
1471614144,0,1
1471630820,1,0
1471653011,0,1
1471657345,0,1
1471659017,0,1
1471675349,1,0
1471683536,1,0
1471685183,1,0
1471689925,0,1
1471704147,1,0
1471706050,0,1
1471707013,0,4
1471713622,1,0
1471718656,0,2
1471723480,0,1
1471728611,1,0
1471738509,0,1
1471747338,2,1
1471750947,0,1
1471760423,1,0
1471765349,0,2
1471767625,0,1
1471769465,1,0
1471785251,1,1
1471787949,0,1
1471794315,2,0
1471796315,1,0
1471797613,1,0
1471799410,0,1
1471801334,0,1
1471803317,1,0
1471805715,0,1
1471807811,0,1
1471810738,1,0
1471816719,1,1
1471817716,1,1
1471820220,2,0
1471821308,1,1
1471822209,1,0
1471825211,2,1
1471826411,1,1
1471834568,1,1
1471835648,1,0
1471836612,1,0
1471840812,1,1
1471841768,1,1
1471848131,1,1
1471854013,0,1
1471854913,0,1
1471859111,1,1
1471860159,1,1
1471864509,1,0
1471868414,1,1
1471870511,1,1
1471871411,0,1
1471874499,1,0
1471876929,1,1
1471878909,1,2
1471879815,2,0
1471882513,0,1
1471885437,0,2
1471887309,0,1
1471890911,0,3
1471897689,1,0
1471910126,1,0
1471912210,0,2
1471915816,0,2
1471938009,0,1
1471940855,1,0
1471944013,1,0
1471947251,1,0
1471949441,1,0
1471954219,1,0
1471962488,1,0
1471972816,1,0
1471995013,0,1
1472006542,0,1
1472014512,1,0
1472035538,1,1
1472048968,0,1
1472053511,1,0
1472055552,1,0
1472071355,0,1
1472074214,0,1
1472077815,0,1
1472085230,1,0
1472107350,0,1
1472110822,0,1
1472113813,0,1
1472116212,1,1
1472117415,0,3
1472127313,0,1
1472130609,1,0
1472135413,0,1
1472139601,0,1
1472141350,1,0
1472143229,0,1
1472148915,1,1
1472150683,1,0
1472158837,0,1
1472164509,1,0
1472173535,1,0
1472175311,0,1
1472184337,1,0
1472188208,1,0
1472190263,0,1
1472191818,1,0
1472199315,1,0
1472203809,0,1
1472207287,1,0
1472208311,0,1
1472214012,1,0
1472224834,0,2
1472225668,0,1
1472234677,1,0
1472241840,3,0
1472267408,1,0
1472268617,0,1
1472271249,1,0
1472285650,0,1
1472293812,0,1
1472296509,1,0
1472304044,1,0
1472312590,1,3
1472319014,0,1
1472323513,0,1
1472325010,1,0
1472330528,0,1
1472333376,1,0
1472337310,0,1
1472344930,0,1
1472366529,0,1
1472367465,4,0
1472368448,1,0
1472404512,0,1
1472405415,0,1
1472416211,0,1
1472422219,2,1
1472423132,1,0
1472425810,0,1
1472438410,0,1
1472443093,0,1
1472462686,1,0
1472465716,1,0
1472468169,1,0
1472473214,1,1
1472474412,0,1
1472476299,3,1
1472479385,2,1
1472481901,2,1
1472483108,1,0
1472485334,1,0
1472486713,1,0
1472488929,1,0
1472491811,1,0
1472492712,1,0
1472494815,1,0
1472501113,1,0
1472504430,0,1
1472508312,1,0
1472509212,1,0
1472511708,1,0
1472517733,1,0
1472527810,0,1
1472534411,1,1
1472535610,0,1
1472537419,0,4
1472538617,0,1
1472552412,1,0
1472559615,1,1
1472566817,2,0
1472568135,2,0
1472570414,4,0
1472592870,0,1
1472595252,1,0
1472607731,1,0
1472620449,2,0
1472635512,1,0
1472646912,0,1
1472648867,1,0
1472656452,0,1
1472661018,0,1
1472668092,1,0
1472675411,0,1
1472678048,1,0
1472685820,1,1
1472686617,1,0
1472719509,1,0
1472722813,0,1
1472733612,0,1
1472737334,0,1
1472738712,1,0
1472750050,0,1
1472756711,1,0
1472776211,1,0
1472787806,1,0
1472811019,1,0
1472812941,1,0
1472818512,0,2
1472824952,0,1
1472828953,1,0
1472830900,0,1
1472837702,0,1
1472847315,0,1
1472859310,2,1
1472861711,1,0
1472876049,1,0
1472877012,0,1
1472878828,2,0
1472879650,1,0
1472885997,0,1
1472889911,1,0
1472896570,1,0
1472912619,0,1
1472920935,0,2
1472923911,1,0
1472946278,0,1
1472949731,0,1
1472957109,0,1
1472959809,3,0
1472964015,0,1
1472977811,0,1
1472980882,1,0
1472981923,0,1
1472982795,0,1
1472988024,0,1
