DateTime,Entries,UniqueIPs
1470022928,96,96
1470024309,96,96
1470026118,94,94
1470027802,95,95
1470028809,96,96
1470035409,97,97
1470038591,96,96
1470043210,97,97
1470049508,98,98
1470050651,98,98
1470062709,97,97
1470070992,98,98
1470074168,99,99
1470094456,100,100
1470105308,101,101
1470108419,102,102
1470109328,101,101
1470110708,103,103
1470121509,102,102
1470123729,103,103
1470126909,104,104
1470128364,105,105
1470145328,106,106
1470147581,107,107
1470148810,106,106
1470197419,105,105
1470215111,106,106
1470217212,105,105
1470219019,104,104
1470221112,103,103
1470226085,102,102
1470227410,103,103
1470235509,104,104
1470240733,103,103
1470256090,104,104
1470272109,105,105
1470295810,104,104
1470300014,103,103
1470303908,102,102
1470314090,103,103
1470317357,102,102
1470320852,103,103
1470321728,102,102
1470336132,103,103
1470342612,104,104
1470365110,105,105
1470367213,106,106
1470373809,104,104
1470382929,103,103
1470384912,102,102
1470385810,101,101
1470400160,100,100
1470402848,101,101
1470406218,100,100
1470414908,99,99
1470416709,98,98
1470423650,99,99
1470429310,98,98
1470438296,97,97
1470445809,94,94
1470458709,97,97
1470465729,98,98
1470477362,97,97
1470483309,96,96
1470487585,95,95
1470495648,94,94
1470497409,93,93
1470502569,92,92
1470506169,91,91
1470515410,91,91
1470519310,90,90
1470526929,89,89
1470528174,86,86
1470530409,81,81
1470531908,76,76
1470533920,54,54
1470540632,53,53
1470544209,68,68
1470545109,77,77
1470546609,79,79
1470547811,81,81
1470551411,82,82
1470554410,83,83
1470557418,84,84
1470558489,85,85
1470560709,86,86
1470566054,87,87
1470571689,88,88
1470575109,87,87
1470580210,88,88
1470591613,89,89
1470593306,88,88
1470594609,89,89
1470600310,90,90
1470605411,91,91
1470608414,91,91
1470610192,91,91
1470611409,91,91
1470612628,91,91
1470615248,91,91
1470616210,92,92
1470622444,92,92
1470623708,89,89
1470624608,92,92
1470625508,93,93
1470626410,93,93
1470628880,92,92
1470635118,93,93
1470637211,94,94
1470638529,95,95
1470645911,95,95
1470648009,96,96
1470649673,96,96
1470651510,95,95
1470658450,95,95
1470661368,94,94
1470663309,95,95
1470667210,95,95
1470670210,94,94
1470677728,93,93
1470678131,94,94
1470682142,95,95
1470698411,96,96
1470704353,97,97
1470712812,97,97
1470728530,96,96
1470750013,95,95
1470756012,96,96
1470756488,97,97
1470760930,96,96
1470763690,97,97
1470765369,96,96
1470774805,95,95
1470780310,96,96
1470786309,96,96
1470793333,96,96
1470802450,97,97
1470803301,98,98
1470805809,97,97
1470809418,96,96
1470814937,95,95
1470818537,96,96
