DateTime,AddedIPs,RemovedIPs
1472846105,0,47
1472846703,89,0
1472847307,1,91
1472847903,40,48
1472848503,1,3
1472848808,0,121
1472849406,2,104
1472850003,1,2
1472850603,12,8
1472851203,1,5
1472851505,0,43
1472852102,1,14
1472852405,0,35
1472853003,45,14
1472853305,5,44
1472853903,0,15
1472854504,2,14
1472855102,41,1
1472855405,1,43
1472856003,62,10
1472856603,3,5
1472857206,2,49
1472857804,0,11
1472858404,3,42
1472859005,3,43
1472859604,1,2
1472860204,3,12
1472860804,9,35
1472861403,0,19
1472861706,0,32
1472862302,0,2
1472862604,1,25
1472863203,27,14
1472863801,38,7
1472864403,1,4
1472865004,18,1
1472865609,1,114
1472866203,37,13
1472866803,3,1
1472867402,24,2
1472867706,1,37
1472868302,3,4
1472868902,0,7
1472869206,2,96
1472869802,2,13
1472870403,2,4
1472871004,23,27
1472871602,4,1
1472872202,2,1
1472872803,21,16
1472873107,2,8
1472873702,45,80
1472874004,0,26
1472874602,44,9
1472874906,115,40
1472875503,0,14
1472876104,26,14
1472876702,20,2
1472877004,0,7
1472877603,3,15
1472877904,56,6
1472878502,15,8
1472878804,6,1
1472879403,6,4
1472880004,2,3
1472880602,3,9
1472881203,27,14
1472881802,2,38
1472882402,39,10
1472882704,2,7
1472883303,160,17
1472883605,45,6
1472884205,81,31
1472884803,7,13
1472885402,25,10
1472886002,3,9
1472886602,3,18
1472887203,10,3
1472887805,1,74
1472888403,1,12
1472889008,176,105
1472889602,3,3
1472890203,91,16
1472890802,0,6
1472891403,2,13
1472892003,2,11
1472892602,53,9
1472893202,5,2
1472893802,90,13
1472894105,50,7
1472894704,1,2
1472895006,1,74
1472895603,52,6
1472896203,19,5
1472896802,1,8
1472897403,3,5
1472898002,60,2
1472899202,3,4
1472899802,51,6
1472900104,0,8
1472900702,1,2
1472901603,51,39
1472902203,1,8
1472902802,1,0
1472903403,146,3
1472904006,0,93
1472904603,0,3
1472905202,1,1
1472905802,92,8
1472906403,11,9
1472907004,52,24
1472907602,4,5
1472907904,66,4
1472908502,86,1
1472909105,1,40
1472909703,12,1
1472910303,50,3
1472910904,1,18
1472911507,51,91
1472912102,1,8
1472912703,5,1
1472913303,52,2
1472913903,3,4
1472914501,51,3
1472914803,13,2
1472915402,208,2
1472915707,10,118
1472916303,112,10
1472916903,106,21
1472917503,101,3
1472918105,7,45
1472918703,57,9
1472919304,6,4
1472919904,46,3
1472920503,56,9
1472921105,6,9
1472921704,94,32
1472922303,5,2
1472922902,53,0
1472923505,54,12
1472924107,41,81
1472924703,55,17
1472925006,3,61
1472925602,22,1
1472925904,14,17
1472926505,151,24
1472927103,5,0
1472927707,5,85
1472928303,190,11
1472928903,31,4
1472929505,50,40
1472930103,92,7
1472930703,6,5
1472931006,95,66
1472931603,12,19
1472932203,37,4
1472932802,23,4
