DateTime,Entries,UniqueIPs
1472932802,11512,11512
1472933109,11435,11435
1472933704,11435,11435
1472934305,11454,11454
1472934903,11494,11494
1472935503,11487,11487
1472936104,11584,11584
1472936703,11585,11585
1472937303,11599,11599
1472937903,11640,11640
1472938505,11640,11640
1472939105,11765,11765
1472939704,11808,11808
1472940304,11802,11802
1472940902,11845,11845
1472941206,11813,11813
1472941803,11863,11863
1472942406,11803,11803
1472943003,11850,11850
1472943604,11978,11978
1472944204,11969,11969
1472944803,12020,12020
1472945403,12016,12016
1472946003,12069,12069
1472946603,12071,12071
1472947204,12115,12115
1472947802,12122,12122
1472948402,12124,12124
1472949004,12191,12191
1472949603,12263,12263
1472949905,12243,12243
1472950503,12241,12241
1472951103,12242,12242
1472951703,12326,12326
1472952304,12373,12373
1472952903,12332,12332
1472953502,12335,12335
1472953804,12317,12317
1472954404,12310,12310
1472955003,12316,12316
1472955305,12317,12317
1472955903,12317,12317
1472956503,12321,12321
1472957103,12321,12321
1472957406,12305,12305
1472958003,12297,12297
1472958603,12295,12295
1472959205,12325,12325
1472959814,12299,12299
1472960403,12349,12349
1472960709,12344,12344
1472961312,12252,12252
1472961903,12346,12346
1472962508,12365,12365
1472963104,12365,12365
1472963703,12412,12412
1472964310,12353,12353
1472964903,12343,12343
1472965504,12337,12337
1472966102,12338,12338
1472966404,12330,12330
1472967003,12375,12375
1472967604,12364,12364
1472968204,12356,12356
1472968804,12363,12363
1472969406,12301,12301
1472970006,12259,12259
1472970605,12181,12181
1472971206,12179,12179
1472971803,12245,12245
1472972404,12239,12239
1472973003,12270,12270
1472973605,12310,12310
1472974203,12312,12312
1472974804,12407,12407
1472975407,12429,12429
1472975709,12345,12345
1472976303,12343,12343
1472976610,12320,12320
1472977203,12322,12322
1472977805,12313,12313
1472978404,12349,12349
1472979010,12293,12293
1472979603,12338,12338
1472980209,12286,12286
1472980804,12237,12237
1472981403,12238,12238
1472982012,8285,8285
1472982604,12197,12197
1472983203,12201,12201
1472983805,12200,12200
1472984404,12146,12146
1472985004,12190,12190
1472985604,12273,12273
1472986206,12228,12228
1472986804,12222,12222
1472987405,12311,12311
1472987707,12244,12244
1472988303,12294,12294
1472988903,12291,12291
1472989507,12214,12214
1472990103,12174,12174
1472990405,12156,12156
1472991003,12202,12202
1472991602,12202,12202
1472991912,12126,12126
1472992804,12133,12133
1472993405,12226,12226
1472994004,12225,12225
1472994607,12136,12136
1472995205,12077,12077
1472995802,12078,12078
1472996104,12057,12057
1472996705,12017,12017
1472997302,12064,12064
1472997906,12031,12031
1472998503,12034,12034
1472999103,12019,12019
1472999405,11971,11971
1473000003,12050,12050
1473000605,12022,12022
1473001204,12031,12031
1473001512,11847,11847
1473002104,11840,11840
1473002408,11729,11729
1473003003,11717,11717
1473003307,11646,11646
1473003907,11540,11540
1473004503,11538,11538
1473005106,11487,11487
1473005703,11484,11484
1473006307,11475,11475
1473006905,11424,11424
1473007504,11415,11415
1473008106,11331,11331
1473008703,11327,11327
1473009305,11290,11290
1473009906,11251,11251
1473010504,11234,11234
1473011106,11148,11148
1473011705,11215,11215
1473012303,11184,11184
1473012908,11050,11050
1473013504,11088,11088
1473014103,11105,11105
1473014410,10935,10935
1473015004,10933,10933
1473015306,10899,10899
1473015906,10839,10839
1473016505,10774,10774
1473017103,10775,10775
1473017406,10686,10686
1473018003,10680,10680
1473018603,10678,10678
1473018906,10632,10632
1473019503,10631,10631
1473020103,10632,10632
1473020405,10687,10687
1473021004,10687,10687
1473021604,10659,10659
1473022205,10657,10657
1473022507,10608,10608
1473023103,10600,10600
1473023405,10702,10702
1473024006,10653,10653
1473024603,10654,10654
1473025206,10629,10629
1473025508,10539,10539
1473026105,10475,10475
1473026703,10485,10485
1473027306,10441,10441
1473027903,10478,10478
1473028206,10431,10431
1473028802,10432,10432
1473029406,10385,10385
1473029709,10273,10273
1473030303,10271,10271
1473030904,10274,10274
1473031503,10235,10235
1473032106,10189,10189
1473032704,10185,10185
1473033305,10233,10233
1473033903,10228,10228
1473034504,10217,10217
1473035103,10216,10216
1473035407,10169,10169
1473036005,10113,10113
1473036604,10103,10103
1473037203,10105,10105
1473037506,10101,10101
1473038106,10035,10035
1473038706,10084,10084
1473039303,10089,10089
1473039902,10089,10089
1473040204,10089,10089
1473040803,10087,10087
1473041403,10077,10077
1473042004,10075,10075
1473042604,10078,10078
1473043203,10076,10076
1473043803,10075,10075
1473044402,10075,10075
1473045002,10081,10081
1473045305,10035,10035
1473045903,10045,10045
1473046504,10069,10069
1473047104,10039,10039
1473047703,10035,10035
1473048305,9987,9987
1473048903,9973,9973
1473049206,9923,9923
1473049802,9922,9922
1473050106,9889,9889
1473050704,9887,9887
1473051303,9869,9869
1473051903,9872,9872
1473052502,9870,9870
1473053104,9831,9831
1473053703,9838,9838
1473054005,9881,9881
1473054602,9887,9887
1473055205,9842,9842
1473055803,9971,9971
1473056406,9894,9894
1473057003,9878,9878
1473057604,9867,9867
1473058207,9794,9794
1473058803,9788,9788
1473059403,9763,9763
1473060004,9711,9711
1473060603,9709,9709
1473061206,9635,9635
1473061803,9556,9556
1473062403,9646,9646
1473063003,9642,9642
1473063306,9590,9590
1473063903,9595,9595
1473064504,9607,9607
1473065103,9610,9610
1473065704,9566,9566
1473066303,9564,9564
1473066902,9565,9565
1473067204,9565,9565
1473067803,9547,9547
1473068402,9548,9548
1473068705,9497,9497
1473069303,9494,9494
1473069903,9494,9494
1473070502,9490,9490
1473070804,9515,9515
1473071404,9551,9551
1473072003,9483,9483
1473072603,9482,9482
1473073203,9472,9472
1473073806,9362,9362
1473074404,9312,9312
1473075002,9306,9306
1473075303,9305,9305
1473075903,9298,9298
1473076502,9307,9307
1473077105,9262,9262
1473077703,9267,9267
1473078303,9266,9266
1473078904,9361,9361
1473079505,9318,9318
1473080103,9277,9277
1473080703,9277,9277
1473081303,9365,9365
1473081903,9367,9367
1473082503,9364,9364
1473083103,9360,9360
1473083707,9317,9317
1473084304,9310,9310
1473084903,9311,9311
1473085503,9312,9312
1473086106,9219,9219
1473086703,9309,9309
1473087303,9453,9453
1473087903,9454,9454
1473088503,9549,9549
1473089102,9542,9542
1473089702,9595,9595
1473090303,9653,9653
1473090604,9642,9642
1473091205,9756,9756
1473091804,9844,9844
1473092406,9862,9862
1473093004,9907,9907
1473093605,10005,10005
1473094203,10072,10072
1473094505,10069,10069
1473095103,10214,10214
1473095705,10392,10392
1473096305,10483,10483
1473096902,10486,10486
