DateTime,AddedIPs,RemovedIPs
1461975165,243,591
1461997021,132,2126
1462019054,512,385
1462041214,61,2129
1462063224,487,278
1462085321,86,282
1462107391,816,409
1462129268,364,1653
1462151301,46,585
1462173156,665,337
1462195218,5474,442
1462220945,755,50
1462243168,275,565
1462265083,144,72
1462286950,498,217
1462308999,109,464
1462331050,302,36
1462352955,72,333
1462374983,2065,4736
1462397057,142,575
1462418916,219,503
1462440758,265,205
1462462826,253,568
1462484918,223,329
1462507001,330,298
1462529059,316,89
1462550913,328,2845
1462572777,436,205
1462594810,82,184
1462616664,91,329
1462638511,527,471
1462660591,458,189
1462682687,181,245
1462704745,121,299
1462726870,962,298
1462748900,89,382
1462771020,42,79
1462792998,65,59
1462814901,308,449
1462836798,35,732
1462858667,418,162
1462880685,739,116
1462902765,4502,1235
1462924830,56,75
1462946912,45,35
1462968806,100,104
1462990822,110,404
1463012705,163,13
1463034763,142,669
1463056848,115,684
1463078911,92,5706
1463100753,44,61
1463123104,247,51
1463145006,102,104
1463166991,106,94
1463189067,73,132
1463211049,136,128
1463233207,26,103
1463255051,36,105
1463276898,111,42
1463299010,115,240
1463321071,376,93
1463343149,260,108
1463365269,267,75
1463387298,222,128
1463409151,108,21
1463431223,784,38
1463453076,860,93
1463475142,593,96
1463496984,367,176
1463518842,103,166
1463540706,64,195
1463562742,70,201
1463584602,358,94
1463606494,104,569
1463628503,62,818
1463650354,209,763
1463672207,155,676
1463694296,126,109
1463716337,69,81
1463738219,10596,64
1463760263,979,444
1463782111,5,60
1463803953,76,50
1463825817,5383,136
1463848061,331,79
1463869954,48,60
1463892037,75,37
1463914108,101,6931
1463936193,177,327
1463958268,71,2
1463980366,140,33
1464002462,248,8499
1464024509,85,227
1464046371,136,69
1464068465,100,115
1464090466,125,239
1464112352,54,1405
1464134482,1919,74
1464156511,69,134
1464178366,73,494
1464200433,79,31
1464222522,48,92
1464244617,90,60
1464266653,72,85
1464288496,101,21
1464310376,1832,1215
1464332435,804,18
1464354510,42,19
1464376615,86,32
1464398652,171,23
1464420526,50,26
1464442611,61,33
1464464686,8,32
1464486787,204,2881
1464508831,128,1003
1464530681,97,91
1464552776,91,124
1464574833,299,219
1464596954,119,87
1464619066,165,100
1464641054,16,9
1464662906,3873,118
1464684757,199,110
1464706611,48,84
1464728456,63,89
1464750299,1753,203
1464772340,110,111
1464794199,67,126
1464816045,16,11
1464838115,1049,2741
1464859963,53,219
1464882029,47,55
1464904139,52,74
1464926178,2001,1501
1464948036,145,127
1464969896,82,74
1464991744,861,22
1465013803,767,1006
1465035871,81,51
1465057979,54,41
1465080024,153,55
1465102110,312,2677
1465123963,97,93
1465146040,70,60
1465168180,5014,618
1465190190,1108,445
1465212046,108,60
1465234135,29,39
1465256194,3060,85
1465278266,626,99
1465300113,34,70
1465321972,39,31
1465344042,949,3604
1465366128,1256,551
1465388186,50,79
1465410266,37,24
1465432500,662,3733
1465454453,500,593
1465476508,62,88
1465498418,65,39
1465520438,317,1251
1465542516,139,1689
1465564610,61,46
1465586670,32,31
1465608798,379,1086
1465630835,898,1278
1465652953,73,86
1465674981,85,89
1465696835,291,477
1465718906,83,247
1465740782,37,51
1465762824,34,33
1465784910,148,460
1465806980,56,1830
1465828835,105,81
1465850946,5,78
1465872994,93,400
1465894876,45,97
1465916902,21,42
1465938849,37,38
1465960838,275,184
1465982898,9,65
1466004756,13,118
1466026596,80,7
1466048656,135,99
1466070516,38,45
1466092599,12,24
1466114665,27,32
1466136508,113,276
1466158651,52,10
1466180655,180,10
1466202507,185,68
1466224610,84,154
1466246680,2688,16
1466268755,2850,5
1466290603,43,13
1466312666,56,50
1466334781,161,23
1466356814,711,81
1466378655,23,113
1466400541,22,51
1466422595,119,2094
1466444443,9,2655
1466466291,2,62
1466488336,55,85
1466510185,200,213
1466532108,506,1211
1466554104,40,41
1466575957,54,33
1466598030,207,159
1466620107,129,12
1466641953,86,3
1466664076,90,57
1466686185,96,238
1466708483,114,743
1466730518,66,37
1466752610,65,46
1466774649,189,192
1466796527,3,285
1466818611,48,75
1466840651,27,97
1466862516,150,97
1466884582,34,138
1466906439,2,75
1466928504,420,64
1466950356,901,145
1466972422,6,5
1466994518,4,47
1467016589,228,23
1467038601,1345,87
1467060511,85,25
1467082505,38,2
1467104486,1665,243
1467126504,1888,235
1467148635,39,3
1467170679,41,7
1467192524,934,157
1467214380,35,793
1467236230,100,62
1467258267,70,29
1467280353,1010,1140
1467302473,1847,1142
1467324319,12,31
1467346343,76,32
1467368191,770,886
1467390043,966,38
1467412110,34,97
1467433953,48,71
1467455796,784,1185
1467477947,594,817
1467499963,32,9
1467522063,14,32
1467544099,95,756
1467566030,666,1823
1467588019,71,19
1467610106,71,18
1467631962,158,1190
1467654165,92,2408
1467676103,108,41
1467698012,96,19
1467719874,930,127
1467742003,151,758
1467763954,65,85
1467786106,87,83
1467808207,8611,147
1467830185,54,80
1467852031,5,116
1467874110,16,113
1467895962,4418,394
1467918032,363,247
1467940107,26,62
1467961986,60,81
1467983914,2038,5744
1468005855,225,107
1468027706,58,6
1468049551,105,14
1468071629,459,5535
1468093712,399,169
1468115557,27,32
1468137676,213,51
1468159708,2147,2877
1468181570,119,134
1468203620,34,50
1468225736,203,97
1468247827,314,652
1468269874,120,1060
1468291952,48,27
1468313792,175,169
1468335689,93,2544
1468357704,129,86
1468379557,140,30
1468401630,3195,154
1468423471,86,915
1468445563,80,91
1468467643,30,33
1468489714,3716,122
1468511787,1038,64
1468533660,76,72
1468555720,68,58
1468577798,1552,1824
1468599866,698,56
1468621711,173,70
1468643797,10,18
1468665865,582,3669
1468687964,392,1010
1468710066,100,69
1468732101,83,60
1468753958,918,1433
1468776019,790,315
1468797874,50,202
1468820007,117,11
1468842081,178,1477
1468864106,140,1012
1468885956,61,146
1468908043,149,108
1468930130,78,1285
1468952280,5149,971
1468974261,1987,61
1468996110,648,132
1469017957,198,167
1469039806,104,126
1469061855,118,56
1469083702,11,139
1469105570,109,71
1469127486,4250,2822
1469149460,421,2205
1469171320,105,654
1469193401,72,191
1469215461,2122,102
1469237566,345,121
1469259629,67,10
1469281701,91,92
1469303557,485,4244
1469325647,460,525
1469347708,123,108
1469369804,428,65
1469391850,528,3245
1469413715,614,595
1469435803,5,62
1469457851,105,85
1469479714,405,607
1469501562,605,492
1469523649,12,123
1469545698,94,495
1469567815,9,386
1469589858,168,579
1469611705,3,3
1469633565,15,150
1469655621,995,620
1469677466,700,271
1469699312,39,13
1469721168,47,100
1469743280,585,25
1469765304,169,566
1469787408,6,4
1469809460,2250,14
1469831324,279,844
1469853382,81,742
1469875232,7,33
1469897308,1059,33
1469919398,69,80
1469941253,182,67
1469963312,110,8
1469985166,630,1462
1470007215,837,329
1470029056,242,67
1470050910,150,11
1470072758,998,1705
1470094845,369,391
1470116910,14,11
1470138859,4,94
1470160840,676,231
1470182690,105,575
1470204750,149,130
1470226686,34,133
1470248662,17,1401
1470270551,5,1041
1470292588,62,158
1470314665,17,4
1470336544,1916,943
1470358593,952,144
1470380447,59,332
1470402506,13,31
1470424354,1003,17
1470446528,155,3
1470468494,42,31
1470490365,45,18
1470512423,9,1353
1470534264,3,622
1470556112,322,32
1470578203,72,12
1470600271,64,1597
1470622355,43,867
1470644438,106,56
1470666515,13,62
1470688596,1511,10
1470710657,886,2
1470732506,83,583
1470754594,31,92
1470776456,399,72
1470798512,365,54
1470820370,8,153
1470842465,71,14
1470864309,796,211
1470886381,94,98
1470908453,17,118
1470930501,103,33
1470952364,422,71
1470974447,671,355
1470996513,49,9
1471018362,60,72
1471040444,499,1199
1471062511,540,625
1471084357,44,23
1471106418,32,88
1471128273,245,688
1471150356,158,578
1471172568,63,55
1471194503,3418,41
1471216602,648,193
1471238652,83,266
1471260515,67,20
1471282385,1236,15
1471304429,6,754
1471326278,56,792
1471348350,57,21
1471370475,3019,687
1471392519,637,665
1471414360,35,41
1471436456,18,26
1471458499,1103,1222
1471480353,229,3
1471502216,7,67
1471524268,7,41
1471546115,483,1105
1471568201,107,122
1471590230,74,23
1471612121,42,15
1471634208,684,1856
1471656265,99,183
1471678350,787,7
1471700194,21,7
1471722037,74,3868
1471744103,260,180
1471765952,131,239
1471787795,37,74
1471809651,501,297
1471831712,723,262
1471853566,66,836
1471875663,117,55
1471897708,177,428
1471919554,288,652
1471941728,130,155
1471963702,74,38
1471985804,220,50
1472007688,415,199
1472029820,103,65
1472051786,81,106
1472073742,745,254
1472095723,254,707
1472117566,132,138
1472139412,106,64
1472161475,234,786
1472183317,446,118
1472205173,99,96
1472227289,130,69
1472249309,612,231
1472271163,891,334
1472293263,67,132
1472315318,110,101
