DateTime,Entries,UniqueIPs
1461997021,7714,7914
1462019054,7835,8041
1462041214,5836,5973
1462063224,6038,6182
1462085321,5851,5986
1462107391,6236,6393
1462129268,4977,5104
1462151301,4457,4565
1462173156,4774,4893
1462195218,9555,9925
1462220945,10230,10630
1462243168,9946,10340
1462265083,10017,10412
1462286950,10297,10693
1462308999,9953,10338
1462331050,10217,10604
1462352955,9965,10343
1462374983,7451,7672
1462397057,7034,7239
1462418916,6757,6955
1462440758,6817,7015
1462462826,6513,6700
1462484918,6411,6594
1462507001,6440,6626
1462529059,6662,6853
1462550913,4263,4336
1462572777,4481,4567
1462594810,4381,4465
1462616664,4149,4227
1462638511,4201,4283
1462660591,4457,4552
1462682687,4388,4488
1462704745,4210,4310
1462726870,4851,4974
1462748900,4567,4681
1462771020,4534,4644
1462792998,4539,4650
1462814901,4414,4509
1462836798,3735,3812
1462858667,3984,4068
1462880685,4591,4691
1462902765,7705,7958
1462924830,7688,7939
1462946912,7697,7949
1462968806,7699,7945
1462990822,7412,7651
1463012705,7558,7801
1463034763,7055,7274
1463056848,6495,6705
1463078911,1072,1091
1463100753,1056,1074
1463123104,1249,1270
1463145006,1246,1268
1463166991,1260,1280
1463189067,1203,1221
1463211049,1212,1229
1463233207,1138,1152
1463255051,1071,1083
1463276898,1138,1152
1463299010,1016,1027
1463321071,1298,1310
1463343149,1448,1462
1463365269,1638,1654
1463387298,1731,1748
1463409151,1817,1835
1463431223,2548,2581
1463453076,3267,3348
1463475142,3749,3845
1463496984,3933,4036
1463518842,3871,3973
1463540706,3746,3842
1463562742,3615,3711
1463584602,3871,3975
1463606494,3429,3510
1463628503,2709,2754
1463650354,2177,2200
1463672207,1665,1679
1463694296,1681,1696
1463716337,1672,1684
1463738219,11749,12216
1463760263,12256,12751
1463782111,12202,12696
1463803953,12228,12722
1463825817,17219,17969
1463848061,17454,18221
1463869954,17442,18209
1463892037,17479,18247
1463914108,11001,11417
1463936193,10861,11267
1463958268,10929,11336
1463980366,11033,11443
1464002462,3139,3192
1464024509,3000,3050
1464046371,3066,3117
1464068465,3049,3102
1464090466,2943,2988
1464112352,1620,1637
1464134482,3425,3482
1464156511,3361,3417
1464178366,2954,2996
1464200433,3002,3044
1464222522,2958,3000
1464244617,2986,3030
1464266653,2973,3017
1464288496,3053,3097
1464310376,3640,3714
1464332435,4411,4500
1464354510,4433,4523
1464376615,4485,4577
1464398652,4630,4725
1464420526,4653,4749
1464442611,4679,4777
1464464686,4655,4753
1464486787,2050,2076
1464508831,1189,1201
1464530681,1192,1207
1464552776,1161,1174
1464574833,1235,1254
1464596954,1271,1286
