DateTime,AddedIPs,RemovedIPs
1462019054,1226,472
1462041214,172,1339
1462063224,1575,81
1462085321,138,1728
1462107391,1502,132
1462129268,555,798
1462151301,72,1282
1462173156,1634,64
1462195218,6508,419
1462220945,1003,6808
1462243168,560,962
1462265083,345,1350
1462286950,1039,410
1462308999,791,909
1462331050,1046,739
1462352955,247,1170
1462374983,3666,249
1462397057,652,3449
1462418916,634,604
1462440758,813,796
1462462826,621,802
1462484918,657,702
1462507001,540,763
1462529059,471,556
1462550913,1001,443
1462572777,1405,634
1462594810,113,1847
1462616664,188,156
1462638511,2020,93
1462660591,796,858
1462682687,234,1967
1462704745,200,304
1462726870,2698,128
1462748900,124,2713
1462771020,76,208
1462792998,340,64
1462814901,777,236
1462836798,59,875
1462858667,1296,35
1462880685,932,1048
1462902765,5386,708
1462924830,62,5835
1462946912,89,102
1462968806,139,104
1462990822,171,150
1463012705,210,145
1463034763,199,201
1463056848,170,193
1463078911,175,179
1463100753,78,181
1463123104,377,75
1463145006,137,342
1463166991,171,160
1463189067,125,179
1463211049,231,124
1463233207,66,217
1463255051,93,62
1463276898,161,109
1463299010,221,155
1463321071,465,177
1463343149,324,403
1463365269,354,351
1463387298,333,335
1463409151,178,422
1463431223,1057,166
1463453076,1050,825
1463475142,808,989
1463496984,632,886
1463518842,144,886
1463540706,135,172
1463562742,137,140
1463584602,695,107
1463606494,153,707
1463628503,113,162
1463650354,251,115
1463672207,204,234
1463694296,172,209
1463716337,104,184
1463738219,11046,65
1463760263,1141,10592
1463782111,7,1635
1463803953,137,17
1463825817,9599,46
1463848061,1010,9152
1463869954,107,1533
1463892037,172,111
1463914108,385,171
1463936193,1535,314
1463958268,113,1588
1463980366,272,125
1464002462,654,266
1464024509,130,673
1464046371,182,130
1464068465,135,184
1464090466,156,136
1464112352,75,157
1464134482,2457,25
1464156511,90,2475
1464178366,146,107
1464200433,152,150
1464222522,93,157
1464244617,152,97
1464266653,126,144
1464288496,167,132
1464310376,3223,54
1464332435,977,3207
1464354510,102,1098
1464376615,164,113
1464398652,306,160
1464420526,109,305
1464442611,139,110
1464464686,16,148
1464486787,312,14
1464508831,164,313
1464530681,116,157
1464552776,129,116
1464574833,384,126
1464596954,152,379
1464619066,209,154
1464641054,26,218
1464662906,4218,22
1464684757,256,4165
1464706611,84,308
1464728456,93,85
1464750299,2784,89
1464772340,154,2778
1464794199,93,166
1464816045,36,93
1464838115,2282,35
1464859963,73,2285
1464882029,65,75
1464904139,73,66
1464926178,3663,67
1464948036,167,3660
1464969896,111,171
1464991744,1198,83
1465013803,1490,1078
1465035871,135,1630
1465057979,89,144
1465080024,228,83
1465102110,714,212
1465123963,167,724
1465146040,98,179
1465168180,6247,43
1465190190,1893,5483
1465212046,234,2699
1465234135,63,240
1465256194,5445,29
1465278266,1778,4849
1465300113,116,2419
1465321972,84,117
1465344042,2272,48
1465366128,2861,1603
1465388186,82,3559
1465410266,82,88
1465432500,1652,41
1465454453,2037,1291
