DateTime,Entries,UniqueIPs
1462019054,1464,1464
1462041214,297,297
1462063224,1791,1791
1462085321,201,201
1462107391,1571,1571
1462129268,1328,1328
1462151301,118,118
1462173156,1688,1688
1462195218,7777,7777
1462220945,1972,1972
1462243168,1570,1570
1462265083,565,565
1462286950,1194,1194
1462308999,1076,1076
1462331050,1383,1383
1462352955,460,460
1462374983,3877,3877
1462397057,1080,1080
1462418916,1110,1110
1462440758,1127,1127
1462462826,946,946
1462484918,901,901
1462507001,678,678
1462529059,593,593
1462550913,1151,1151
1462572777,1922,1922
1462594810,188,188
1462616664,220,220
1462638511,2147,2147
1462660591,2085,2085
1462682687,352,352
1462704745,248,248
1462726870,2818,2818
1462748900,229,229
1462771020,97,97
1462792998,373,373
1462814901,914,914
1462836798,98,98
1462858667,1359,1359
1462880685,1243,1243
1462902765,5921,5921
1462924830,148,148
1462946912,135,135
1462968806,170,170
1462990822,191,191
1463012705,256,256
1463034763,254,254
1463056848,231,231
1463078911,227,227
1463100753,124,124
1463123104,426,426
1463145006,221,221
1463166991,232,232
1463189067,178,178
1463211049,285,285
1463233207,134,134
1463255051,165,165
1463276898,217,217
1463299010,283,283
1463321071,571,571
1463343149,492,492
1463365269,495,495
1463387298,493,493
1463409151,249,249
1463431223,1140,1140
1463453076,1365,1365
1463475142,1184,1184
1463496984,930,930
1463518842,188,188
1463540706,151,151
1463562742,148,148
1463584602,736,736
1463606494,182,182
1463628503,133,133
1463650354,269,269
1463672207,239,239
1463694296,202,202
1463716337,122,122
1463738219,11103,11103
1463760263,1652,1652
1463782111,24,24
1463803953,144,144
1463825817,9697,9697
1463848061,1555,1555
1463869954,129,129
1463892037,190,190
1463914108,404,404
1463936193,1625,1625
1463958268,150,150
1463980366,297,297
1464002462,685,685
1464024509,142,142
1464046371,194,194
1464068465,145,145
1464090466,165,165
1464112352,83,83
1464134482,2515,2515
1464156511,130,130
1464178366,169,169
1464200433,171,171
1464222522,107,107
1464244617,162,162
1464266653,144,144
1464288496,179,179
1464310376,3348,3348
1464332435,1118,1118
1464354510,122,122
1464376615,173,173
1464398652,319,319
1464420526,123,123
1464442611,152,152
1464464686,20,20
1464486787,318,318
1464508831,169,169
1464530681,128,128
1464552776,141,141
1464574833,399,399
1464596954,172,172
1464619066,227,227
1464641054,35,35
1464662906,4231,4231
1464684757,322,322
1464706611,98,98
1464728456,106,106
1464750299,2801,2801
1464772340,177,177
1464794199,104,104
1464816045,47,47
1464838115,2294,2294
1464859963,82,82
1464882029,72,72
1464904139,79,79
1464926178,3675,3675
1464948036,182,182
1464969896,122,122
1464991744,1237,1237
1465013803,1649,1649
1465035871,154,154
1465057979,99,99
1465080024,244,244
1465102110,746,746
1465123963,189,189
1465146040,108,108
1465168180,6312,6312
1465190190,2722,2722
1465212046,257,257
1465234135,80,80
1465256194,5496,5496
1465278266,2425,2425
1465300113,122,122
1465321972,89,89
1465344042,2313,2313
1465366128,3571,3571
1465388186,94,94
1465410266,88,88
1465432500,1699,1699
1465454453,2445,2445
1465476508,114,114
1465498418,117,117
1465520438,852,852
1465542516,525,525
1465564610,110,110
1465586670,56,56
1465608798,942,942
1465630835,2023,2023
1465652953,97,97
1465674981,107,107
1465696835,473,473
1465718906,118,118
1465740782,60,60
1465762824,51,51
1465784910,237,237
1465806980,76,76
1465828835,131,131
1465850946,13,13
1465872994,133,133
1465894876,56,56
