DateTime,Entries,UniqueIPs
1470210963,6717,6717
1470218643,6715,6715
1470224404,6746,6746
1470228243,6763,6763
1470236885,6783,6783
1470242884,6782,6782
1470244805,6803,6803
1470250573,6818,6818
1470252486,6792,6792
1470260404,6812,6812
1470264245,6765,6765
1470270004,6773,6773
1470273843,6752,6752
1470279610,6753,6753
1470287285,6747,6747
1470293284,6768,6768
1470297123,6770,6770
1470305762,6795,6795
1470311523,6810,6810
1470319204,6819,6819
1470326948,6809,6809
1470332884,6845,6845
1470340562,6840,6840
1470348244,6805,6805
1470354003,6786,6786
1470357843,6794,6794
1470359763,6777,6777
1470365523,6774,6774
1470371525,6772,6772
1470377283,6793,6793
1470384008,6788,6788
1470387844,6805,6805
1470395522,6792,6792
1470403204,6824,6824
1470407043,6817,6817
1470414723,6825,6825
1470416643,6835,6835
1470424323,6829,6829
1470432004,6825,6825
1470437773,6790,6790
1470445444,6789,6789
1470449283,6784,6784
1470456963,6765,6765
1470462723,6774,6774
1470470406,6790,6790
1470474244,6808,6808
1470480003,6806,6806
1470485763,6834,6834
1470493444,6842,6842
1470497282,6828,6828
1470501124,6835,6835
1470506883,6818,6818
1470512884,6823,6823
1470514804,6819,6819
1470518642,6808,6808
1470524406,6773,6773
1470528243,6786,6786
1470535923,6758,6758
1470541923,6742,6742
1470550563,6754,6754
1470554404,6766,6766
1470562082,6796,6796
1470567844,6826,6826
1470571684,6832,6832
1470577442,6823,6823
1470583206,6813,6813
1470587044,6820,6820
1470594725,6824,6824
1470600483,6818,6818
1470608164,6782,6782
1470615843,6772,6772
1470621606,6759,6759
1470627362,6743,6743
1470633362,6732,6732
1470639123,6765,6765
1470647044,6800,6800
1470650882,6806,6806
1470658563,6808,6808
1470664323,6817,6817
1470668172,6825,6825
1470675844,6823,6823
1470683523,6845,6845
1470689284,6836,6836
1470693123,6810,6810
1470698882,6802,6802
1470705604,6776,6776
1470711372,6748,6748
1470715208,6750,6750
1470722883,6776,6776
1470728642,6776,6776
1470734403,6806,6806
1470738243,6794,6794
1470742082,6821,6821
1470747844,6821,6821
1470751682,6787,6787
1470759371,6803,6803
1470767042,6820,6820
1470770883,6831,6831
1470776644,6825,6825
1470784322,6775,6775
1470792004,6776,6776
1470797772,6753,6753
1470803524,6746,6746
1470807362,6771,6771
1470816962,6767,6767
1470820803,6793,6793
1470828482,6790,6790
1470835204,6816,6816
1470840972,6805,6805
1470842882,6826,6826
1470846723,6835,6835
1470851523,6838,6838
1470855372,6846,6846
1470857283,6854,6854
1470863044,6848,6848
1470870962,6785,6785
1470876963,6788,6788
1470878884,6759,6759
1470881762,6776,6776
1470889443,6760,6760
1470895205,6776,6776
1470900963,6808,6808
1470906723,6803,6803
1470910563,6801,6801
1470916322,6803,6803
1470920163,6810,6810
1470925923,6803,6803
1470927844,6790,6790
1470933604,6809,6809
1470937443,6821,6821
1470941283,6810,6810
1470947042,6811,6811
1470952805,6804,6804
1470954724,6790,6790
1470958562,6781,6781
1470966244,6763,6763
1470973922,6752,6752
1470977762,6748,6748
1470981604,6774,6774
1470990243,6789,6789
1470996244,6798,6798
1471002004,6789,6789
1471007762,6806,6806
1471011612,6793,6793
1471017364,6793,6793
1471023123,6812,6812
1471026962,6812,6812
1471030803,6785,6785
1471036564,6772,6772
1471044245,6743,6743
1471048087,6757,6757
1471053844,6743,6743
1471059843,6706,6706
1471067522,6723,6723
1471073283,6762,6762
1471080963,6776,6776
1471082882,6774,6774
1471086723,6792,6792
1471092483,6806,6806
1471094404,6800,6800
1471100172,6794,6794
1471104005,6792,6792
1471109762,6798,6798
1471115522,6789,6789
1471119363,6770,6770
1471127043,6750,6750
1471130882,6727,6727
1471134723,6744,6744
1471140482,6723,6723
1471148163,6712,6712
1471153922,6714,6714
1471155843,6727,6727
1471159682,6751,6751
1471165444,6752,6752
1471169282,6750,6750
1471175042,6761,6761
1471184643,6762,6762
1471190406,6777,6777
1471196164,6797,6797
1471201923,6791,6791
1471205762,6792,6792
1471209604,6779,6779
1471215374,6751,6751
1471221123,6743,6743
1471226883,6720,6720
1471232884,6714,6714
1471236723,6707,6707
1471238642,6712,6712
1471242483,6733,6733
1471246322,6745,6745
1471252082,6755,6755
1471257843,6775,6775
1471263612,6779,6779
1471271285,6768,6768
1471274163,6773,6773
1471281843,6798,6798
1471285683,6822,6822
1471291443,6818,6818
1471297204,6812,6812
1471301042,6751,6751
1471310642,6748,6748
1471314483,6739,6739
1471322163,6737,6737
1471327923,6754,6754
1471335604,6766,6766
1471343283,6784,6784
1471347123,6791,6791
1471352883,6792,6792
1471358643,6797,6797
1471362484,6793,6793
1471365367,6818,6818
1471373043,6832,6832
1471376884,6830,6830
1471382643,6839,6839
1471386484,6812,6812
1471392245,6772,6772
1471399923,6752,6752
1471405684,6750,6750
1471415284,6767,6767
1471419124,6769,6769
1471422964,6785,6785
1471430644,6777,6777
1471436414,6785,6785
1471440243,6785,6785
1471446006,6777,6777
1471447925,6780,6780
1471451763,6789,6789
1471455604,6822,6822
1471461605,6820,6820
1471467363,6835,6835
1471472162,6790,6790
1471477924,6758,6758
1471487530,6740,6740
1471493284,6714,6714
1471499042,6743,6743
1471505044,6743,6743
1471510814,6786,6786
1471518484,6782,6782
1471527129,6786,6786
1471532884,6783,6783
1471534804,6793,6793
1471538644,6770,6770
1471542484,6799,6799
1471546325,6824,6824
1471552084,6831,6831
1471557844,6786,6786
1471563843,6766,6766
1471567683,6774,6774
1471571524,6724,6724
1471577284,6707,6707
1471581124,6657,6657
1471583043,6695,6695
1471588812,6722,6722
1471598645,6735,6735
1471604406,6743,6743
1471608243,6746,6746
1471610163,6745,6745
1471615924,6776,6776
1471621683,6764,6764
1471627444,6773,6773
1471631283,6789,6789
1471635123,6795,6795
1471638963,6794,6794
1471640884,6789,6789
1471646651,6766,6766
1471650483,6742,6742
1471654326,6730,6730
1471662012,6719,6719
1471667763,6706,6706
1471671604,6706,6706
1471675448,6745,6745
1471681203,6765,6765
1471688883,6772,6772
1471694643,6795,6795
1471700403,6787,6787
1471706403,6788,6788
1471714084,6780,6780
1471717923,6790,6790
