DateTime,Entries,UniqueIPs
1472059695,1040,1051
1472061651,1041,1052
1472063542,1042,1053
1472065455,1040,1051
1472067391,1024,1035
1472069310,1023,1034
1472071221,1033,1045
1472073150,1039,1052
1472075074,1047,1062
1472076978,1050,1064
1472078900,1052,1066
1472080788,1050,1065
1472082747,1051,1065
1472084648,1046,1060
1472086581,1059,1074
1472088501,1072,1087
1472090449,1074,1090
1472092352,1076,1092
1472094275,1070,1084
1472096197,1066,1080
1472098096,1065,1079
1472100051,1073,1086
1472102045,1090,1106
1472103854,1080,1097
1472106031,1087,1107
1472107935,1087,1108
1472109847,1101,1121
1472111779,1086,1106
1472113708,1084,1105
1472115669,1067,1088
1472117549,1049,1070
1472119459,1043,1064
1472121376,1042,1063
1472123343,1034,1055
1472125254,1046,1067
1472127172,1037,1058
1472129054,1034,1055
1472131010,1032,1053
1472132927,1035,1056
1472135064,1044,1063
1472137000,1041,1060
1472138917,1048,1068
1472140857,1039,1059
1472142758,1031,1050
1472144673,1010,1029
1472146590,987,1005
1472148513,983,1000
1472150432,992,1009
1472152361,1003,1020
1472154264,1019,1037
1472156175,1028,1045
1472158113,1028,1044
1472160039,1043,1058
1472161939,1045,1059
1472163853,1051,1064
1472165797,1062,1075
1472167724,1069,1081
1472169646,1074,1086
1472171540,1086,1099
1472173724,1095,1108
1472175637,1108,1121
1472177826,1113,1126
1472179721,1116,1129
1472181639,1117,1130
1472183556,1124,1137
1472185459,1139,1154
1472187376,1137,1152
1472189336,1137,1154
1472191280,1140,1158
1472193165,1141,1156
1472195312,1140,1154
1472197238,1134,1148
1472199160,1150,1169
1472201052,1152,1171
1472203241,1173,1192
1472205169,1179,1198
1472207321,1183,1201
1472209307,1209,1227
1472211156,1227,1245
1472213063,1221,1239
1472215000,1237,1255
1472216922,1245,1265
1472218863,1242,1260
1472220762,1230,1248
1472222670,1231,1251
1472224857,1246,1266
1472226765,1235,1255
1472228651,1243,1263
1472230586,1245,1266
1472232501,1280,1301
1472234476,1291,1312
1472236339,1296,1317
1472238256,1305,1326
1472240188,1293,1314
1472242101,1296,1316
1472244021,1284,1305
1472245969,1289,1310
1472247881,1281,1303
1472249785,1264,1286
1472251700,1264,1286
1472253647,1268,1289
1472255541,1262,1284
1472257450,1267,1288
1472259388,1267,1288
1472261307,1272,1293
1472263271,1274,1294
1472265153,1257,1277
1472267055,1247,1267
1472268997,1253,1273
1472270902,1251,1271
1472272831,1252,1272
1472274757,1252,1273
1472276665,1252,1269
1472278594,1242,1259
1472280515,1242,1259
1472282416,1239,1255
1472284345,1220,1235
1472286255,1217,1230
1472288210,1198,1210
1472290125,1205,1217
1472292069,1195,1206
1472293952,1177,1187
1472295855,1158,1168
1472297788,1158,1168
1472299708,1150,1160
1472301886,1142,1151
1472303813,1140,1151
1472305706,1131,1142
1472307657,1134,1144
1472309543,1120,1130
1472311476,1114,1124
1472313392,1125,1135
1472315308,1120,1130
1472317260,1107,1118
1472319147,1089,1100
1472321079,1083,1093
1472322992,1077,1087
1472324913,1071,1080
1472326830,1079,1088
1472328757,1074,1083
1472330659,1094,1103
1472332587,1094,1103
1472334523,1092,1101
1472336437,1091,1100
1472338353,1082,1091
1472340263,1072,1081
1472342177,1072,1081
1472344111,1061,1070
1472346057,1063,1072
1472347942,1074,1082
1472349869,1078,1086
1472351796,1090,1098
1472353723,1098,1106
1472355620,1097,1106
1472357801,1094,1103
1472359711,1087,1096
1472361619,1095,1106
1472363544,1086,1099
1472365471,1087,1100
1472367390,1079,1092
1472369319,1093,1106
1472371272,1114,1128
1472373148,1112,1126
1472375076,1113,1127
1472376995,1115,1127
1472378909,1120,1132
1472380852,1131,1143
1472382744,1149,1161
1472384661,1147,1159
1472386582,1160,1172
1472388503,1171,1185
1472390436,1170,1184
1472392351,1177,1193
1472394257,1183,1200
1472396189,1169,1186
1472398120,1157,1175
1472400055,1147,1165
1472401956,1145,1163
1472403870,1151,1170
1472405790,1136,1156
1472407706,1135,1155
1472409620,1133,1153
1472411802,1131,1150
1472413708,1120,1139
1472415617,1111,1130
1472417552,1088,1107
1472419457,1090,1111
1472421390,1094,1115
1472423304,1099,1119
1472425249,1111,1128
1472427150,1122,1139
1472429062,1125,1141
1472430983,1124,1141
1472432911,1127,1144
1472434831,1131,1148
1472436743,1125,1141
1472438655,1132,1148
1472440597,1140,1156
1472442509,1144,1161
1472444425,1144,1161
1472446348,1150,1167
1472448257,1149,1165
1472450173,1150,1164
1472452095,1152,1167
1472454062,1160,1175
1472455949,1147,1163
1472457861,1133,1149
1472459787,1114,1130
1472461697,1109,1124
1472463631,1104,1121
1472465544,1092,1108
1472467454,1080,1096
1472469384,1076,1092
1472471297,1073,1089
1472473242,1070,1086
1472475152,1058,1074
1472477060,1058,1074
1472478988,1047,1063
1472480908,1033,1049
1472482855,1040,1055
1472484750,1032,1047
1472486656,1029,1044
1472488590,1030,1045
1472490514,1015,1029
1472492415,1011,1026
1472494597,1020,1036
1472496538,1029,1045
1472498424,1025,1041
1472500342,1005,1021
1472502265,1013,1028
1472504194,1014,1029
1472506099,1007,1022
1472508079,1009,1023
1472509943,1009,1024
1472511865,1012,1027
1472513794,1016,1031
1472515699,1000,1013
1472517616,998,1011
