DateTime,AddedIPs,RemovedIPs
1472015319,10,12
1472017215,18,10
1472019143,10,21
1472021049,13,26
1472023234,13,17
1472025151,12,11
1472027063,15,10
1472028980,9,17
1472030915,22,17
1472032857,16,14
1472034737,3,15
1472036657,13,8
1472038588,10,7
1472040530,10,13
1472042423,12,14
1472044349,15,13
1472046252,17,12
1472048222,10,11
1472050123,13,19
1472052025,11,17
1472053959,9,12
1472055853,16,7
1472057788,13,7
1472059695,11,9
1472061651,8,7
1472063542,8,5
1472065455,12,4
1472067391,4,6
1472069310,12,10
1472071221,12,19
1472073150,7,15
1472075074,17,9
1472076978,11,14
1472078900,7,11
1472080788,8,9
1472082747,8,12
1472084648,10,16
1472086581,13,25
1472088501,20,16
1472090449,9,6
1472092352,9,9
1472094275,4,5
1472096197,15,14
1472098096,5,6
1472100051,13,8
1472102045,16,9
1472103854,11,12
1472106031,10,18
1472107935,9,14
1472109847,24,4
1472111779,6,23
1472113708,14,19
1472115669,2,5
1472117549,7,8
1472119459,11,13
1472121376,1,0
1472123343,6,17
1472125254,14,13
1472127172,9,13
1472129054,14,0
1472131010,14,15
1472132927,16,18
1472135064,12,11
1472137000,7,8
1472138917,11,14
1472140857,8,1
1472142758,18,8
1472144673,7,8
1472146590,8,7
1472148513,9,10
1472150432,13,9
1472152361,17,15
1472154264,10,11
1472156175,12,8
1472158113,11,18
1472160039,14,16
1472161939,19,12
1472163853,10,5
1472165797,14,16
1472167724,13,19
1472169646,11,7
1472171540,14,16
1472173724,17,6
1472175637,13,11
1472177826,10,6
1472179721,11,7
1472181639,10,10
1472183556,10,10
1472185459,19,18
1472187376,13,8
1472189336,9,6
1472191280,21,16
1472193165,13,17
1472195312,6,7
1472197238,20,21
1472199160,18,10
1472201052,17,18
1472203241,16,11
1472205169,10,5
1472207321,14,17
1472209307,11,3
1472211156,14,4
1472213063,11,3
1472215000,11,15
1472216922,18,9
1472218863,12,6
1472220762,7,16
1472222670,13,8
1472224857,15,9
1472226765,5,13
1472228651,14,5
1472230586,16,16
1472232501,26,14
1472234476,14,2
1472236339,13,12
1472238256,17,3
1472240188,9,6
1472242101,9,5
1472244021,5,19
1472245969,15,9
1472247881,11,9
1472249785,7,10
1472251700,13,8
1472253647,13,2
1472255541,8,9
1472257450,17,13
1472259388,10,8
1472261307,21,3
1472263271,13,6
1472265153,0,8
1472267055,6,5
1472268997,11,9
1472270902,13,10
1472272831,15,8
1472274757,11,12
1472276665,20,11
1472278594,10,17
1472280515,13,15
1472282416,6,10
1472284345,5,27
1472286255,18,15
1472288210,9,11
1472290125,13,13
1472292069,12,13
1472293952,4,8
1472295855,3,14
1472297788,20,16
1472299708,6,17
1472301886,7,30
1472303813,11,11
1472305706,9,14
1472307657,14,13
1472309543,7,19
1472311476,10,11
1472313392,12,7
1472315308,10,16
1472317260,10,14
1472319147,11,0
1472321079,7,10
1472322992,11,11
1472324913,8,7
1472326830,14,9
1472328757,7,0
1472330659,21,10
1472332587,14,16
1472334523,6,12
1472336437,3,9
1472338353,9,5
1472340263,8,12
1472342177,8,11
1472344111,9,11
1472346057,6,10
1472347942,19,9
1472349869,12,16
1472351796,16,14
1472353723,13,10
1472355620,12,17
1472357801,9,13
1472359711,10,27
1472361619,8,10
1472363544,13,0
1472365471,10,29
1472367390,14,0
1472369319,21,39
1472371272,16,20
1472373148,15,0
1472375076,9,33
1472376995,12,0
1472378909,11,10
1472380852,15,20
1472382744,17,0
1472384661,16,22
1472386582,13,12
1472388503,16,13
1472390436,10,11
1472392351,13,0
1472394257,19,18
