DateTime,AddedIPs,RemovedIPs
1472050123,30,35
1472052025,28,31
1472053959,34,24
1472055853,49,38
1472057788,46,48
1472059695,42,45
1472061651,28,45
1472063542,20,32
1472065455,26,20
1472067391,17,21
1472069310,21,15
1472071221,31,26
1472073150,27,29
1472075074,32,25
1472076978,25,33
1472078900,22,27
1472080788,21,21
1472082747,28,22
1472084648,23,27
1472086581,29,22
1472088501,31,29
1472090449,22,29
1472092352,27,25
1472094275,17,27
1472096197,35,16
1472098096,21,30
1472100051,32,23
1472102045,58,40
1472103854,37,53
1472106031,44,36
1472107935,38,46
1472109847,48,41
1472111779,25,51
1472113708,35,17
1472115669,15,38
1472117549,33,17
1472119459,41,30
1472121376,11,41
1472123343,38,10
1472125254,38,39
1472127172,27,38
1472129054,38,27
1472131010,35,34
1472132927,40,37
1472135064,39,41
1472137000,28,42
1472138917,34,26
1472140857,25,36
1472142758,45,22
1472144673,12,46
1472146590,16,17
1472148513,28,17
1472150432,29,22
1472152361,42,33
1472154264,37,37
1472156175,38,38
1472158113,36,37
1472160039,36,33
1472161939,41,38
1472163853,27,42
1472165797,42,33
1472167724,41,39
1472169646,38,41
1472171540,35,36
1472173724,41,33
1472175637,35,40
1472177826,30,30
1472179721,33,35
1472181639,25,33
1472183556,37,26
1472185459,42,39
1472187376,35,42
1472189336,51,39
1472191280,47,48
1472193165,49,45
1472195312,35,47
1472197238,45,36
1472199160,45,43
1472201052,45,48
1472203241,43,47
1472205169,39,41
1472207321,42,41
1472209307,41,44
1472211156,40,39
1472213063,34,37
1472215000,42,35
1472216922,39,38
1472218863,30,37
1472220762,31,38
1472222670,47,28
1472224857,44,48
1472226765,24,45
1472228651,43,24
1472230586,43,44
1472232501,60,46
1472234476,45,54
1472236339,34,45
1472238256,43,34
1472240188,26,42
1472242101,39,26
1472244021,21,46
1472245969,44,22
1472247881,36,42
1472249785,20,35
1472251700,41,22
1472253647,38,34
1472255541,27,39
1472257450,45,31
1472259388,28,48
1472261307,44,28
1472263271,26,33
1472265153,24,30
1472267055,19,24
1472268997,43,19
1472270902,34,37
1472272831,40,37
1472274757,44,44
1472276665,50,44
1472278594,31,52
1472280515,50,32
1472282416,32,49
1472284345,21,34
1472286255,46,18
1472288210,19,45
1472290125,47,23
1472292069,30,47
1472293952,16,29
1472295855,19,19
1472297788,38,19
1472299708,23,37
1472301886,34,19
1472303813,39,31
1472305706,20,39
1472307657,31,20
1472309543,27,34
1472311476,50,29
1472313392,40,48
1472315308,33,38
1472317260,28,34
1472319147,46,28
1472321079,31,44
1472322992,34,33
1472324913,35,32
1472326830,41,32
1472328757,36,43
1472330659,42,39
1472332587,30,42
1472334523,34,30
1472336437,25,36
1472338353,28,19
1472340263,24,32
1472342177,27,25
1472344111,24,28
1472346057,32,25
1472347942,43,26
1472349869,37,36
1472351796,33,50
1472353723,31,25
1472355620,35,36
1472357801,34,37
1472359711,26,32
1472361619,56,30
1472363544,36,49
1472365471,33,41
1472367390,32,34
1472369319,47,33
1472371272,45,44
1472373148,40,44
1472375076,25,37
1472376995,46,28
1472378909,29,50
1472380852,30,27
1472382744,40,30
1472384661,40,37
1472386582,36,39
1472388503,41,36
1472390436,27,40
1472392351,34,28
1472394257,41,36
1472396189,5,43
1472398120,37,8
1472400055,27,37
1472401956,31,23
1472403870,40,29
1472405790,32,41
1472407706,27,33
1472409620,28,26
1472411802,28,29
1472413708,46,28
1472415617,27,45
1472417552,15,27
1472419457,36,19
1472421390,37,35
1472423304,22,35
1472425249,39,24
1472427150,41,34
1472429062,36,29
1472430983,38,48
1472432911,31,36
1472434831,37,33
1472436743,38,39
1472438655,37,39
1472440597,36,36
1472442509,48,35
1472444425,30,49
1472446348,42,31
1472448257,48,43
1472450173,36,45
1472452095,41,39
1472454062,46,38
1472455949,29,50
1472457861,23,28
1472459787,18,24
1472461697,18,16
1472463631,55,20
1472465544,8,57
1472467454,10,12
1472469384,42,8
1472471297,38,30
1472473242,31,38
1472475152,22,35
1472477060,29,24
1472478988,18,26
1472480908,26,21
1472482855,17,30
1472484750,23,14
1472486656,14,21
1472488590,32,15
1472490514,19,26
1472492415,28,19
1472494597,43,32
1472496538,37,43
1472498424,29,38
1472500342,8,33
1472502265,42,10
1472504194,23,39
1472506099,25,25
1472508079,41,22
1472509943,27,37
1472511865,37,25
1472513794,40,42
1472515699,19,42
1472517616,36,18
1472519549,27,33
1472521455,25,27
1472523635,26,24
1472525547,20,31
1472527461,32,21
1472529386,47,30
1472531306,47,45
1472533271,33,47
1472535156,39,33
1472537070,28,33
1472538991,34,34
1472540911,36,31
1472542828,39,36
1472544753,32,38
1472546660,28,34
1472548835,28,32
1472550759,45,27
1472552660,11,52
1472554579,25,10
1472556514,42,20
1472558461,43,39
1472560346,44,42
1472562263,33,45
1472564181,43,31
1472566143,39,44
1472568032,43,41
1472569964,34,47
1472571855,26,31
1472573790,32,22
1472575712,22,31
1472577633,29,28
1472579551,25,27
1472581453,37,26
1472583381,34,38
1472585311,50,34
1472587255,27,48
1472589145,37,28
1472591063,10,40
1472592981,20,10
1472594911,27,13
1472596819,23,31
1472598754,41,21
1472600876,42,37
1472602811,22,45
1472604738,21,24
1472606647,32,22
1472608572,24,26
1472610494,38,29
1472612460,26,37
1472614350,30,25
1472616255,30,25
1472618185,32,36
1472620103,34,32
1472622024,46,37
1472623948,24,43
1472625846,48,27
1472627804,44,48
1472629708,40,41
1472631633,44,43
1472633551,43,39
1472635464,42,45
1472637394,43,43
1472639311,16,46
1472641289,26,20
1472643155,30,24
1472645066,32,25
1472646997,32,29
1472648902,32,32
1472650834,30,32
1472652749,32,32
1472654655,30,31
1472656594,23,30
1472658504,29,22
1472660429,23,32
1472662355,22,26
1472664257,29,17
1472666191,15,31
1472668102,54,17
1472670051,22,54
1472671954,26,22
1472673860,23,27
1472675784,21,19
1472677696,19,23
1472679625,11,21
1472681549,16,15
1472683453,26,13
1472685382,19,23
1472687528,23,17
1472689459,39,25
1472691379,18,39
1472693298,33,20
1472695262,21,29
1472697147,28,25
1472699048,23,27
1472700988,19,20
1472702903,28,21
1472704817,28,27
1472706741,46,26
1472708673,30,46
1472710584,37,32
1472712497,35,41
1472714408,51,36
1472716334,30,51
1472718248,44,28
1472720181,37,39
1472722101,38,38
1472724069,42,36
1472725948,25,46
1472727852,43,27
1472729779,45,41
1472731698,43,42
1472733622,49,49
1472735541,36,41
1472737450,32,41
1472739387,31,28
1472741304,31,34
1472743217,30,26
1472745140,37,33
1472747053,38,37
1472748982,33,38
1472750901,36,34
1472752853,33,36
1472754737,15,37
1472756653,22,17
1472758581,28,23
1472760508,28,24
1472762420,12,26
1472764348,27,12
1472766254,32,27
1472768189,13,35
1472770105,33,12
1472772017,14,31
1472773943,26,16
1472775882,32,25
1472777793,13,34
1472779714,41,13
1472781666,19,39
1472783553,23,18
1472785463,15,20
1472787399,35,15
1472789314,28,40
1472791237,36,27
1472793154,41,32
1472795060,36,42
1472796982,51,42
1472798909,38,49
1472801088,46,37
1472802985,22,47
1472804913,40,25
1472806858,24,40
1472808760,20,17
1472810664,19,22
1472812588,13,24
1472814510,26,12
1472816425,38,21
1472818360,37,36
1472820259,34,37
1472822387,36,34
1472824331,46,34
1472826249,39,46
1472828176,41,42
1472830097,39,41
1472832071,42,38
1472833939,28,47
1472835855,29,26
1472837781,30,30
1472839703,33,28
1472841623,18,38
1472843549,34,17
1472845453,37,32
1472847387,39,37
1472849301,38,38
1472851238,44,39
1472853162,37,44
1472855066,21,40
1472856985,36,22
1472858907,31,33
1472860866,38,31
1472862755,30,39
1472864656,24,28
1472866583,37,19
1472868505,23,37
1472870433,39,29
1472872347,37,37
1472874275,35,33
1472876191,30,40
1472878105,24,32
1472880034,44,25
1472881956,43,45
1472883866,22,43
1472885785,53,23
1472887701,37,45
1472889661,45,39
1472891549,36,42
1472893466,42,37
1472895388,41,41
1472897846,22,52
1472899705,50,21
1472901635,29,41
1472903550,33,29
1472905710,41,33
1472907660,31,47
1472909555,30,30
1472911467,33,26
1472913396,41,32
1472915306,38,40
1472917220,37,38
1472919142,35,37
1472921061,39,34
1472922991,36,46
1472924915,19,32
1472926817,29,21
1472928744,33,29
1472930660,46,32
1472932585,43,43
1472934510,40,49
1472936457,46,36
1472938356,39,47
1472940264,34,40
1472942210,44,33
1472944102,36,33
1472946026,40,49
1472947957,33,40
1472949855,57,34
1472951790,40,50
1472953707,31,46
1472955623,36,28
1472957539,32,38
1472959456,44,31
1472961389,44,45
1472963308,38,42
1472965260,33,43
1472967411,39,34
1472969301,28,37
1472971236,25,28
1472973151,44,23
1472975068,46,44
1472976996,41,47
1472978908,48,43
1472980825,40,47
1472982748,43,37
1472984653,23,48
1472986578,45,22
1472988506,38,38
1472990461,30,40
1472992354,31,27
1472994268,34,33
1472996189,43,34
1472998144,41,41
1473000033,47,43
1473001953,49,50
1473003861,40,50
1473005792,33,38
1473007708,27,32
1473009615,33,27
1473011539,47,37
1473013453,35,46
