DateTime,Entries,UniqueIPs
1467598564,1089,1089
1467609384,1086,1086
1467620388,1089,1089
1467631439,1085,1085
1467642334,1086,1086
1467652889,1087,1087
1467663523,1089,1089
1467674410,1090,1090
1467685341,1088,1088
1467694642,1085,1085
1467705562,1087,1087
1467716576,1090,1090
1467726711,1091,1091
1467737352,1085,1085
1467748088,1086,1086
1467759108,1085,1085
1467769805,1088,1088
1467780390,1086,1086
1467791481,1086,1086
1467801750,1086,1086
1467812839,1087,1087
1467824002,1091,1091
1467834254,1085,1085
1467845224,1086,1086
1467856322,1088,1088
1467867505,1084,1084
1467878132,1087,1087
1467889078,1090,1090
1467899551,1088,1088
1467910421,1092,1092
1467921280,1086,1086
1467932133,1092,1092
1467943045,1091,1091
1467953646,1090,1090
1467964451,1090,1090
1467974840,1092,1092
1467985365,1094,1094
1467996217,1089,1089
1468007125,1083,1083
1468017664,1081,1081
1468028380,1078,1078
1468039389,1080,1080
1468050465,1078,1078
1468060490,1079,1079
1468071611,1079,1079
1468082431,1070,1070
1468093143,1066,1066
1468103115,1066,1066
1468112947,1066,1066
1468123749,1065,1065
1468133704,1062,1062
1468144657,1058,1058
1468154607,1053,1053
1468165556,1053,1053
1468175966,1052,1052
1468186785,1046,1046
1468197514,1041,1041
1468208267,1041,1041
1468218469,1040,1040
1468229578,1040,1040
1468240350,1040,1040
1468251238,1040,1040
1468261966,1040,1040
1468271536,1041,1041
1468282062,1040,1040
1468293161,1040,1040
1468303164,1039,1039
1468314270,1037,1037
1468325092,1038,1038
1468335935,1042,1042
1468345313,1041,1041
1468355984,1036,1036
1468366759,1039,1039
1468377776,1039,1039
1468388852,1037,1037
1468399875,1035,1035
1468410818,1036,1036
1468421707,1036,1036
1468432697,1038,1038
1468443593,1038,1038
1468454649,1037,1037
1468465572,1036,1036
1468476471,1035,1035
1468487509,1031,1031
1468498457,1031,1031
1468508893,1032,1032
1468519766,1036,1036
1468530708,1035,1035
1468541544,1038,1038
1468552471,1034,1034
1468563344,1031,1031
1468574276,1031,1031
1468584625,1030,1030
1468595982,1034,1034
1468606245,1026,1026
1468617310,1022,1022
1468627961,1021,1021
1468638468,1019,1019
1468648874,1019,1019
1468659138,1018,1018
1468670150,1010,1010
1468680665,1009,1009
1468691391,1007,1007
1468702059,1008,1008
1468712997,1009,1009
1468723773,1007,1007
1468734186,1001,1001
1468744844,1000,1000
1468755000,995,995
1468765896,994,994
1468777113,995,995
1468788174,992,992
1468799211,995,995
1468809832,995,995
1468820369,990,990
1468831429,989,989
1468842502,993,993
1468853387,993,993
1468864207,991,991
1468874846,994,994
1468885855,997,997
1468896897,1008,1008
1468907988,1006,1006
1468918823,999,999
1468930078,1001,1001
1468941095,998,998
1468952152,1002,1002
1468963067,1000,1000
1468973768,1003,1003
1468984693,1003,1003
1468995640,1004,1004
1469006597,1004,1004
1469017571,997,997
1469028356,996,996
1469038951,995,995
1469050095,995,995
1469061126,997,997
1469072150,999,999
1469083110,993,993
1469094214,993,993
1469105204,989,989
1469116323,986,986
1469126986,984,984
1469137612,979,979
1469148700,979,979
1469159565,983,983
1469170449,984,984
1469181058,986,986
1469191951,989,989
1469202741,992,992
1469213769,997,997
1469224537,996,996
1469235498,997,997
1469246193,995,995
1469256771,995,995
1469266953,994,994
1469277847,988,988
1469288737,989,989
1469299123,986,986
1469309809,982,982
1469320519,975,975
1469331182,973,973
1469341571,977,977
1469352350,977,977
1469362456,980,980
1469373358,981,981
1469384308,973,973
1469395437,973,973
1469406477,973,973
1469417357,976,976
1469428020,973,973
1469438549,968,968
1469449625,966,966
1469460639,964,964
1469471595,961,961
1469482421,961,961
1469493216,956,956
1469503438,954,954
1469514278,954,954
1469524221,956,956
1469535113,961,961
1469546091,964,964
1469556836,964,964
1469567269,965,965
1469577684,969,969
1469588086,964,964
1469599054,969,969
1469609866,971,971
1469620777,972,972
1469631844,971,971
1469641468,967,967
1469652381,964,964
1469663206,965,965
1469674206,971,971
1469684861,971,971
1469695719,971,971
1469706611,970,970
1469717365,971,971
1469728060,963,963
1469739043,962,962
1469749866,965,965
1469760766,969,969
1469771684,974,974
1469782769,976,976
1469793646,976,976
1469804248,984,984
1469815241,985,985
1469826173,985,985
1469837261,982,982
1469848129,983,983
1469859133,982,982
1469870089,983,983
1469881001,986,986
1469891534,983,983
1469901918,983,983
1469911941,986,986
1469922353,985,985
1469932474,980,980
1469943488,982,982
1469954255,988,988
1469965114,989,989
1469976208,988,988
1469987246,989,989
1469998113,986,986
1470009013,988,988
1470019870,985,985
1470030751,983,983
1470041576,982,982
1470052486,981,981
1470063418,976,976
1470074368,969,969
1470085392,969,969
1470095836,964,964
1470106807,963,963
1470117719,966,966
1470128203,963,963
1470138598,959,959
1470149539,960,960
1470160210,959,959
1470171115,966,966
1470182164,964,964
1470193021,965,965
1470203958,967,967
1470215014,961,961
1470226044,968,968
1470236984,967,967
1470247684,967,967
1470258690,972,972
1470269714,976,976
1470280363,975,975
1470291310,976,976
1470302375,974,974
1470313395,981,981
1470324379,983,983
1470335262,982,982
1470346176,978,978
1470357075,979,979
1470367989,980,980
1470378485,978,978
1470389233,980,980
1470399930,980,980
1470410285,982,982
1470421114,984,984
1470432222,982,982
1470443116,982,982
1470453552,979,979
1470464174,979,979
1470475219,981,981
1470486057,981,981
1470496448,976,976
1470507364,973,973
1470518359,966,966
1470528485,961,961
1470539422,961,961
1470550204,965,965
1470561002,966,966
1470571791,972,972
1470582574,967,967
1470593340,969,969
1470604258,971,971
1470615351,971,971
1470626025,966,966
1470636677,969,969
1470647625,975,975
1470658573,972,972
1470669209,972,972
1470679919,971,971
1470690775,972,972
1470701477,967,967
1470712404,969,969
1470722964,967,967
1470733464,963,963
1470744379,965,965
1470755217,965,965
1470765670,966,966
1470775988,964,964
1470786894,959,959
1470797940,959,959
1470808799,963,963
1470819758,966,966
1470830557,970,970
1470841181,969,969
1470852227,968,968
1470863184,969,969
1470873711,970,970
1470884624,972,972
1470895572,978,978
1470905864,981,981
1470916830,981,981
1470927556,974,974
1470938298,976,976
1470949216,976,976
1470959814,980,980
1470970799,980,980
1470981598,981,981
1470992261,982,982
1471002762,984,984
1471013559,981,981
1471024526,978,978
1471035079,983,983
1471046002,986,986
1471056415,984,984
1471067460,987,987
1471078174,984,984
1471088817,983,983
1471099917,986,986
1471109836,989,989
1471120532,987,987
1471130901,987,987
1471141643,987,987
1471152514,988,988
1471163086,988,988
1471173369,980,980
1471183594,979,979
1471194657,978,978
1471205571,981,981
1471216480,985,985
1471227344,985,985
1471237915,983,983
1471248847,987,987
1471259756,986,986
1471270826,989,989
1471281532,990,990
1471292385,999,999
1471302892,1002,1002
1471313627,1003,1003
1471324552,1006,1006
1471335591,1007,1007
1471346254,1010,1010
1471357184,1013,1013
1471367984,1007,1007
1471378614,1001,1001
1471388908,998,998
1471399912,999,999
1471410955,1004,1004
1471421963,1007,1007
1471432925,1005,1005
1471443699,1008,1008
1471454641,1012,1012
1471465672,1016,1016
1471476661,1018,1018
1471487668,1019,1019
1471498638,1016,1016
1471509526,1018,1018
1471520178,1014,1014
1471531165,1015,1015
1471542166,1020,1020
1471553153,1020,1020
1471564043,1024,1024
1471575140,1035,1035
1471585910,1036,1036
1471596587,1040,1040
1471607535,1042,1042
1471618540,1042,1042
1471629574,1054,1054
1471640626,1065,1065
1471651681,1074,1074
1471662686,1078,1078
1471673684,1090,1090
1471684793,1095,1095
1471695373,1100,1100
1471706271,1107,1107
1471717234,1105,1105
1471728212,1108,1108
1471738950,1110,1110
1471750026,1108,1108
1471761131,1108,1108
1471772105,1111,1111
1471782658,1114,1114
1471793425,1120,1120
1471804321,1124,1124
1471815219,1123,1123
1471826138,1125,1125
1471837204,1125,1125
1471848200,1132,1132
1471859106,1132,1132
1471869960,1137,1137
1471880775,1138,1138
1471891954,1143,1143
1471902940,1145,1145
1471913506,1154,1154
1471924561,1151,1151
1471935622,1152,1152
1471946526,1150,1150
1471957243,1151,1151
1471968209,1154,1154
1471979199,1157,1157
1471990304,1160,1160
1472001368,1161,1161
1472012406,1175,1175
1472023413,1179,1179
1472034501,1185,1185
1472045556,1185,1185
1472056505,1186,1186
1472067795,1185,1185
1472078632,1185,1185
1472089685,1189,1189
1472100708,1187,1187
1472111512,1185,1185
1472122443,1188,1188
1472133316,1189,1189
1472144264,1187,1187
1472154750,1187,1187
1472165514,1192,1192
1472176553,1198,1198
1472187653,1198,1198
1472198531,1200,1200
1472209280,1198,1198
1472220158,1196,1196
1472231228,1198,1198
1472242277,1199,1199
1472253246,1195,1195
1472264407,1192,1192
1472275451,1191,1191
1472286285,1191,1191
1472296917,1193,1193
1472307773,1195,1195
1472318740,1198,1198
1472329684,1202,1202
1472340574,1200,1200
1472351346,1198,1198
1472362069,1199,1199
1472372384,1192,1192
1472383221,1192,1192
1472394045,1188,1188
1472404063,1191,1191
