DateTime,AddedIPs,RemovedIPs
1466082985,7,0
1466093709,18,0
1466104510,19,0
1466115309,13,0
1466126110,14,140
1466136931,21,0
1466147711,31,0
1466158511,14,0
1466169310,11,0
1466180111,15,0
1466190910,22,0
1466201710,17,0
1466212534,15,158
1466223332,23,0
1466234110,28,0
1466244910,24,0
1466255710,17,0
1466266510,21,0
1466277310,23,0
1466288110,16,0
1466298927,24,164
1466309749,18,0
1466320527,24,0
1466331326,22,0
1466342125,24,0
1466352928,18,0
1466363728,24,0
1466374528,21,0
1466385327,9,153
1466396264,25,0
1466406925,37,1
1466417728,29,0
1466428526,19,0
1466439327,17,0
1466450128,16,0
1466460928,21,0
1466471727,27,157
1466482549,26,0
1466493324,42,0
1466504145,32,0
1466514926,20,0
1466525760,32,20
1466536530,28,0
1466547328,25,0
1466558123,23,171
1466565519,16,0
1466576125,41,0
1466586957,46,0
1466597726,60,0
1466608527,19,0
1466619326,16,0
1466630129,18,0
1466640926,24,142
1466652007,17,0
1466662530,35,0
1466673329,23,0
1466684130,22,0
1466694948,23,0
1466705749,23,0
1466713047,31,0
1466723966,25,0
1466734618,22,146
1466745310,26,0
1466756110,25,0
1466766910,20,0
1466777711,22,0
1466788511,25,0
1466799311,19,0
1466810111,38,29
1466821092,23,173
1466831711,27,0
1466842511,27,0
1466853311,28,0
1466864110,15,0
1466874910,23,0
1466885710,30,0
1466896511,18,0
1466907419,82,157
1466918111,79,0
1466928910,51,0
1466939711,44,0
1466950511,23,0
1466961310,34,0
1466972110,20,0
1466982911,25,0
1466993897,34,168
1467004511,39,0
1467015310,30,0
1467026141,23,0
1467036911,32,0
1467047710,23,0
1467058511,26,0
1467069310,15,0
1467080169,29,223
1467090937,26,0
1467101710,24,0
1467112510,23,0
1467123311,28,0
1467134111,26,0
1467144911,25,0
1467155712,24,0
1467166570,30,257
1467177311,25,0
1467188110,25,0
1467198910,26,0
1467209711,18,0
1467220510,24,0
1467231310,26,0
1467242110,21,0
1467249332,17,197
1467260135,48,0
1467270932,28,0
1467281734,18,0
1467292534,22,0
1467303334,23,0
1467314135,24,0
1467324934,36,0
1467335733,30,187
1467346536,36,0
1467357334,31,0
1467368135,27,0
1467378936,29,0
1467389735,25,0
1467400536,25,0
1467411335,23,0
1467422131,27,188
1467433091,23,0
1467443734,42,0
1467454533,41,0
1467465336,22,0
1467476134,43,0
1467486936,28,0
1467497736,42,0
1467508534,28,337
1467519338,37,0
1467530134,29,0
1467540936,32,0
1467551734,25,0
1467562535,24,0
1467573336,25,0
1467584134,28,0
1467594934,24,218
1467605739,41,0
1467616535,28,0
1467627311,30,0
1467638111,32,0
1467648911,25,0
1467659710,32,0
1467670510,37,0
1467681311,30,209
1467692110,35,0
1467702911,32,0
1467713711,33,0
1467724510,29,0
1467735310,30,0
1467746111,29,0
1467756911,48,15
1467767711,19,191
1467778510,30,1
1467789311,31,0
1467800111,26,0
1467810911,27,0
1467821711,28,0
1467832511,18,0
1467843311,27,0
1467854110,27,211
1467864933,27,0
1467875711,36,0
