DateTime,Entries,UniqueIPs
1466082985,1031,1031
1466093709,1049,1049
1466104510,1068,1068
1466115309,1081,1081
1466126110,955,955
1466136931,976,976
1466147711,1007,1007
1466158511,1021,1021
1466169310,1032,1032
1466180111,1047,1047
1466190910,1069,1069
1466201710,1086,1086
1466212534,943,943
1466223332,966,966
1466234110,994,994
1466244910,1018,1018
1466255710,1035,1035
1466266510,1056,1056
1466277310,1079,1079
1466288110,1095,1095
1466298927,955,955
1466309749,973,973
1466320527,997,997
1466331326,1019,1019
1466342125,1043,1043
1466352928,1061,1061
1466363728,1085,1085
1466374528,1106,1106
1466385327,962,962
1466396264,987,987
1466406925,1023,1023
1466417728,1052,1052
1466428526,1071,1071
1466439327,1088,1088
1466450128,1104,1104
1466460928,1125,1125
1466471727,995,995
1466482549,1021,1021
1466493324,1063,1063
1466504145,1095,1095
1466514926,1115,1115
1466525760,1127,1127
1466536530,1155,1155
1466547328,1180,1180
1466558123,1032,1032
1466565519,1048,1048
1466576125,1089,1089
1466586957,1135,1135
1466597726,1195,1195
1466608527,1214,1214
1466619326,1230,1230
1466630129,1248,1248
1466640926,1130,1130
1466652007,1147,1147
1466662530,1182,1182
1466673329,1205,1205
1466684130,1227,1227
1466694948,1250,1250
1466705749,1273,1273
1466713047,1304,1304
1466723966,1329,1329
1466734618,1205,1205
1466745310,1231,1231
1466756110,1256,1256
1466766910,1276,1276
1466777711,1298,1298
1466788511,1323,1323
1466799311,1342,1342
1466810111,1351,1351
1466821092,1201,1201
1466831711,1228,1228
1466842511,1255,1255
1466853311,1283,1283
1466864110,1298,1298
1466874910,1321,1321
1466885710,1351,1351
1466896511,1369,1369
1466907419,1294,1294
1466918111,1373,1373
1466928910,1424,1424
1466939711,1468,1468
1466950511,1491,1491
1466961310,1525,1525
1466972110,1545,1545
1466982911,1570,1570
1466993897,1436,1436
1467004511,1475,1475
1467015310,1505,1505
1467026141,1528,1528
1467036911,1560,1560
1467047710,1583,1583
1467058511,1609,1609
1467069310,1624,1624
1467080169,1430,1430
1467090937,1456,1456
1467101710,1480,1480
1467112510,1503,1503
1467123311,1531,1531
1467134111,1557,1557
1467144911,1582,1582
1467155712,1606,1606
1467166570,1379,1379
1467177311,1404,1404
1467188110,1429,1429
1467198910,1455,1455
1467209711,1473,1473
1467220510,1497,1497
1467231310,1523,1523
1467242110,1544,1544
1467249332,1364,1364
1467260135,1412,1412
1467270932,1440,1440
1467281734,1458,1458
1467292534,1480,1480
1467303334,1503,1503
1467314135,1527,1527
1467324934,1563,1563
1467335733,1406,1406
1467346536,1442,1442
1467357334,1473,1473
1467368135,1500,1500
1467378936,1529,1529
1467389735,1554,1554
1467400536,1579,1579
1467411335,1602,1602
1467422131,1441,1441
1467433091,1464,1464
1467443734,1506,1506
1467454533,1547,1547
1467465336,1569,1569
1467476134,1612,1612
1467486936,1640,1640
1467497736,1682,1682
1467508534,1373,1373
1467519338,1410,1410
1467530134,1439,1439
1467540936,1471,1471
1467551734,1496,1496
1467562535,1520,1520
1467573336,1545,1545
1467584134,1573,1573
1467594934,1379,1379
1467605739,1420,1420
1467616535,1448,1448
1467627311,1478,1478
1467638111,1510,1510
1467648911,1535,1535
1467659710,1567,1567
1467670510,1604,1604
1467681311,1425,1425
1467692110,1460,1460
1467702911,1492,1492
1467713711,1525,1525
1467724510,1554,1554
1467735310,1584,1584
1467746111,1613,1613
1467756911,1646,1646
1467767711,1474,1474
1467778510,1503,1503
1467789311,1534,1534
1467800111,1560,1560
1467810911,1587,1587
1467821711,1615,1615
1467832511,1633,1633
1467843311,1660,1660
1467854110,1476,1476
1467864933,1503,1503
