DateTime,Entries,UniqueIPs
1472618191,96006,96006
1472619163,96037,96037
1472620111,96053,96053
1472621056,96062,96062
1472622036,96100,96100
1472622988,96084,96084
1472623954,96134,96134
1472624907,96128,96128
1472625852,96156,96156
1472626877,96191,96191
1472627810,96161,96161
1472628747,96207,96207
1472629720,96218,96218
1472630663,96175,96175
1472631639,96198,96198
1472632602,96173,96173
1472633557,96180,96180
1472634499,96204,96204
1472635477,96220,96220
1472636435,96200,96200
1472637401,96126,96126
1472638352,96128,96128
1472639318,96075,96075
1472640256,96064,96064
1472641302,96059,96059
1472642204,96018,96018
1472643161,96050,96050
1472644120,95991,95991
1472645072,95954,95954
1472646047,96052,96052
1472647011,95971,95971
1472647961,95994,95994
1472648909,96138,96138
1472649864,96074,96074
1472650840,96085,96085
1472651778,96145,96145
1472652763,96166,96166
1472653700,96162,96162
1472654662,96169,96169
1472655668,96210,96210
1472656601,96168,96168
1472657558,96186,96186
1472658517,96245,96245
1472659467,96292,96292
1472660435,96381,96381
1472661398,96288,96288
1472662361,96326,96326
1472663311,96297,96297
1472664270,96295,96295
1472665283,96324,96324
1472666197,96292,96292
1472667159,96327,96327
1472668108,96301,96301
1472669061,96290,96290
1472670063,96349,96349
1472671001,96303,96303
1472671961,96344,96344
1472672921,96339,96339
1472673867,96302,96302
1472674837,96275,96275
1472675801,96213,96213
1472676755,96245,96245
1472677722,96248,96248
1472678668,96188,96188
1472679631,96251,96251
1472680585,96224,96224
1472681561,96304,96304
1472682517,96292,96292
1472683460,96359,96359
1472684540,96406,96406
1472685623,96337,96337
1472686599,96333,96333
1472687561,96408,96408
1472688499,96514,96514
1472689465,96478,96478
1472690439,96562,96562
1472691385,96635,96635
1472692344,96708,96708
1472693304,96716,96716
1472694257,96634,96634
1472695268,96709,96709
1472696176,96755,96755
1472697159,96748,96748
1472698112,96750,96750
1472699054,96794,96794
1472700019,96787,96787
1472700994,96784,96784
1472701937,96830,96830
1472702916,96798,96798
1472703852,96859,96859
1472704823,96840,96840
1472705791,96852,96852
1472706747,96860,96860
1472707719,96805,96805
1472708686,96834,96834
1472709663,96845,96845
1472710590,96825,96825
1472711699,96840,96840
1472712752,96780,96780
1472713714,96832,96832
1472714657,96753,96753
1472715635,96768,96768
1472716596,96743,96743
1472717547,96835,96835
1472718523,96803,96803
1472719464,96835,96835
1472720477,96811,96811
1472721392,96759,96759
1472722362,96755,96755
1472723307,96775,96775
1472724267,96705,96705
1472725226,96786,96786
