DateTime,Entries,UniqueIPs
1472636432,66793,67555
1472637397,66788,67550
1472638349,66785,67547
1472639315,66805,67567
1472640253,66835,67597
1472641299,66809,67569
1472642201,66807,67567
1472643158,66854,67614
1472644117,66863,67623
1472645069,66873,67633
1472646044,66910,67671
1472647008,66911,67671
1472647958,66944,67705
1472648905,66975,67737
1472649861,66975,67735
1472650837,66988,67749
1472651775,66972,67734
1472652760,67010,67771
1472653697,67021,67783
1472654659,67037,67799
1472655665,67037,67798
1472656597,67035,67793
1472657555,67042,67799
1472658514,67057,67813
1472659464,67048,67802
1472660432,67086,67840
1472661395,67087,67839
1472662358,67113,67865
1472663308,67134,67885
1472664267,67126,67876
1472665280,67136,67886
1472666194,67133,67883
1472667156,67159,67909
1472668105,67161,67911
1472669058,67181,67931
1472670060,67184,67935
1472670997,67180,67931
1472671957,67199,67951
1472672918,67238,67990
1472673863,67250,68002
1472674834,67280,68032
1472675797,67300,68052
1472676751,67344,68096
1472677706,67341,68093
1472678665,67377,68129
1472679628,67403,68156
1472680582,67400,68153
1472681559,67452,68205
1472682514,67484,68239
1472683457,67522,68277
1472684537,67564,68319
1472685620,67608,68365
1472686596,67602,68359
1472687539,67640,68397
1472688496,67666,68423
1472689462,67688,68445
1472690436,67720,68477
1472691382,67726,68483
1472692341,67771,68527
1472693301,67778,68535
1472694254,67792,68549
1472695265,67818,68575
1472696174,67818,68575
1472697156,67867,68624
1472698109,67892,68649
1472699051,67888,68645
1472700016,67919,68677
1472700991,67915,68674
1472701934,67934,68693
1472702913,67961,68720
1472703849,67953,68712
1472704819,67969,68728
1472705789,67963,68719
1472706744,67986,68741
1472707716,67997,68751
1472708682,67997,68749
1472709660,68022,68773
1472710587,68023,68773
1472711696,68038,68789
1472712749,68040,68791
1472713711,68041,68793
1472714654,68055,68807
1472715632,68101,68853
1472716593,68096,68849
1472717543,68124,68878
1472718520,68115,68868
1472719461,68129,68882
1472720473,68124,68878
1472721389,68148,68902
1472722359,68174,68928
1472723303,68166,68920
1472724264,68171,68924
1472725223,68195,68948
1472726187,68210,68963
1472727150,68225,68980
1472728104,68228,68982
1472729061,68230,68984
1472730031,68269,69021
1472730978,68308,69061
1472731968,68341,69094
1472732906,68379,69132
1472733853,68413,69166
1472734859,68427,69179
1472735792,68380,69132
1472736750,68404,69156
1472737716,68388,69137
1472738692,68385,69135
1472739620,68411,69161
1472740602,68403,69153
1472741542,68431,69182
1472742511,68438,69189
1472743461,68415,69164
1472744431,68459,69208
1472745384,68449,69198
1472746365,68433,69180
1472747302,68468,69216
1472748259,68498,69246
1472749265,68506,69254
1472750206,68502,69248
1472751158,68537,69284
1472752113,68585,69332
1472753073,68624,69371
1472754018,68659,69407
1472754995,68672,69421
1472755948,68682,69431
1472756913,68684,69433
1472757854,68685,69433
1472758843,68716,69463
1472759778,68743,69490
1472760744,68775,69524
1472761717,68765,69512
1472762693,68767,69513
1472763676,68777,69523
1472764590,68776,69522
1472765550,68768,69514
1472766500,68800,69546
1472767466,68807,69554
1472768416,68809,69556
1472769390,68807,69555
1472770349,68867,69617
1472771306,68902,69652
1472772251,68926,69676
1472773227,68988,69736
1472774429,69027,69776
1472775403,69067,69817
1472776345,69116,69870
1472777309,69148,69903
1472778274,69184,69942
1472779241,69224,69986
1472780190,69213,69976
1472781146,69259,70025
1472782112,69334,70115
1472783052,69332,70119
1472784032,69357,70152
1472784995,69341,70137
1472785946,69385,70191
1472786908,69414,70223
1472787868,69404,70219
1472788860,69441,70266
1472789792,69471,70302
1472790753,69495,70334
1472791701,69529,70374
1472792662,69556,70418
1472793631,69576,70443
1472794579,69581,70453
1472795550,69597,70480
1472796505,69638,70525
1472797452,69656,70552
1472798424,69659,70556
1472799476,69660,70556
1472800573,69659,70556
1472801558,69670,70582
1472802510,69661,70575
1472803457,69672,70588
1472804410,69704,70620
1472805395,69697,70630
1472806341,69721,70660
1472807304,69739,70684
1472808249,69747,70695
1472809227,69785,70737
1472810183,69789,70743
1472811410,69757,70717
1472812353,69793,70757
1472813300,69834,70801
1472814265,69823,70794
1472815219,69850,70822
1472816195,69820,70798
1472817151,69827,70804
1472818109,69840,70827
1472819059,69861,70849
1472820029,69872,70861
1472821071,69896,70889
1472822396,69914,70912
1472823670,69943,70946
1472824586,69912,70919
1472825550,69955,70962
1472826511,69980,70987
1472827454,69969,70976
1472828480,70008,71016
1472829397,70018,71026
1472830359,70060,71068
1472831302,70099,71106
1472832265,70097,71107
1472833230,70136,71147
1472834186,70156,71167
1472835147,70183,71198
1472836116,70187,71201
1472837055,70189,71203
1472838025,70221,71235
1472838992,70226,71240
1472839951,70241,71258
1472840899,70271,71288
1472841860,70267,71284
1472842945,70278,71298
1472844022,70320,71345
1472844986,70304,71329
1472845940,70336,71361
