DateTime,AddedIPs,RemovedIPs
1472615304,166,0
1472616269,259,488
1472617218,305,0
1472618191,185,449
1472619163,238,161
1472620111,315,0
1472621056,183,441
1472622036,264,111
1472622988,228,0
1472623954,290,348
1472624907,265,273
1472625852,183,177
1472626877,283,260
1472627810,165,243
1472628747,329,216
1472629720,267,300
1472630663,184,215
1472631639,376,250
1472632602,180,44
1472633557,208,351
1472634499,350,308
1472635477,242,284
1472636435,338,261
1472637401,225,291
1472638352,353,120
1472639318,269,285
1472640256,221,145
1472641302,309,232
1472642204,199,214
1472643161,258,226
1472644120,217,205
1472645072,184,135
1472646047,271,288
1472647011,216,301
1472647961,242,142
1472648909,316,255
1472649864,165,177
1472650840,254,252
1472651778,167,276
1472652763,297,150
1472653700,231,376
1472654662,222,127
1472655668,275,247
1472656601,213,203
1472657558,220,179
1472658517,270,250
1472659467,197,173
1472660435,283,234
1472661398,140,254
1472662361,280,154
1472663311,203,274
1472664270,236,172
1472665283,288,249
1472666197,142,264
1472667159,282,163
1472668108,279,334
1472669061,148,99
1472670063,276,232
1472671001,198,200
1472671961,221,237
1472672921,195,263
1472673867,172,166
1472674837,219,250
1472675801,217,258
1472676755,230,156
1472677722,258,277
1472678668,173,211
1472679631,279,271
1472680585,142,251
1472681561,279,180
1472682517,217,298
1472683460,264,161
1472684540,260,255
1472685623,223,169
1472686599,183,245
1472687561,290,250
1472688499,322,280
1472689465,183,179
1472690439,318,205
1472691385,152,209
1472692344,309,173
1472693304,197,404
1472694257,220,135
1472695268,325,282
1472696176,129,179
1472697159,277,223
1472698112,158,264
1472699054,272,197
1472700019,233,259
1472700994,133,180
1472701937,287,363
1472702916,242,252
1472703852,182,161
1472704823,270,269
1472705791,162,246
1472706747,259,136
1472707719,228,294
1472708686,201,166
1472709663,241,215
1472710590,216,257
1472711699,251,201
1472712752,273,291
1472713714,266,144
1472714657,173,323
1472715635,140,295
1472716596,179,190
1472717547,260,338
1472718523,187,162
1472719464,161,202
1472720477,348,327
1472721392,201,271
1472722362,221,366
1472723307,213,180
1472724267,213,296
1472725226,314,207
1472726191,157,224
1472727153,250,245
1472728107,299,173
1472729064,204,245
1472730034,318,256
1472730981,163,170
1472731971,338,284
1472732909,283,218
1472733856,196,239
1472734862,257,279
1472735795,310,153
1472736753,308,318
1472737719,186,165
1472738695,275,211
1472739623,313,230
1472740605,223,277
1472741545,283,256
1472742514,251,184
1472743464,241,246
1472744434,382,306
1472745387,144,202
1472746368,285,310
1472747305,216,157
1472748262,201,300
1472749267,235,155
1472750209,236,246
1472751161,207,346
1472752116,130,150
1472753077,274,247
1472754021,269,267
1472754998,142,188
1472755952,143,305
1472756916,234,192
1472757857,196,274
1472758846,275,296
1472759780,166,185
1472760747,346,224
1472761721,269,220
1472762696,189,225
1472763679,300,279
1472764593,221,184
1472765553,308,323
1472766503,175,164
1472767469,289,288
1472768419,264,199
1472769394,215,251
1472770352,286,265
1472771310,241,220
1472772255,231,194
1472773230,235,276
1472774432,370,197
1472775406,149,189
1472776348,227,305
1472777312,250,119
1472778277,247,263
1472779244,272,177
1472780193,204,202
1472781149,258,312
1472782115,292,146
1472783056,171,268
1472784035,283,172
1472784998,188,220
1472785949,363,247
1472786911,235,133
1472787871,240,249
1472788863,243,191
1472789795,233,179
1472790756,256,305
1472791703,148,144
1472792665,279,270
1472793634,328,247
1472794583,143,197
1472795572,112,204
1472796508,125,209
1472797455,131,255
1472798427,276,342
1472799479,246,245
1472800576,244,172
1472801561,312,140
1472802513,151,210
1472803462,354,258
1472804413,287,241
1472805398,122,202
1472806344,192,310
1472807307,116,171
