DateTime,Entries,UniqueIPs
1472723307,191970,235417
1472724267,191987,235434
1472725226,191980,235441
1472726191,191952,235401
1472727153,191944,235393
1472728107,191978,235431
1472729064,191942,235383
1472730034,191982,235428
1472730981,192009,235461
1472731971,192033,235477
1472732909,192088,235548
1472733856,192092,235538
1472734862,192109,235561
1472735795,192089,235531
1472736753,192145,235614
1472737719,192128,235597
1472738695,192152,235624
1472739623,192202,235689
1472740605,192180,235656
1472741545,192229,235709
1472742514,192261,235737
1472743464,192270,235742
1472744434,192345,235826
1472745387,192334,235810
1472746368,192313,235784
1472747305,192358,235837
1472748262,192375,235844
1472749267,192370,235843
1472750209,192339,235795
1472751161,192344,235796
1472752116,192366,235820
1472753077,192386,235838
1472754021,192409,235865
1472754998,192402,235839
1472755952,192396,235826
1472756916,192397,235831
1472757857,192350,235761
1472758846,192370,235793
1472759780,192412,235835
1472760747,192466,235888
1472761721,192417,235823
1472762696,192430,235835
1472763679,192457,235864
1472764593,192480,235896
1472765553,192512,235926
1472766503,192546,235972
1472767469,192553,235980
1472768419,192556,235993
1472769394,192535,235948
1472770352,192575,235995
1472771310,192590,236010
1472772255,192613,236045
1472773230,192584,235999
1472774432,192542,235924
1472775406,192566,235946
1472776348,192566,235925
1472777312,192575,235924
1472778277,192600,235944
1472779244,192600,235939
1472780193,192548,235888
1472781149,192558,235902
1472782115,192608,235962
1472783056,192613,235979
1472784035,192583,235936
1472784998,192596,235954
1472785949,192676,236046
1472786911,192696,236080
1472787871,192692,236056
1472788863,192710,236059
1472789795,192752,236118
1472790756,192771,236140
1472791703,192804,236180
1472792665,192817,236180
1472793634,192872,236250
1472794583,192880,236250
1472795572,192860,236213
1472796508,192881,236238
1472797455,192881,236225
1472798427,192857,236214
1472799479,192843,236178
1472800576,192867,236193
1472801561,192897,236231
1472802513,192894,236217
1472803462,192955,236291
1472804413,192959,236308
1472805398,192905,236234
1472806344,192919,236248
1472807307,192932,236266
1472808252,192906,236212
1472809230,192973,236308
1472810186,192975,236315
1472811414,192878,236208
1472812356,192944,236280
1472813303,192991,236340
1472814268,193012,236355
1472815222,193078,236435
1472816198,193061,236407
1472817154,193086,236402
1472818112,193130,236449
1472819062,193143,236493
1472820033,193161,236532
1472821075,193192,236564
1472822399,193229,236621
1472823673,193235,236624
1472824589,193186,236565
1472825553,193178,236554
1472826514,193186,236580
1472827457,193170,236563
1472828483,193209,236617
1472829403,193172,236571
1472830362,193172,236578
1472831305,193133,236523
1472832268,193156,236543
1472833233,193168,236566
1472834190,193170,236576
1472835151,193194,236595
1472836119,193187,236588
1472837058,193162,236559
1472838027,193177,236587
1472838995,193178,236589
1472839954,193219,236635
1472840902,193242,236657
1472841864,193248,236664
1472842949,193259,236682
1472844025,193264,236684
1472844989,193257,236665
1472845949,193292,236711
1472846945,193309,236730
1472847853,193282,236683
1472848822,193328,236738
1472849816,193331,236742
1472850766,193353,236765
1472851701,193377,236821
1472852664,193371,236813
1472853671,193403,236850
1472854589,193420,236870
1472855553,193444,236899
1472856506,193469,236933
1472857466,193470,236944
1472858436,193498,236974
1472859388,193485,236952
1472860365,193520,236992
1472861276,193500,236973
1472862253,193547,237034
1472863225,193552,237034
1472864185,193572,237069
1472865147,193618,237121
1472866095,193648,237161
1472867059,193670,237181
1472868063,193724,237238
1472868988,193741,237260
1472869955,193768,237282
1472870909,193773,237281
1472871863,193798,237303
1472872826,193817,237321
1472873833,193842,237348
1472874749,193838,237340
1472875708,193886,237396
1472876689,193899,237406
1472877636,193891,237398
1472878583,193886,237388
1472879558,193873,237377
1472880500,193893,237398
1472881459,193877,237377
1472882475,193896,237397
1472883390,193902,237405
1472884353,193896,237389
1472885314,193903,237393
1472886263,193908,237395
1472887224,193950,237446
1472888195,193939,237434
1472889150,193940,237436
1472890110,193944,237429
1472891065,193964,237451
1472892034,193967,237458
1472892981,193984,237468
1472893957,194027,237516
1472894907,194020,237505
1472895857,194002,237477
1472897233,193961,237415
1472898275,193980,237444
1472899232,193909,237365
1472900195,193863,237319
1472901143,193811,237255
1472902107,193750,237184
1472903063,193720,237141
1472904068,193708,237116
1472905270,193602,236965
1472906183,193634,237008
1472907152,193482,236799
1472908141,193468,236778
1472909059,193390,236695
1472910024,193433,236753
1472910998,193345,236621
1472911948,193384,236666
1472912914,193271,236520
1472913863,193255,236468
1472914853,193293,236512
1472915782,193303,236516
1472916750,193297,236507
1472917712,193245,236439
1472918667,193289,236493
1472919627,193303,236515
1472920592,193264,236466
1472921547,193256,236430
1472922519,193239,236405
1472923463,193256,236426
1472924422,193283,236451
1472925402,193219,236358
1472926358,193262,236406
1472927317,193255,236387
1472928265,193265,236389
1472929273,193255,236358
1472930194,193247,236342
1472931157,193235,236338
1472932105,193271,236375
1472933068,193255,236355
1472934024,193262,236376
1472934998,193241,236348
1472935944,193261,236370
1472936960,193238,236341
1472938105,193206,236312
1472939063,193218,236335
1472940058,193243,236373
1472940985,193214,236333
1472941959,193219,236350
1472942903,193187,236310
1472943859,193208,236333
1472944834,193257,236391
1472945802,193241,236354
1472946749,193280,236406
1472947709,193264,236390
1472948635,193255,236387
1472949638,193236,236368
1472950588,193189,236295
1472951552,193242,236358
1472952507,193247,236369
1472953458,193235,236355
1472954505,193244,236354
1472955629,193286,236415
1472956602,193236,236351
1472957545,193257,236375
1472958502,193273,236394
1472959469,193213,236332
1472960432,193200,236325
1472961394,193234,236362
1472962353,193209,236320
1472963322,193230,236352
1472964257,193228,236353
1472965273,193228,236344
1472966191,193241,236364
1472967424,193213,236344
1472968358,193201,236335
1472969308,193245,236384
1472970258,193179,236303
1472971245,193148,236270
1472972185,193105,236215
1472973165,193127,236247
1472974102,193162,236305
1472975074,193121,236254
1472976077,193108,236236
1472977009,193123,236250
1472977958,193170,236308
1472978914,193177,236318
1472979876,193146,236265
1472980832,193206,236349
1472981798,193122,236256
1472982760,193097,236219
1472983699,193119,236245
1472984659,193089,236197
1472985639,193115,236230
1472986584,193138,236255
1472987558,193071,236154
1472988518,193024,236118
1472989460,193003,236088
1472990467,193007,236084
1472991386,193045,236128
1472992367,192961,236011
1472993304,192986,236051
1472994275,192975,236042
1472995233,193032,236133
1472996195,192971,236033
1472997143,193005,236079
1472998158,192959,236007
1472999304,192937,235985
1473000257,192938,235990
1473001264,192994,236044
1473002188,192986,236035
1473003163,192984,236040
1473004110,193003,236066
1473005060,193025,236077
1473006020,193025,236071
1473006984,193035,236083
1473007940,193061,236112
1473008943,193018,236055
1473009857,193020,236065
1473010842,193006,236034
1473011794,192995,236013
1473012743,192993,235998
1473013708,192962,235960
1473014671,192950,235946
1473015670,192977,235966
1473016591,192976,235963
1473017546,193001,236003
1473018501,192986,235977
1473019464,192988,235986
1473020420,192991,236001
1473021381,193020,236037
1473022343,193040,236052
1473023313,193007,236003
