DateTime,AddedIPs,RemovedIPs
1472531780,842,842
1472532756,1245,1245
1472533711,970,970
1472534655,1095,1095
1472535633,1349,1349
1472536599,706,706
1472538154,2000,2000
1472539221,1460,1460
1472540198,945,945
1472541154,1291,1291
1472542099,1221,1221
1472543062,931,931
1472544072,1417,1417
1472544985,707,707
1472545948,876,876
1472546909,206,206
1472547861,1072,1072
1472548848,1112,1112
1472549790,1057,1057
1472550765,1181,1181
1472551737,1277,1277
1472552666,610,610
1472553631,1254,1254
1472554591,602,602
1472555568,1128,1128
1472556520,977,977
1472557463,821,821
1472558467,1078,1078
1472559405,612,612
1472560352,1298,1298
1472561350,1272,1272
1472562270,649,649
1472563231,1109,1109
1472564195,760,760
1472565147,1078,1078
1472566149,1171,1171
1472567064,604,604
1472568045,1330,1330
1472568987,583,583
1472569970,1218,1218
1472570905,1031,1031
1472571867,700,700
1472572883,1126,1126
1472573796,774,774
1472574755,1025,1025
1472575718,1011,1011
1472576669,756,756
1472577646,1167,1167
1472578591,706,706
1472579557,1056,1056
1472580508,1161,1161
1472581459,712,712
1472582432,1256,1256
1472583394,573,573
1472584362,1207,1207
1472585317,864,864
1472586269,917,917
1472587261,1192,1192
1472588195,724,724
1472589158,1005,1005
1472590119,981,981
1472591069,662,662
1472592037,1119,1119
1472592994,701,701
1472593951,899,899
1472594923,945,945
1472595870,618,618
1472596825,1127,1127
1472597783,665,665
1472598768,1256,1256
1472599711,903,903
1472600888,934,934
1472601857,985,985
1472602817,1140,1140
1472603798,904,904
1472604744,1145,1145
1472605743,1296,1296
1472606664,734,734
1472607631,1625,1625
1472608577,719,719
1472609562,1499,1499
1472610500,1105,1105
1472611456,1158,1158
1472612472,1508,1508
1472613422,1117,1117
1472614356,1332,1332
1472615304,929,929
1472616269,1672,1672
1472617218,1489,1489
1472618191,1033,1033
1472619163,1369,1369
1472620111,1592,1592
1472621056,922,922
1472622036,1490,1490
1472622988,1088,1088
1472623954,1352,1352
1472624907,1336,1336
1472625852,905,905
1472626877,1381,1381
1472627810,678,678
1472628747,1361,1361
1472629720,1179,1179
1472630663,827,827
1472631639,1392,1392
1472632602,753,753
1472633557,858,858
1472634499,1412,1412
1472635477,1043,1043
1472636435,1569,1569
1472637401,934,934
1472638352,1434,1434
1472639318,1050,1050
1472640256,852,852
1472641302,1141,1141
1472642204,773,773
1472643161,970,970
1472644120,949,949
1472645072,624,624
1472646047,1107,1107
1472647011,819,819
1472647961,945,945
1472648909,1141,1141
1472649864,629,629
1472650840,1191,1191
1472651778,726,726
1472652763,1010,1010
1472653700,966,966
1472654662,925,925
1472655668,1166,1166
1472656601,807,807
1472657558,928,928
1472658517,1197,1197
1472659467,706,706
1472660435,1214,1214
1472661398,633,633
1472662361,1118,1118
1472663311,735,735
1472664270,1019,1019
1472665283,1223,1223
1472666197,590,590
1472667159,1072,1072
1472668108,1115,1115
1472669061,664,664
1472670063,1162,1162
1472671001,824,824
1472671961,1003,1003
1472672921,1021,1021
1472673867,803,803
1472674837,1078,1078
1472675801,1036,1036
1472676755,1151,1151
1472677722,1334,1334
1472678668,846,846
1472679631,1445,1445
1472680585,768,768
1472681561,1461,1461
1472682517,994,994
1472683460,1305,1305
1472684540,1379,1379
1472685623,1074,1074
1472686599,1089,1089
1472687561,1265,1265
1472688499,1146,1146
1472689465,784,784
1472690439,1170,1170
1472691385,578,578
1472692344,1081,1081
1472693304,762,762
1472694257,797,797
1472695268,1130,1130
1472696176,523,523
1472697159,1079,1079
1472698112,577,577
1472699054,1003,1003
1472700019,941,941
1472700994,522,522
1472701937,1064,1064
1472702916,831,831
1472703852,724,724
1472704823,1013,1013
1472705791,571,571
1472706747,1061,1061
1472707719,937,937
1472708686,765,765
1472709663,887,887
1472710590,796,796
1472711699,976,976
1472712752,1154,1154
1472713714,919,919
1472714657,682,682
1472715635,600,600
1472716596,735,735
1472717547,1095,1095
1472718523,893,893
1472719464,863,863
1472720477,1581,1581
1472721392,860,860
1472722362,1318,1318
1472723307,1189,1189
1472724267,1060,1060
1472725226,1421,1421
1472726191,807,807
1472727153,1251,1251
1472728107,1224,1224
1472729064,781,781
1472730034,1393,1393
1472730981,719,719
1472731971,1407,1407
1472732909,1028,1028
1472733856,964,964
1472734862,1086,1086
1472735795,1205,1205
1472736753,1230,1230
1472737719,867,867
1472738695,1312,1312
1472739623,1431,1431
1472740605,892,892
1472741545,1320,1320
1472742514,1396,1396
1472743464,920,920
1472744434,1491,1491
1472745387,604,604
1472746368,1135,1135
1472747305,867,867
1472748262,874,874
1472749267,968,968
1472750209,853,853
1472751161,840,840
1472752116,534,534
1472753077,1002,1002
1472754021,1006,1006
1472754998,596,596
1472755952,534,534
1472756916,998,998
1472757857,797,797
1472758846,1274,1274
1472759780,744,744
1472760747,1301,1301
1472761721,1076,1076
1472762696,788,788
1472763679,1276,1276
1472764593,914,914
1472765553,1149,1149
1472766503,641,641
1472767469,1234,1234
1472768419,1028,1028
1472769394,775,775
1472770352,1157,1157
1472771310,1090,1090
1472772255,809,809
1472773230,965,965
1472774432,1708,1708
1472775406,755,755
1472776348,1161,1161
1472777312,1127,1127
1472778277,1132,1132
