DateTime,Entries,UniqueIPs
1449154155,5744,5744
1449198043,5749,5749
1449244189,5752,5752
1449288018,5757,5757
1449335590,5763,5763
1449379636,5770,5770
1449430257,5775,5775
1449474446,5781,5781
1449518078,5787,5787
1449562189,5789,5789
1449606021,5791,5791
1449649655,5794,5794
1449693418,5800,5800
1449737128,5809,5809
1449780872,5811,5811
1449824969,5819,5819
1449868719,5822,5822
1449913050,5823,5823
1449956741,5827,5827
1450000551,5833,5833
1450044573,5838,5838
1450088319,5842,5842
1450175804,5845,5845
1450219561,5853,5853
1450263262,5859,5859
1450307418,5862,5862
1450351110,5866,5866
1450394853,5871,5871
1450438590,5875,5875
1450482613,5876,5876
1450529294,5881,5881
1450573255,5885,5885
1450616991,5890,5890
1450661411,5893,5893
1450705535,5896,5896
1450755589,5898,5898
1450799653,5903,5903
1450843780,5908,5908
1450887599,5912,5912
1450931241,5922,5922
1451649275,5923,5923
1451693371,5929,5929
1451737126,5931,5931
1451780857,5937,5937
1451824592,5939,5939
1451868396,5946,5946
1451912058,5950,5950
1451956176,5959,5959
1451999926,5963,5963
1452043648,5969,5969
1452087474,5971,5971
1452131214,5976,5976
1452174859,5978,5978
1452218969,5981,5981
1452262733,5985,5985
1452306439,5987,5987
1452350278,5990,5990
1452393964,5993,5993
1452437659,5996,5996
1452481768,6001,6001
1452525540,6004,6004
1452569240,6010,6010
1452613010,6014,6014
1452656728,6017,6017
1452700465,6019,6019
1452744582,6024,6024
1452788307,6028,6028
1452832045,6036,6036
1452875821,6039,6039
1452919540,6048,6048
1452965437,6052,6052
1453009540,6056,6056
1453053261,6058,6058
1453097058,6067,6067
1453140743,6074,6074
1453184410,6075,6075
1453228090,6082,6082
1453271769,6087,6087
1453315453,6093,6093
1453359137,6098,6098
1453402816,6107,6107
1453446504,6117,6117
1453490507,6120,6120
1453534347,6127,6127
1453578010,6133,6133
1453621693,6142,6142
1453665367,6146,6146
1453709069,6154,6154
1453752737,6160,6160
1453796593,6164,6164
1453840646,6167,6167
1453884495,6173,6173
1453928167,6176,6176
1453971865,6178,6178
1454015544,6183,6183
1454059201,6186,6186
1454102890,6192,6192
1454146580,6196,6196
1454190247,6200,6200
1454233939,6201,6201
1454277811,6204,6204
1454321567,6209,6209
1454365211,6220,6220
1454408892,6222,6222
1454452573,6229,6229
1454496248,6234,6234
1454539940,6238,6238
1454583903,6240,6240
1454627788,6244,6244
1454671452,6248,6248
1454715145,6253,6253
1454758812,6260,6260
1454802752,6262,6262
1454846414,6265,6265
1454890101,6271,6271
1454933805,6275,6275
1454977456,6278,6278
1455021173,6287,6287
1455064835,6292,6292
1455108494,6296,6296
1455152171,6300,6300
1455195853,6304,6304
1455239648,6314,6314
1455283460,6317,6317
