DateTime,AddedIPs,RemovedIPs
1471203362,57,56
1471207203,48,60
1471212962,41,69
1471214883,46,68
1471218722,79,65
1471222562,47,68
1471226403,73,75
1471228323,82,88
1471232162,84,91
1471236002,63,58
1471239842,73,52
1471243683,58,46
1471247522,58,51
1471251362,54,50
1471255446,61,41
1471257362,56,54
1471261203,54,52
1471265042,51,47
1471268883,42,57
1471272723,53,49
1471276804,60,62
1471278722,72,45
1471282563,71,47
1471286402,56,66
1471290242,67,60
1471294084,73,79
1471297922,54,74
1471301772,36,77
1471305604,73,62
1471307522,48,62
1471311362,66,67
1471315202,79,87
1471319042,97,99
1471322883,65,70
1471326722,75,53
1471330804,45,41
1471332723,65,57
1471336562,54,36
1471340402,54,55
1471346162,53,46
1471348083,43,49
1471351922,47,41
1471355762,49,45
1471359604,49,52
1471363444,48,51
1471365363,65,37
1471369202,74,60
1471373042,63,65
1471376883,50,51
1471380723,65,55
1471384562,52,79
1471388404,33,84
1471392244,73,62
1471394164,45,55
1471398002,59,69
1471401842,90,92
1471405683,94,93
1471409522,61,67
1471413362,75,51
1471417204,52,50
1471421044,65,54
1471424883,47,42
1471426802,48,56
1471430642,54,46
1471434483,51,51
1471438322,53,53
1471442162,43,52
1471446004,50,47
1471447924,50,41
1471451762,64,49
1471455603,75,57
1471459443,63,65
1471463523,68,52
1471467362,55,67
1471471205,46,79
1471473123,35,70
1471476962,78,75
1471482724,38,58
1471484642,69,67
1471488723,70,89
1471492562,92,99
1471496404,75,65
1471500242,72,53
1471502169,47,47
1471506002,56,46
1471509842,71,39
1471515602,61,55
1471517523,46,56
1471521362,56,50
1471525204,46,48
1471527123,42,45
1471530970,52,42
1471534803,37,59
1471538643,69,40
1471542483,71,50
1471546323,64,60
1471550163,68,63
1471554004,60,96
1471555922,64,74
1471560011,49,69
1471563842,85,77
1471567682,46,94
1471571523,55,57
1471575373,91,107
1471579205,79,127
1471581123,101,65
1471584963,86,60
1471588811,54,53
1471592882,54,46
1471596723,55,50
1471600562,56,48
1471604404,51,48
1471606323,52,53
1471610162,57,38
1471614003,60,49
1471617851,47,51
1471621682,53,61
1471623602,67,58
1471629362,63,45
1471633203,64,58
1471637042,53,54
1471638962,56,61
1471642802,46,69
1471646650,40,64
1471650482,79,69
1471654325,53,75
1471658162,68,66
1471662004,91,104
1471663923,87,100
1471667762,62,62
1471671603,79,48
1471675442,49,41
1471683124,95,75
1471686963,57,50
1471690814,65,53
1471692722,51,41
1471696564,52,59
1471702323,43,49
1471704242,50,43
1471708323,53,56
1471712163,52,57
1471716005,55,45
1471717922,63,52
1471722002,43,62
1471725842,46,49
1471729923,45,70
1471731844,70,45
1471733772,70,112
1471737605,80,66
1471741443,54,73
1471743362,78,77
1471747202,81,79
1471751042,89,105
1471754882,61,64
1471758723,66,50
1471762569,51,38
1471766404,48,36
