DateTime,Entries,UniqueIPs
1471174562,6754,6754
1471178402,6754,6754
1471182242,6755,6755
1471186083,6772,6772
1471189922,6770,6770
1471193762,6790,6790
1471197604,6796,6796
1471199522,6784,6784
1471203362,6785,6785
1471207203,6773,6773
1471212962,6745,6745
1471214883,6723,6723
1471218722,6737,6737
1471222562,6716,6716
1471226403,6714,6714
1471228323,6708,6708
1471232162,6701,6701
1471236002,6706,6706
1471239842,6727,6727
1471243683,6739,6739
1471247522,6746,6746
1471251362,6750,6750
1471255446,6770,6770
1471257362,6772,6772
1471261203,6774,6774
1471265042,6778,6778
1471268883,6763,6763
1471272723,6767,6767
1471276804,6765,6765
1471278722,6792,6792
1471282563,6816,6816
1471286402,6806,6806
1471290242,6813,6813
1471294084,6807,6807
1471297922,6787,6787
1471301772,6746,6746
1471305604,6757,6757
1471307522,6743,6743
1471311362,6742,6742
1471315202,6734,6734
1471319042,6732,6732
1471322883,6727,6727
1471326722,6749,6749
1471330804,6753,6753
1471332723,6761,6761
1471336562,6779,6779
1471340402,6778,6778
1471346162,6785,6785
1471348083,6779,6779
1471351922,6785,6785
1471355762,6789,6789
1471359604,6786,6786
1471363444,6783,6783
1471365363,6811,6811
1471369202,6825,6825
1471373042,6823,6823
1471376883,6822,6822
1471380723,6832,6832
1471384562,6805,6805
1471388404,6754,6754
1471392244,6765,6765
1471394164,6755,6755
1471398002,6745,6745
1471401842,6743,6743
1471405683,6744,6744
1471409522,6738,6738
1471413362,6762,6762
1471417204,6764,6764
1471421044,6775,6775
1471424883,6780,6780
1471426802,6772,6772
1471430642,6780,6780
1471434483,6780,6780
1471438322,6780,6780
1471442162,6771,6771
1471446004,6774,6774
1471447924,6783,6783
1471451762,6798,6798
1471455603,6816,6816
1471459443,6814,6814
1471463523,6830,6830
1471467362,6818,6818
1471471205,6785,6785
1471473123,6750,6750
1471476962,6753,6753
1471482724,6733,6733
1471484642,6735,6735
1471488723,6716,6716
1471492562,6709,6709
1471496404,6719,6719
1471500242,6738,6738
1471502169,6738,6738
1471506002,6748,6748
1471509842,6780,6780
1471515602,6786,6786
1471517523,6776,6776
1471521362,6782,6782
1471525204,6780,6780
1471527123,6777,6777
1471530970,6787,6787
1471534803,6765,6765
1471538643,6794,6794
1471542483,6815,6815
1471546323,6819,6819
1471550163,6824,6824
1471554004,6788,6788
1471555922,6778,6778
1471560011,6758,6758
1471563842,6766,6766
1471567682,6718,6718
1471571523,6716,6716
1471575373,6700,6700
1471579205,6652,6652
1471581123,6688,6688
1471584963,6714,6714
1471588811,6715,6715
1471592882,6723,6723
1471596723,6728,6728
1471600562,6736,6736
1471604404,6739,6739
1471606323,6738,6738
1471610162,6757,6757
1471614003,6768,6768
1471617851,6764,6764
1471621682,6756,6756
1471623602,6765,6765
1471629362,6783,6783
1471633203,6789,6789
1471637042,6788,6788
1471638962,6783,6783
1471642802,6760,6760
1471646650,6736,6736
