DateTime,Entries,UniqueIPs
1469089807,237299,246982
1469090107,237354,247039
1469102408,237355,247039
1469103608,237354,247038
1469122807,237353,247037
1469125207,237352,247036
1469133908,237351,247035
1469145607,237352,247036
1469145911,237351,247035
1469156408,237350,247034
1469163307,237349,247033
1469165407,237348,247032
1469179807,237347,247031
1469186707,237346,247030
1469193607,237345,247029
1469206207,237344,247028
1469206807,237343,247027
1469225707,237342,247026
1469234707,237341,247025
1469239808,237340,247024
1469249107,237339,247023
1469257207,237338,247022
1469268007,237337,247021
1469276706,237336,247020
1469288407,237335,247019
1469291707,237334,247018
1469294407,237333,247017
1469302807,237332,247016
1469304007,237333,247017
1469308207,237332,247016
1469319307,237331,247015
1469336408,237332,247016
1469336708,237331,247015
1469337908,237330,247014
1469350807,237331,247015
1469361608,237332,247016
1469365807,237331,247015
1469381107,237330,247014
1469394008,237333,247017
1469401207,237334,247018
1469401508,237333,247017
1469416507,237332,247016
1469424307,237331,247015
1469437807,237330,247014
1469459107,237329,247013
1469488808,237328,247012
1469510708,237327,247011
1469527207,237328,247012
1469548808,237329,247013
1469551507,237328,247012
1469556610,237327,247011
1469558107,237326,247010
1469573108,237325,247009
1469592007,237327,247011
1469613607,237326,247010
1469613914,237328,247013
1469615408,237327,247012
1469620807,237328,247013
1469624712,237327,247012
1469629508,237326,247011
1469642108,237325,247010
1469648107,237324,247009
1469649608,237323,247008
1469651108,237322,247007
1469656807,237321,247005
1469660407,237322,247006
1469717408,237321,247005
1469721608,237320,247004
1469721910,237319,247003
1469722208,237318,247002
1469722507,237318,247001
1469724608,237318,247000
1469728206,237317,246999
1469743511,237316,246998
1469785508,237315,246997
1469812207,237315,246996
1469814309,237314,246995
1469818207,237313,246994
1469834407,237312,246993
1469859908,237311,246992
1469862608,237310,246991
1469874007,237309,246990
1469887207,237308,246989
1469904607,237307,246988
1469948708,237306,246987
1469964308,237305,246986
1469988308,237304,246985
1470000908,237303,246984
1470003907,237302,246983
1470006007,237303,246984
1470006908,237302,246983
1470011108,237301,246982
1470012007,237300,246981
1470025207,237299,246980
1470029707,237298,246979
1470042008,237299,246980
1470043509,237298,246979
1470052207,237297,246978
1470072308,237296,246977
1470096007,237297,246978
1470110407,237298,246979
1470116707,237297,246978
1470142808,237298,246979
1470158408,237297,246978
1470160807,237298,246979
1470165608,237298,246978
1470176407,237297,246977
1470210308,237296,246976
1470213607,237295,246975
1470218408,237296,246976
1470241808,237295,246975
1470246308,237294,246974
1470249307,237293,246973
1470254407,237294,246974
1470262807,237293,246973
1470283207,237292,246972
1470301207,237293,246973
1470304808,237292,246972
1470305406,237291,246971
1470305707,237290,246970
1470306007,237289,246969
1470330008,237290,246970
1470338708,237289,246969
1470340807,237290,246970
1470355507,237293,246973
1470380107,237292,246972
1470393307,237291,246971
1470395107,237292,246972
1470404708,237291,246971
1470409508,237292,246972
1470418507,237292,246971
1470423008,237291,246970
1470423908,237292,246971
1470428408,237291,246970
1470464107,237291,246969
1470492307,237290,246968
1470498607,237289,246967
1470515107,237288,246966
1470546308,237289,246967
1470548707,237289,246966
1470568207,237288,246965
1470570907,237287,246963
1470572107,237286,246962
1470572707,237288,246965
1470575408,237287,246964
1470576008,237286,246963
1470593408,237285,246962
1470603007,237284,246961
1470615907,237283,246960
1470623707,237282,246959
1470625508,237283,246960
1470656107,237308,246986
1470662708,237311,246989
1470663607,237322,247000
1470663907,237324,247002
1470664208,237331,247009
1470664507,237332,247010
1470666907,237331,247009
1470690007,237330,247008
1470702607,237329,247007
1470708308,237330,247008
1470721507,237329,247007
1470730207,237402,247081
1470730507,237465,247145
1470731708,237466,247146
1470732007,237490,247170
1470732308,237502,247182
1470732609,237516,247196
1470736207,237515,247195
1470738608,237514,247194
1470753308,237513,247193
1470758707,237513,247195
1470766807,237512,247194
1470768007,237511,247193
1470769808,237509,247191
1470805207,237508,247190
1470816907,237700,247429
1470817807,237749,247479
1470819007,237759,247489
1470819307,237800,247530
1470826507,237799,247529
1470831608,237798,247528
1470841207,237797,247527
1470858007,237796,247526
1470862507,237795,247525
1470885307,237794,247524
1470905407,237793,247523
1470907208,237792,247522
1470907808,237897,247627
1470908107,237899,247629
1470908708,237920,247650
1470909007,237966,247697
1470909307,237968,247699
1470909908,237981,247712
1470910507,237984,247715
1470911408,237983,247714
1470927908,237985,247716
1470935107,237986,247717
1470938707,237987,247718
1470945908,237988,247719
1470988807,238039,247772
1470989111,238062,247795
1470989408,238100,247833
1470990307,238105,247838
1470990907,238127,247863
1470991207,238149,247885
1470994507,238148,247884
1471011607,238170,247906
1471011908,238180,247916
1471012207,238189,247925
1471012508,238198,247934
1471018508,238197,247933
1471021508,238198,247934
1471022107,238197,247933
1471025108,238198,247934
1471038008,238197,247933
1471043108,238198,247934
1471046708,238199,247935
1471047608,238198,247934
1471053907,238199,247935
1471066207,238198,247934
1471071907,238199,247935
1471134608,238198,247934
1471184708,238197,247933
1471218907,238196,247932
1471256107,238195,247931
1471268107,238194,247930
1471268407,238193,247929
1471274707,238192,247928
1471306808,238194,247931
1471312207,238193,247930
1471315508,238192,247929
1471335909,238243,247981
1471336207,238354,248094
1471336507,238414,248155
1471336807,238429,248170
1471337107,238432,248173
1471338007,238444,248185
1471338608,238466,248207
1471347908,238430,248169
1471349107,238398,248136
1471352707,238399,248137
1471354208,238398,248136
1471354507,238399,248138
1471354807,238398,248137
1471355706,238397,248136
1471358108,238426,248167
1471358408,238427,248168
1471358708,238432,248173
1471359917,238437,248178
1471360207,238445,248186
1471360507,238462,248203
1471360807,238465,248206
1471373107,238464,248205
1471395008,238463,248204
1471406707,238463,248205
1471420507,238462,248204
1471434008,238476,248218
1471434307,238538,248280
1471434607,238550,248292
1471435207,238552,248294
1471435808,238556,248298
1471436407,238562,248304
1471438807,238575,248317
1471453508,238576,248318
1471464308,238577,248319
1471467907,238578,248320
1471475108,238579,248321
1471509007,238604,248348
1471509307,238671,248417
1471509607,238699,248445
1471509907,238700,248446
1471510207,238724,248470
1471510507,238726,248472
1471511108,238734,248480
1471523107,238745,248491
1471523407,238759,248506
1471524908,238771,248518
1471525208,238788,248535
1471525508,238794,248541
1471541407,238793,248540
1471572908,238793,248539
1471594207,238792,248538
1471600507,238915,248662
1471600807,238919,248666
1471601707,238925,248672
1471602907,238927,248674
1471603818,238928,248675
1471620607,238927,248674
1471626308,238928,248675
1471629909,238929,248676
1471635007,238928,248675
1471671608,238927,248674
1471685708,238926,248673
1471709109,238927,248674
1471766707,238926,248673
1471771208,238926,248672
1471776608,238925,248671
1471783508,238924,248670
1471783807,238923,248669
