DateTime,Entries,UniqueIPs
1468448107,293996,303589
1468448407,293995,303588
1468483208,293994,303587
1468494009,293993,303586
1468510808,293992,303585
1468514108,293991,303584
1468527907,293990,303583
1468528507,293989,303582
1468529108,293988,303581
1468529407,293987,303580
1468530007,293986,303579
1468552507,293985,303578
1468601407,293984,303577
1468602308,293983,303576
1468606808,293982,303575
1468608607,293981,303574
1468617608,293980,303573
1468617907,293979,303572
1468634408,293978,303571
1468653608,293977,303570
1468664107,293976,303569
1468673108,293975,303568
1468678508,293974,303567
1468679109,293973,303566
1468681509,293972,303565
1468689608,293971,303564
1468713609,293970,303563
1468713911,293968,303561
1468722608,293967,303560
1468746908,293966,303559
1468747208,293965,303558
1468756507,293964,303557
1468774507,293963,303556
1468775407,293962,303555
1468806007,293961,303554
1468828807,293960,303553
1468848307,293959,303552
1468859108,293958,303551
1468864507,293957,303550
1468864808,293956,303549
1468876807,293955,303548
1468885507,293954,303547
1468894808,293953,303546
1468899008,293952,303545
1468906808,293952,303544
1468909508,293951,303543
1468917307,293951,303542
1468922107,293950,303541
1468931407,293950,303540
1468937707,293949,303539
1468940408,293948,303538
1468944008,293947,303537
1468968007,293946,303536
1468970408,293979,303569
1468971308,293979,303568
1469009708,293978,303567
1469010007,293976,303565
1469010311,293975,303564
1469010607,293972,303560
1469010907,293970,303558
1469011207,293968,303556
1469011507,293966,303554
1469011807,293965,303553
1469012409,293964,303552
1469012708,293962,303550
1469020507,293961,303549
1469057107,293960,303548
1469059207,293959,303547
1469101808,293958,303546
1469102712,293958,303545
1469106007,293957,303544
1469111108,293956,303543
1469122808,293955,303542
1469124608,293954,303541
1469130607,293953,303540
1469131508,293952,303539
1469131807,293951,303538
1469132407,293950,303537
1469199307,293949,303536
1469214007,293948,303535
1469215507,293947,303534
1469224208,293946,303533
1469224507,293945,303532
1469250907,293944,303531
1469277909,293943,303530
1469279707,293942,303529
1469280607,293941,303528
1469297408,293940,303527
1469331608,293939,303526
1469371808,293938,303525
1469378107,293937,303524
1469388008,293936,303523
1469429408,293935,303522
1469430607,293934,303521
1469434208,293933,303520
1469442008,293932,303519
1469489407,293931,303518
1469549110,293930,303517
1469556908,293929,303516
1469557809,293928,303515
1469558107,293926,303513
1469559008,293925,303512
1469559307,293923,303510
1469559914,293922,303509
1469560808,293921,303508
1469565007,293920,303507
1469593808,293919,303506
1469595908,293918,303505
1469603707,293917,303504
1469625608,293916,303503
1469626207,293915,303502
1469631608,293914,303501
1469643608,293913,303500
1469643907,293911,303498
1469647507,293910,303497
1469650508,293910,303496
1469650808,293909,303495
1469721608,293906,303492
1469721911,293904,303490
1469722209,293901,303487
1469722507,293898,303484
1469722807,293895,303481
1469735407,293894,303480
1469744408,293893,303479
1469744708,293891,303477
1469779807,293890,303476
1469784007,293889,303475
1469786407,293888,303474
1469787007,293887,303473
1469823908,293886,303472
1469825408,293885,303471
1469827208,293934,303520
1469828709,293930,303516
1469829007,293926,303512
1469829308,293925,303511
1469829608,293924,303510
1469830808,293923,303509
1469833208,293922,303508
1469865007,293921,303507
1469865908,293920,303506
1469881508,293919,303505
1469883307,293918,303504
1469883908,293916,303502
1469884208,293915,303501
1469885108,293914,303500
1469911808,293913,303499
1469973910,293912,303498
1469999707,293911,303497
1470001208,293910,303496
1470021308,293909,303495
1470025807,293908,303494
1470038408,293907,303493
1470072607,293906,303492
1470078607,293905,303491
1470078907,293904,303490
1470079208,293902,303488
1470079508,293900,303486
1470121808,293899,303485
1470122107,293898,303484
1470126907,293897,303483
1470132608,293896,303482
1470137707,293895,303481
1470168907,293893,303479
1470174907,293966,303552
1470175209,294000,303587
1470217208,293999,303586
1470219008,293998,303585
1470219607,293990,303577
1470219910,293989,303576
1470220507,293988,303575
1470220808,293984,303571
1470221107,293979,303566
1470221408,293976,303563
1470221707,293973,303560
1470222007,293971,303558
1470224108,293970,303557
1470226207,293969,303556
1470239408,293969,303555
1470246907,293968,303554
1470247511,293967,303553
1470269407,293966,303552
1470298208,293965,303551
1470305108,293963,303549
1470305407,293960,303546
1470305708,293959,303545
1470306007,293955,303541
1470306310,293952,303538
1470306608,293951,303537
1470310508,293950,303536
1470324308,293949,303535
1470331208,293948,303534
1470331808,293947,303533
1470350708,293946,303532
1470352208,293945,303531
1470353407,293944,303530
1470366907,293943,303529
1470381007,293942,303528
1470416707,293941,303527
1470418207,293940,303526
1470419407,293939,303525
1470420008,293938,303524
1470420609,293937,303523
1470431108,293936,303522
1470436507,293935,303521
1470438008,293934,303520
1470439507,293933,303519
1470441008,293932,303518
1470443407,293931,303517
1470448507,293930,303516
1470450908,293929,303515
1470462907,293928,303514
1470470408,293927,303513
1470471607,293926,303512
1470473406,293925,303511
1470510008,293970,303559
1470510607,293978,303567
1470512708,293977,303566
