DateTime,AddedIPs,RemovedIPs
1472007608,18,0
1472011208,26,0
1472015108,14,0
1472018408,13,0
1472019908,0,1
1472022008,15,0
1472023808,0,1
1472025608,18,0
1472029208,20,0
1472030708,0,1
1472033108,23,0
1472036408,40,0
1472037008,0,1
1472040008,37,1
1472043607,31,0
1472047207,48,0
1472050808,34,0
1472054708,42,0
1472057107,0,1
1472058007,42,0
1472061608,47,0
1472065207,45,0
1472068808,57,0
1472070608,0,2
1472071207,0,1
1472072408,30,0
1472073607,0,1
1472076008,36,0
1472079607,28,0
1472081408,0,1
1472083208,30,0
1472083508,0,1
1472086808,22,0
1472090407,41,0
1472091008,0,1
1472094007,28,0
1472095510,5,0
1472095807,3,0
1472096708,4,1
1472097007,20,0
1472097308,1,0
1472097607,19,0
1472101207,6,0
1472101807,0,1
1472104508,0,1
1472104808,17,0
1472108407,14,0
1472111108,0,1
1472111407,0,1
1472112008,16,0
1472113508,0,1
1472115607,25,0
1472119208,24,0
1472122808,30,0
1472124608,0,1
1472125207,0,1
1472126408,33,0
1472130008,39,0
1472133608,31,1
1472136608,0,1
1472137208,48,0
1472140808,41,0
1472143807,0,2
1472144407,51,0
1472146508,0,1
1472148008,47,0
1472150407,0,1
1472150708,0,1
1472151607,57,0
1472152207,0,1
1472154308,0,2
1472155208,43,0
1472155809,0,1
1472159108,44,0
1472160307,4,1
1472160608,5,1
1472162408,38,0
1472163607,0,1
1472166007,41,0
1472167207,0,2
1472167507,2,0
1472169608,37,0
1472173207,25,0
1472173808,0,1
1472176808,18,1
1472177109,2,0
1472177707,10,0
1472178008,13,0
1472180407,22,0
1472182208,0,1
1472183107,3,0
1472184007,20,0
1472187608,12,0
1472189408,0,1
1472191208,18,0
1472193307,0,1
1472194207,0,1
1472194808,9,0
1472198107,0,1
1472198407,23,0
1472199008,0,1
1472202008,30,1
1472205609,25,0
1472209208,22,0
1472212807,36,0
1472216408,58,0
1472218808,0,1
1472220008,59,0
1472227208,49,0
1472230807,49,0
1472232608,0,1
1472234407,48,0
1472238007,35,0
1472238308,0,1
1472239807,0,1
1472241307,0,1
1472241607,36,0
1472242508,0,1
1472245207,45,0
1472247307,0,1
1472248809,55,0
1472252408,33,1
1472256007,37,0
1472259609,34,0
1472263208,33,0
1472266807,31,0
1472267108,0,1
1472268007,0,1
1472269508,0,1
1472270408,20,0
1472271008,0,1
1472274007,20,0
1472277608,20,0
1472281207,16,0
1472284807,20,0
1472288408,25,0
1472289908,0,1
1472292008,38,0
1472293807,0,1
1472295608,45,0
1472299208,42,0
1472302808,40,0
1472304907,0,1
1472306408,46,0
1472310008,59,2
1472313608,66,0
1472317208,58,0
1472318708,0,1
1472320807,53,0
1472324408,64,0
1472326508,0,1
1472327707,0,1
1472328008,39,0
1472329807,0,1
1472331609,53,0
1472334308,0,1
1472335208,44,0
1472338807,41,0
1472339707,5,0
1472342408,57,4
1472343007,0,1
1472346008,51,0
1472349608,24,0
1472353208,32,0
1472356807,42,0
1472360408,24,0
1472361912,0,1
1472364007,19,0
1472367307,0,2
1472367607,23,0
1472368207,0,1
1472371209,27,1
1472374807,36,0
1472378408,38,0
1472378709,0,1
1472382008,39,0
1472382308,0,1
1472383508,0,1
1472385608,28,0
1472389207,46,0
1472392808,54,0
1472394307,0,2
1472396408,60,0
1472397608,0,1
1472400008,43,0
1472401508,0,1
1472403008,0,1
1472403607,52,0
1472403908,0,1
1472407208,65,0
1472410808,49,0
1472411707,3,0
1472413808,0,1
1472414408,47,0
1472415308,0,1
1472415907,0,1
1472416208,0,2
1472418007,33,0
1472421608,41,0
1472422508,1,0
1472424907,0,1
1472425207,26,0
1472426408,0,1
1472428807,39,0
1472430907,0,1
1472432408,28,1
1472436007,20,0
1472439608,15,0
1472443207,20,0
1472445607,0,1
