DateTime,AddedIPs,RemovedIPs
1472470922,256,0
1472471775,0,512
1472472682,1280,0
1472473593,0,2304
1472474476,1536,0
1472475371,0,2048
1472476282,256,0
1472477203,0,2048
1472478081,512,256
1472478975,0,512
1472479881,1024,0
1472480794,0,1024
1472481674,256,0
1472482573,0,1280
1472483480,768,0
1472485277,512,1536
1472486173,0,1792
1472487083,512,0
1472488002,0,1792
1472488875,512,0
1472489775,0,1792
1472492476,768,2048
1472493373,0,1024
1472494285,768,0
1472495205,0,1792
1472496081,512,0
1472496974,0,1536
1472498256,0,1280
1472499675,768,0
1472500580,0,256
1472501505,512,0
1472503343,512,2048
1472504255,0,768
1472505443,0,2048
1472507772,0,512
1472508680,256,0
1472509683,0,1536
1472510480,256,0
1472511376,0,1024
1472512278,768,0
1472513174,0,1024
1472514079,512,0
1472514972,0,1536
1472515880,768,0
1472516829,0,1536
1472517689,256,0
1472518579,0,1280
1472519488,512,0
1472520381,0,256
1472521278,768,512
1472522175,0,1024
1472523082,768,0
1472524875,1280,1536
1472525775,0,1024
1472526677,512,0
1472527207,256,1536
1472528507,1536,0
1472529372,0,1280
1472530298,512,0
1472531200,0,1280
1472532086,1024,0
1472532974,0,1792
1472533879,1024,0
1472535246,1024,2048
1472536589,0,768
1472537926,1792,0
1472538374,0,2048
1472539271,1280,0
1472540173,0,1024
1472541082,1024,0
1472541640,256,0
1472542879,512,3072
1472543770,0,768
1472544684,256,0
1472546480,1280,2304
1472547379,0,1792
1472548281,1024,0
1472548718,0,768
1472550079,1024,0
1472551878,512,0
1472552794,0,768
1472553699,1792,0
1472554573,0,1024
1472555948,768,0
1472556499,0,1024
1472557326,256,0
1472558178,0,1024
1472559132,256,0
1472559721,0,768
1472560876,1280,0
1472563049,1024,1024
1472563577,0,1792
1472564483,256,0
1472565372,0,256
1472566282,768,0
1472567204,0,1536
1472568116,256,0
1472568970,0,2048
1472569878,768,0
1472571676,256,1280
1472572576,0,1024
1472573479,768,0
1472574383,0,1792
1472575280,512,0
1472576171,0,1024
1472577082,512,0
1472577993,0,2560
1472578876,256,0
1472579779,0,256
1472580704,768,0
1472581576,0,2816
1472583383,0,2048
1472584282,256,0
1472586082,512,1024
1472586973,0,1024
1472587878,768,0
1472589758,0,768
1472591515,256,1024
1472593285,512,1024
1472594171,0,512
1472595081,512,0
1472596091,0,1792
1472596877,512,0
1472597776,0,1280
1472598683,768,0
1472599575,512,1024
1472600483,512,0
1472601382,0,1024
1472602281,256,0
1472604084,768,768
1472604987,0,1792
1472605883,256,0
1472606854,0,768
1472607675,512,0
1472608574,0,768
1472609482,256,0
1472611286,1536,1280
1472612174,0,512
1472613083,512,0
1472613477,0,1536
1472614883,768,0
1472616700,512,768
1472617579,0,1024
1472619375,0,512
1472620276,256,0
1472622074,256,1536
1472623071,0,768
1472623884,256,0
1472624429,0,256
1472624778,0,1536
1472625684,256,0
1472626570,0,2048
1472627478,1024,0
1472628001,0,1536
1472629297,1280,0
1472630181,0,256
1472631998,0,768
1472633780,0,1536
1472634678,768,0
1472635162,0,1024
1472636476,768,0
1472637378,0,768
1472639191,0,1536
1472640082,1280,0
1472640972,0,768
1472641916,768,0
1472642854,0,1280
1472643768,1280,0
1472646146,512,768
1472647304,2304,0
1472648184,0,1024
1472649435,768,0
1472649973,256,0
1472650882,2048,1024
1472651770,0,256
1472652679,256,0
1472653605,0,1280
1472654479,1024,0
1472655373,0,512
1472656281,512,0
1472658075,512,1536
1472659886,512,1024
1472661719,512,1280
1472662585,0,768
1472663484,512,0
1472664418,0,1024
1472665283,1024,0
1472666230,0,256
1472667118,1280,0
1472668044,0,768
1472669021,1024,0
1472669776,0,768
1472670683,512,0
1472671025,0,1024
1472672561,256,0
1472673419,0,512
1472674306,256,0
1472675219,0,2048
1472676106,256,0
1472676975,0,512
1472677884,512,0
1472679676,256,1280
1472680577,0,768
1472681479,256,0
1472682367,0,1024
1472683280,512,0
1472684172,0,512
1472685074,512,0
1472686031,0,1280
1472687772,768,0
1472688713,512,256
1472689592,0,1024
1472690478,1792,0
1472691378,0,768
1472692282,256,0
1472692627,0,1024
1472694080,768,0
1472694982,0,768
1472695880,256,0
1472697682,768,512
1472699830,0,256
1472700373,0,768
1472701288,1536,0
1472702170,0,512
1472703552,768,0
1472704883,512,512
1472705777,0,1280
1472706677,768,0
1472707576,0,1280
1472708513,768,0
1472709367,0,512
1472710280,512,0
1472712086,256,768
1472712974,0,512
1472713878,512,0
1472714785,0,768
1472716587,0,256
1472717481,256,0
1472718507,0,256
1472719285,512,0
1472720179,0,1024
1472721079,256,0
1472721994,0,1024
1472722879,1024,0
1472723780,0,1280
1472724688,768,0
1472725589,0,1280
1472726472,768,0
1472727377,0,1024
1472728738,512,0
1472729189,0,1024
1472730097,512,0
1472731000,0,1280
1472731884,256,0
1472732817,0,512
1472733687,1024,0
1472734579,0,1024
1472735475,512,0
1472737282,1024,1536
1472738177,0,768
1472739073,512,0
1472740014,0,1024
1472740878,768,0
1472741775,0,1536
1472743582,0,1536
1472744496,256,0
1472745374,0,768
1472747188,0,1024
1472748081,256,0
1472749057,0,1024
1472750287,0,768
1472751681,256,0
1472752590,0,1280
1472753537,512,0
1472754515,0,512
1472755314,256,0
1472757480,1792,768
1472758014,512,0
1472758880,768,768
1472759816,0,768
1472760683,512,0
1472761013,0,256
1472762476,0,512
1472763373,0,1280
1472764292,1024,0
1472764676,0,1024
1472766084,512,0
1472766977,0,768
1472767883,256,0
1472769021,256,0
1472771992,256,0
1472773283,256,1280
1472774175,0,1024
1472775083,512,0
1472776886,256,512
1472778686,1024,1280
1472779998,1536,1280
1472781375,0,512
1472782665,256,0
1472784076,256,256
1472784983,0,1280
1472785882,768,0
1472786775,0,512
1472787679,768,0
1472788571,0,1024
1472789507,256,0
1472790375,0,512
1472791289,1280,0
1472793082,1024,0
1472793980,0,1792
1472794886,256,0
1472795814,0,1024
1472796679,512,0
1472798485,512,1280
1472799373,0,256
1472801183,0,2304
1472802082,512,0
1472803888,512,0
1472804797,0,512
1472806575,0,1536
1472807484,1280,0
1472808394,0,512
1472809277,256,0
1472810179,0,1024
1472812874,256,1024
1472813784,0,768
1472814728,1792,0
1472816526,256,512
1472817416,0,1536
1472818336,768,2048
1472820083,1024,0
1472821916,1536,1792
1472822977,256,768
1472823682,256,0
1472824643,0,256
1472825873,512,0
1472827288,768,512
1472828178,0,1024
1472830936,256,512
1472831774,0,1536
1472832678,1280,0
1472833736,0,1024
1472834484,256,0
1472835508,0,512
1472837315,0,512
1472838144,512,0
1472838991,0,2560
1472839920,256,0
1472841792,512,256
1472842584,0,512
1472843485,1280,0
1472844850,512,1280
1472846210,0,768
1472847080,256,0
1472847975,0,1024
1472848876,1024,0
1472849779,0,1024
1472850674,512,0
1472852484,256,512
1472854279,256,0
1472855494,256,512
1472858254,1536,768
1472859685,256,1024
1472861487,0,1024
1472862876,512,512
1472865488,512,768
1472865980,0,1024
1472866882,512,0
1472867779,0,1024
1472868675,512,0
1472870482,1024,0
1472871374,0,512
1472872282,1792,0
1472874074,1024,1280
1472874973,0,1536
1472876354,768,0
1472876781,0,1280
1472877685,1024,0
1472878575,0,1280
1472879482,512,0
1472880384,0,512
1472881273,768,0
1472882192,0,1024
1472883076,768,0
1472884877,512,768
1472885775,0,1280
1472886686,1280,0
1472887586,0,2048
1472888489,256,0
1472889380,0,1024
1472890277,512,0
1472891257,0,1024
1472891861,512,0
1472892980,0,768
1472893881,1280,0
1472894848,0,768
1472895687,256,0
1472897486,768,1024
1472898654,768,256
1472900182,0,1280
1472901115,1024,0
1472902123,0,1024
1472902876,512,0
1472903834,0,1280
1472904672,512,0
1472905619,0,256
1472906493,768,0
1472908278,1280,1024
1472909723,1536,768
1472910976,0,1280
1472912820,0,512
1472913557,1280,0
1472914582,0,1024
1472915484,768,0
1472916434,0,512
1472917049,512,0
1472918172,0,768
1472919073,256,0
1472920875,512,512
1472921773,0,1792
1472922680,2048,0
1472924472,0,1536
1472925374,0,1024
1472926283,2048,0
1472928341,1280,256
1472929004,0,1024
1472929975,256,0
1472930811,0,512
1472931794,768,0
1472932575,0,1536
1472933474,256,0
1472935277,1024,768
1472936174,0,256
1472937077,1792,0
1472938045,0,768
1472939086,512,0
1472939773,0,256
1472941290,0,1280
1472942482,768,0
1472944278,256,0
1472945212,0,1536
1472946314,512,0
1472946988,0,768
1472947878,768,0
1472949688,768,512
1472950578,0,768
1472951480,256,0
1472952431,0,1536
1472953681,1024,0
1472955502,256,1024
1472956877,768,1280
1472957778,0,512
1472958682,256,0
1472960480,512,1024
1472961379,0,1024
1472962302,512,0
1472964076,0,1024
1472964975,0,1024
1472965874,256,0
1472966782,0,768
1472967694,512,0
1472969987,256,256
1472970413,0,768
1472971282,512,0
1472972180,0,1280
1472974891,512,1024
1472975775,0,1280
1472976677,512,0
1472977660,0,512
1472978487,768,0
1472979378,0,768
1472980277,512,0
1472981196,0,1024
1472982082,1536,0
1472982984,0,256
1472983885,768,0
1472984824,0,768
1472985689,1792,0
1472986572,0,256
1472987892,512,0
1472988405,0,1280
1472989300,1024,0
1472990179,0,768
1472991079,256,0
1472992022,0,512
1472992882,512,0
1472993774,0,1280
1472995041,512,0
1472996477,256,1280
1472997371,0,1536
1472998278,256,0
1472999241,0,256
1473000072,256,0
1473000980,0,1280
1473001875,1024,0
1473003673,1024,768
1473004584,0,512
1473005480,512,0
1473007272,0,768
1473008174,0,768
