DateTime,Entries,UniqueIPs
1472323011,1636,424448
1472324175,1635,424192
1472325074,1636,424448
1472326877,1630,422912
1472328675,1622,420864
1472329974,1627,422144
1472330539,1623,421120
1472331368,1613,418560
1472332277,1617,419584
1472334081,1615,419328
1472335874,1615,419328
1472336795,1609,417792
1472337407,1612,418816
1472339478,1608,418048
1472341282,1605,417280
1472343073,1605,417280
1472343989,1600,416000
1472344948,1603,416768
1472346675,1602,416512
1472347575,1597,415232
1472348477,1603,416768
1472350277,1601,416512
1472352076,1604,417280
1472352973,1602,416768
1472353877,1599,416000
1472355682,1599,416000
1472357507,1599,416000
1472359279,1594,414976
1472360176,1586,412928
1472361075,1589,413696
1472362878,1583,412160
1472364681,1585,412672
1472365581,1584,412416
1472366475,1586,412928
1472368279,1580,411392
1472370076,1575,410112
1472370978,1569,408576
1472371876,1571,409088
1472372792,1567,408064
1472373693,1572,409344
1472375477,1574,409856
1472377279,1569,408576
1472379077,1570,408832
1472379984,1561,406528
1472380879,1562,407040
1472382676,1558,406016
1472383590,1553,404736
1472384476,1559,406272
1472385373,1554,404736
1472386273,1555,404992
1472387216,1550,403712
1472388075,1553,404480
1472389879,1549,403456
1472390801,1542,401664
1472391683,1546,402944
1472392577,1542,401920
1472393477,1543,402176
1472395277,1537,400640
1472396174,1533,399616
1472397078,1536,400640
1472398042,1532,399616
1472398880,1533,400128
1472400678,1531,399616
1472402482,1527,398592
1472403375,1523,397568
1472406071,1519,396544
1472406975,1508,393728
1472407880,1510,394496
1472409675,1500,391936
1472410672,1494,390400
1472411476,1495,390656
1472412495,1489,388864
1472413279,1490,389120
1472415081,1494,390144
1472416881,1493,390656
1472418683,1488,389376
1472419830,1489,389632
1472422731,1484,388352
1472423172,1477,386560
1472424087,1483,388096
1472424973,1470,384768
1472425876,1478,386816
1472427165,1478,386560
1472429480,1478,386560
1472431301,1481,387328
1472433084,1483,387840
1472434377,1483,388096
1472436679,1482,387840
1472437578,1475,386048
1472438483,1484,388352
1472440283,1482,388096
1472441183,1476,386560
1472442080,1482,388096
1472443906,1484,388864
1472444786,1476,386816
1472445682,1479,387584
1472446580,1478,387328
1472447490,1473,386048
1472448384,1466,384256
1472449270,1470,385536
1472450263,1467,384768
1472451080,1474,386560
1472451983,1467,384768
1472452878,1475,386816
1472454683,1474,386560
1472455584,1469,385280
1472456484,1480,388096
1472458282,1483,388864
1472459179,1477,387328
1472460074,1481,388352
1472460977,1478,387584
1472461881,1472,386048
1472463675,1470,385280
1472465476,1470,385536
1472467277,1468,384768
1472469076,1461,383232
1472470094,1456,381952
1472470922,1457,382208
1472472682,1457,382464
1472473593,1454,381696
1472474476,1459,383232
1472475371,1456,382464
1472476282,1459,383232
1472477203,1456,382464
1472478081,1458,382976
1472478975,1455,382208
1472479881,1459,383232
1472480794,1450,380928
1472481674,1452,381440
1472483480,1445,379648
1472485277,1443,379136
1472487083,1441,378624
1472488002,1440,378112
1472488875,1442,378624
1472490682,1443,378880
1472492476,1441,378368
1472494285,1440,378112
1472495205,1435,376832
1472496081,1437,377344
1472496974,1436,377088
1472499675,1434,376576
1472500580,1430,375552
1472501505,1432,376064
1472502411,1429,375296
1472503343,1431,375808
1472505443,1427,374784
1472506877,1425,374272
1472508680,1424,374016
1472509683,1413,371200
1472510480,1415,371712
1472512278,1417,372224
1472514079,1415,371456
1472515880,1418,372224
1472516829,1415,371456
1472517689,1416,371712
1472519488,1416,371456
1472521278,1413,370688
1472523082,1412,370432
1472523976,1407,368896
1472524875,1413,370432
1472526677,1412,370176
1472527207,1413,370432
1472527582,1409,369408
1472528507,1415,370944
1472530298,1414,370688
1472531200,1408,369152
1472532086,1413,370432
1472533879,1417,371456
1472535246,1418,371712
1472537926,1422,372480
1472539271,1427,373760
1472540173,1425,373248
1472541082,1430,374528
1472541640,1431,374784
1472542879,1432,375040
1472544684,1430,374528
1472546480,1429,374272
1472548281,1431,374784
1472549170,1429,374016
1472550079,1434,375296
1472551878,1432,374784
1472553699,1435,375552
1472555948,1432,374784
1472557326,1425,372992
1472558178,1418,370688
1472559132,1419,370944
1472560876,1422,371712
1472563049,1423,371968
1472564483,1422,371712
1472566282,1421,371456
1472568116,1420,371200
1472569878,1420,371200
1472570771,1419,370944
1472571676,1420,371200
1472572576,1417,370432
1472573479,1420,371200
1472575280,1419,370944
1472576171,1417,370432
1472577082,1420,371200
1472578876,1415,369920
1472580704,1418,370688
1472584282,1418,370688
1472586082,1412,369152
1472586973,1409,368384
1472587878,1413,369408
1472589758,1411,368896
1472591515,1405,367360
1472593285,1407,367872
1472595081,1406,367616
1472596877,1404,367104
1472597776,1403,366848
1472598683,1406,367616
1472599575,1408,368128
1472600483,1406,367616
1472602281,1402,366592
1472604084,1402,366592
1472604987,1400,366080
1472605883,1401,366336
1472606854,1398,365568
1472607675,1400,366080
1472609482,1396,365056
1472611286,1399,365568
1472612174,1398,365056
1472613083,1401,365824
1472614883,1395,364288
1472616700,1392,363520
1472617579,1387,362240
1472620276,1387,362240
1472622074,1381,360704
1472623884,1375,359168
1472625684,1374,359424
1472626570,1370,358400
1472627478,1374,359424
1472629297,1369,358144
1472630181,1366,357376
1472631081,1366,357632
1472632879,1361,356096
1472634678,1362,356352
1472635571,1357,355072
1472636476,1361,356096
1472637378,1358,355328
1472640082,1361,356096
1472641916,1363,356608
1472642854,1358,355328
1472643768,1363,356608
1472644577,1362,356352
1472646146,1364,356864
1472646436,1361,356096
1472647304,1370,358400
1472649435,1368,357888
1472649973,1369,358144
1472650882,1372,358912
1472652679,1369,358144
1472653605,1364,356864
1472654479,1368,357888
1472656281,1371,358656
1472656657,1372,358912
1472658075,1372,358912
1472659886,1372,358912
1472661719,1368,357888
1472663484,1368,357632
1472664418,1363,356352
1472665283,1367,357376
1472666230,1363,356352
1472667118,1368,357632
1472669021,1369,357632
1472669776,1368,357376
1472670683,1369,357888
1472672561,1367,357376
1472673419,1365,356864
1472674306,1366,357120
1472675219,1364,356608
1472676106,1365,356864
1472677884,1364,356608
1472679676,1363,356864
1472681479,1361,356608
1472682367,1358,355840
1472683280,1360,356352
1472684172,1354,354816
1472685074,1357,355584
1472686031,1351,354048
1472687772,1354,354816
1472688713,1357,355584
1472690478,1360,356352
1472692282,1358,355840
1472694080,1360,356096
1472695880,1360,356096
1472697682,1360,356096
1472699830,1356,355072
1472700373,1352,354048
1472701288,1359,355840
1472703552,1361,356352
1472704883,1360,356096
1472706677,1361,356864
1472707576,1358,356096
1472708513,1362,357376
1472710280,1359,356608
1472711202,1354,355328
1472712086,1356,355840
1472712974,1350,354304
1472713878,1353,355072
1472714785,1350,354304
1472717481,1347,353536
1472718507,1344,352768
1472719285,1346,353280
1472721079,1347,353536
1472721994,1346,353280
1472722879,1350,354304
1472724688,1353,355072
1472725589,1351,354560
1472726472,1355,355584
1472728738,1356,355840
1472730097,1348,354048
1472731884,1349,354304
1472732817,1343,352768
1472733687,1349,354304
1472735475,1351,354816
1472737282,1351,354560
1472739073,1351,354560
1472740014,1348,353792
1472740878,1351,354560
1472742681,1348,353792
1472744496,1344,352768
1472746285,1339,351488
1472748081,1334,349952
1472749910,1334,349952
1472750783,1331,349184
1472751681,1332,349440
1472753537,1335,350208
1472754515,1330,348672
1472755314,1332,349184
1472757480,1338,350720
1472758014,1341,351488
1472758880,1341,351488
1472760683,1341,351488
1472762476,1336,350208
1472763373,1333,349184
1472764292,1336,350208
1472766084,1337,350464
1472767883,1337,350464
1472769021,1335,349696
1472771992,1336,349952
1472772385,1333,349184
1472773283,1335,349696
1472774175,1332,348928
1472775083,1333,349440
1472775658,1327,347648
1472776886,1328,347904
1472778686,1329,348160
1472779998,1334,349696
1472780521,1325,347392
1472782665,1316,345088
1472784076,1318,345600
1472785882,1320,346112
1472787679,1324,347136
1472789507,1324,347392
1472791289,1328,348416
1472793082,1328,348416
1472793980,1325,347648
1472794886,1327,348160
1472796679,1327,348160
1472798485,1324,347392
1472800279,1324,347392
1472802082,1321,347136
1472803888,1320,346880
1472804797,1317,346112
1472805683,1318,346368
1472807484,1322,347392
1472808394,1320,346880
1472809277,1322,347392
1472811081,1318,346112
1472812000,1314,345088
1472812874,1316,345600
1472814728,1325,347904
1472816526,1323,347392
1472818336,1323,347392
1472820083,1324,347648
1472821916,1328,348672
1472822977,1329,348928
1472823682,1329,348928
1472824643,1320,346624
1472825873,1322,347136
1472827288,1324,347648
1472830936,1324,347648
1472831774,1321,346880
1472832678,1326,348160
1472834484,1326,348160
1472836279,1321,346880
1472837315,1318,345856
1472838144,1320,346368
1472838991,1317,345600
1472839920,1318,345856
1472841792,1314,344832
1472843485,1319,346112
1472844850,1321,346368
1472847080,1320,346112
1472848876,1321,346368
1472850674,1324,347136
1472852484,1324,347136
1472854279,1326,347648
1472855494,1329,348416
1472856077,1328,348160
1472858254,1336,350208
1472859685,1339,350976
1472861487,1339,350976
1472862876,1338,350720
1472865488,1334,349696
1472865980,1332,349184
1472866882,1333,349696
1472868675,1331,349184
1472870482,1330,349184
1472872282,1337,350720
1472874074,1340,351488
1472876354,1338,350976
1472877685,1340,351488
1472879482,1341,351744
1472880384,1338,350976
1472881273,1341,351744
1472883076,1342,352000
1472884040,1341,351744
1472884877,1337,350976
1472886686,1338,351232
1472887586,1332,349696
1472888489,1334,350464
1472889380,1330,349440
1472890277,1332,349952
1472891257,1329,349184
1472891861,1333,350208
1472892980,1328,348928
1472893881,1335,350720
1472894848,1333,350208
1472895687,1334,350464
1472897486,1332,349952
1472898654,1336,350976
1472899284,1333,349952
1472901115,1330,349184
1472902123,1327,348416
1472902876,1331,349440
1472903834,1328,348672
1472904672,1330,349184
1472905789,1323,347392
1472906493,1327,348416
1472908278,1329,348672
1472909723,1332,349440
1472912820,1326,347904
1472913557,1331,349184
1472914582,1328,348416
1472915484,1331,349184
1472916434,1328,348416
1472917049,1330,348928
1472918172,1329,348416
1472919073,1330,348672
1472920875,1330,348672
1472921773,1327,347904
1472922680,1335,349952
1472925374,1333,349440
1472926283,1341,351488
1472928341,1344,352256
1472929975,1344,352256
1472931794,1344,352256
1472933474,1342,351744
1472933875,1340,351232
1472935277,1344,352256
1472936174,1339,350976
1472937077,1346,352768
1472938045,1344,352256
1472939086,1349,353536
1472941290,1348,353024
1472942482,1351,354048
1472944278,1349,353536
1472945212,1345,352512
1472946314,1348,353536
1472946988,1345,352768
1472947878,1348,353536
1472949688,1348,353536
1472951480,1346,353024
1472952431,1340,351488
1472953681,1347,353280
1472955502,1342,352000
1472956877,1342,352000
1472958682,1339,351232
1472960480,1335,350208
1472962302,1331,349184
1472964076,1330,348928
1472965874,1329,348672
1472966782,1325,347648
1472967694,1327,348160
1472969987,1325,347648
1472971282,1324,347392
1472973076,1325,347648
1472974891,1327,348160
1472975775,1324,347392
1472976677,1326,347904
1472978487,1328,348416
1472980277,1327,348160
1472981196,1322,346880
1472982082,1328,348416
1472983885,1329,348672
1472984824,1325,347648
1472985689,1332,349696
