DateTime,AddedIPs,RemovedIPs
1472150478,3328,3328
1472152320,2816,2816
1472154087,3072,3072
1472155880,3328,3328
1472157677,3584,3584
1472159484,4096,4096
1472161279,3584,3584
1472163080,2816,2816
1472164880,2816,2816
1472166679,3072,3072
1472168490,3328,3328
1472170305,2816,2816
1472171420,3072,3072
1472173888,3584,3584
1472175513,3840,3840
1472177479,3328,3328
1472178947,1536,1536
1472181087,2048,2048
1472182884,3072,3072
1472185099,3072,3072
1472186483,2560,2560
1472188285,2816,2816
1472190091,2816,2816
1472191884,2816,2816
1472193679,2560,2560
1472195480,2816,2816
1472197277,2560,2560
1472199083,2304,2304
1472200881,2816,2816
1472202683,2816,2816
1472203185,256,256
1472203587,256,256
1472204483,2816,2816
1472206286,3840,3840
1472208093,3328,3328
1472209906,3840,3840
1472211700,3840,3840
1472213508,3072,3072
1472215280,3328,3328
1472217076,3328,3328
1472218877,3584,3584
1472220680,4096,4096
1472222472,2816,2816
1472224274,2304,2304
1472226076,3072,3072
1472227880,2304,2304
1472229673,2048,2048
1472231476,2816,2816
1472233277,3584,3584
1472235078,3584,3584
1472236879,3328,3328
1472238676,2560,2560
1472240480,2304,2304
1472242920,3072,3072
1472244151,2560,2560
1472245881,2816,2816
1472247680,3072,3072
1472249485,2304,2304
1472251282,2560,2560
1472253078,2816,2816
1472254877,3072,3072
1472256675,2560,2560
1472258485,3840,3840
1472260279,3328,3328
1472262085,3840,3840
1472262980,256,256
1472263896,3840,3840
1472265683,3584,3584
1472267482,3328,3328
1472269279,3584,3584
1472271100,3072,3072
1472272886,4096,4096
1472274679,4096,4096
1472276478,4096,4096
1472278277,3840,3840
1472278767,256,256
1472279179,256,256
1472280083,2816,2816
1472281886,3328,3328
1472283675,3840,3840
1472285482,3328,3328
1472287276,3328,3328
1472289076,3072,3072
1472290879,3840,3840
1472292672,4096,4096
1472294472,3840,3840
1472296277,3840,3840
1472298079,3584,3584
1472299880,3328,3328
1472301680,2816,2816
1472303885,2816,2816
1472305278,3584,3584
1472307077,3840,3840
1472308879,3328,3328
1472311048,3584,3584
1472312481,3584,3584
1472314275,3072,3072
1472316083,3840,3840
1472317875,4096,4096
1472319681,2560,2560
1472321478,2816,2816
1472323011,2560,2560
1472325074,2816,2816
1472326877,3072,3072
1472328675,2304,2304
1472329974,3072,3072
1472332277,3328,3328
1472334081,3072,3072
1472335874,2560,2560
1472337407,2816,2816
