DateTime,Entries,UniqueIPs
1470036482,879,879
1470040323,879,879
1470044163,879,879
1470048003,878,878
1470051843,877,877
1470055684,877,877
1470059523,877,877
1470063373,877,877
1470067203,876,876
1470098405,876,876
1470106084,876,876
1470109923,877,877
1470113762,877,877
1470117603,877,877
1470121443,876,876
1470125525,876,876
1470129362,877,877
1470133205,876,876
1470137044,875,875
1470140884,875,875
1470148563,875,875
1470171603,875,875
1470175443,875,875
1470183122,875,875
1470186964,877,877
1470190805,877,877
1470194645,877,877
1470206164,877,877
1470213843,876,876
1470217683,876,876
1470225363,876,876
1470233044,876,876
1470236883,877,877
1470240963,877,877
1470264243,877,877
1470268084,877,877
1470271923,877,877
1470275763,877,877
1470283443,877,877
1470287283,877,877
1470291363,877,877
1470295205,877,877
1470299043,877,877
1470306724,875,875
1470314403,876,876
1470322084,876,876
1470325923,876,876
1470329763,876,876
1470333603,877,877
1470360482,876,876
1470368163,876,876
1470379685,875,875
1470383522,875,875
1470387363,875,875
1470391202,875,875
1470395044,876,876
1470398883,877,877
1470402723,878,878
1470406563,879,879
1470414242,879,879
1470421923,879,879
1470425763,878,878
1470429604,878,878
1470437284,878,878
1470441123,878,878
1470444963,878,878
1470448804,878,878
1470452644,879,879
1470456483,880,880
1470468004,880,880
1470471843,879,879
1470475683,879,879
1470479524,879,879
1470483363,879,879
1470487203,879,879
1470491044,879,879
1470494882,879,879
1470498724,879,879
1470502564,879,879
1470510243,880,880
1470514083,880,880
1470517922,880,880
1470521763,880,880
1470529443,881,881
1470533282,882,882
1470537123,882,882
1470540963,883,883
1470544802,883,883
1470548642,883,883
1470552483,883,883
1470556323,883,883
1470567843,884,884
1470571683,884,884
1470575523,885,885
1470579363,885,885
1470583205,886,886
1470587043,886,886
1470590883,885,885
1470598563,886,886
1470602403,885,885
1470606242,885,885
1470610085,885,885
1470613923,885,885
1470617763,883,883
1470625443,881,881
1470629284,881,881
1470633122,881,881
1470656164,882,882
1470667682,882,882
1470679204,881,881
1470686883,881,881
1470698404,881,881
1470713763,882,882
1470721442,882,882
1470729123,886,886
1470732963,886,886
1470736806,886,886
