DateTime,AddedIPs,RemovedIPs
1472685382,2,10
1472685623,255,197
1472686599,205,263
1472687561,311,253
1472688054,20,45
1472688499,359,277
1472689465,237,197
1472690439,341,229
1472691385,188,215
1472692344,339,182
1472693304,229,386
1472694257,235,153
1472695268,341,291
1472695696,14,0
1472696176,138,182
1472697159,301,256
1472698112,186,278
1472699054,291,195
1472700019,252,282
1472700994,152,213
1472701937,302,372
1472702916,298,279
1472703852,204,168
1472704823,284,289
1472705791,202,259
1472706747,289,161
1472707719,231,312
1472708686,218,209
1472709663,278,244
1472710590,249,320
1472711699,256,244
1472712497,8,16
1472712752,310,323
1472713714,287,151
1472714408,10,5
1472714657,220,345
1472715635,188,310
1472716334,3,7
1472716596,188,210
1472717547,288,370
1472718248,9,9
1472718523,194,172
1472719464,193,218
1472720181,12,3
1472720477,405,364
1472721392,215,276
1472722101,12,12
1472722362,269,360
1472723307,257,924
1472724069,12,11
1472724267,223,393
1472725226,341,248
1472725948,1,1
1472726191,178,240
1472727153,291,277
1472727601,0,74
1472727852,9,6
1472728107,326,171
1472729064,219,268
1472729779,12,4
1472730034,348,307
1472730981,211,196
1472731201,0,116
1472731698,15,11
1472731971,399,323
1472732909,299,259
1472733622,20,6
1472733856,213,291
1472734862,311,311
1472735541,7,97
1472735795,304,190
1472736753,329,336
1472737450,11,3
1472737719,217,197
1472738695,294,381
1472739387,6,8
1472739623,333,270
1472740605,238,313
1472741304,4,1
1472741545,290,287
1472742001,0,159
1472742514,252,217
1472743217,9,6
1472743464,239,255
1472744434,394,335
1472745140,15,6
1472745387,151,226
1472745602,0,86
1472746368,299,356
1472747053,8,5
1472747305,243,192
1472748262,231,338
1472748982,11,0
1472749267,252,185
1472750209,271,378
1472750901,13,5
1472751161,248,373
1472752116,183,164
1472752853,5,4
1472753077,323,399
1472754021,329,292
1472754737,2,3
1472754998,153,193
1472755952,177,323
1472756653,6,76
1472756916,238,220
1472757857,216,303
1472758581,7,4
1472758846,298,346
1472759780,178,213
1472760001,0,74
1472760508,4,3
1472760747,389,282
1472761721,294,263
1472762420,4,0
1472762696,204,273
1472763679,337,312
1472764348,7,70
1472764593,243,203
1472765553,322,358
1472766254,12,2
1472766503,217,180
1472767469,300,336
1472768189,1,3
1472768419,290,240
1472768903,78,0
1472769394,247,271
1472770105,6,3
1472770352,353,290
1472771310,312,256
1472772017,3,1
1472772255,263,210
1472772740,27,0
1472773230,319,315
1472773943,7,5
1472774432,441,235
1472775406,214,226
1472775882,7,3
1472776348,295,335
1472777312,303,137
1472777793,8,3
1472778277,294,304
1472779244,308,212
1472779714,15,3
1472780193,217,222
1472781149,320,332
1472781666,6,2
1472782115,347,193
1472783056,211,317
1472783553,6,9
1472784035,297,219
1472784249,12,25
1472784998,179,250
1472785463,2,4
1472785949,388,267
1472786911,263,159
1472787399,9,2
1472787871,256,277
1472788863,259,226
1472789314,4,5
1472789795,279,195
1472790756,285,320
1472791237,8,5
1472791703,174,174
1472792665,322,289
1472793154,12,8
1472793634,327,278
1472794583,166,198
1472795060,13,0
1472795572,150,214
1472796508,167,241
1472796982,9,16
1472797455,165,282
1472798427,334,384
1472798909,16,19
1472799479,256,275
1472800576,251,206
1472801088,11,6
1472801561,335,204
1472802513,174,237
1472802985,4,3
1472803462,337,292
1472804413,340,264
1472804913,16,8
1472805398,169,216
1472806344,235,340
1472806858,5,9
1472807307,175,178
1472808252,247,309
1472808760,5,12
1472809230,378,295
1472810186,173,247
1472810664,10,9
1472811414,186,268
1472812356,325,182
1472812588,2,3
1472813303,269,268
1472814268,877,347
1472814510,4,10
1472815222,315,202
1472816198,230,373
1472816425,14,3
1472817154,292,167
1472817602,879,0
1472818112,298,307
1472818360,13,12
1472819062,239,252
1472820033,305,217
1472820259,10,9
1472821075,307,287
1472821202,654,0
