DateTime,Entries,UniqueIPs
1472510428,328015,371866
1472510902,328037,371896
1472511389,328054,371918
1472512353,328072,371936
1472513314,328088,371954
1472514472,328090,371944
1472514747,328091,371943
1472515465,328097,371946
1472516439,328109,371935
1472517397,328119,371945
1472518355,328159,371983
1472519310,328200,372027
1472520258,328185,372004
1472521230,328186,372010
1472522186,328185,372006
1472522472,328184,372005
1472523144,328179,371980
1472524113,328220,372028
1472525068,328245,372056
1472526057,328263,372076
1472526988,328251,372066
1472527953,328295,372117
1472528936,328345,372168
1472529862,328355,372178
1472530833,328381,372213
1472531780,328363,372192
1472532756,328408,372243
1472533711,328435,372271
1472534655,328430,372279
1472535633,328455,372303
1472536599,328468,372315
1472538154,328498,372346
1472539221,328536,372379
1472540198,328569,372423
1472541154,328573,372438
1472542099,328605,372467
1472543062,328628,372488
1472544072,328685,372567
1472544985,328713,372601
1472545948,328770,372660
1472546909,328763,372662
1472547861,328782,372684
1472548848,328823,372731
1472549790,328857,372764
1472550765,328911,372815
1472551737,328962,372876
1472552666,328977,372891
1472553631,329037,372953
1472554591,329038,372956
1472555568,329030,372933
1472556520,329041,372948
1472557463,329072,372985
1472558467,329065,372986
1472559405,329045,372959
1472560352,329079,372991
1472561350,329087,372990
1472562270,329078,372976
1472563231,328796,372517
1472564195,328784,372492
1472565147,328815,372534
1472566149,328864,372591
1472567064,328860,372582
1472568045,328929,372661
1472568987,328921,372654
1472569970,328942,372673
1472570905,328982,372727
1472571867,328949,372693
1472572883,328994,372744
1472573796,329023,372779
1472574755,329060,372812
1472575718,329077,372841
1472576669,329090,372850
1472577646,329140,372924
1472578591,329172,372963
1472579557,329203,373005
1472580508,329266,373079
1472581459,329286,373101
1472582432,329340,373158
1472583394,329342,373164
1472584362,329396,373217
1472585317,329428,373249
1472586269,329426,373246
1472587261,329493,373324
1472588195,329454,373276
1472589158,329526,373353
1472590119,329576,373406
1472591069,329583,373401
1472592037,329632,373458
1472592994,329677,373503
1472593951,329698,373531
1472594923,329743,373586
1472595615,329803,373655
1472595870,329806,373648
1472596825,329870,373715
1472597783,329900,373742
1472598768,329862,373690
1472599453,329870,373697
1472599711,329915,373743
1472600888,329972,373796
1472601857,329992,373818
1472602817,330020,373835
1472603798,330026,373840
1472604744,330068,373886
1472605743,330100,373916
1472606664,330105,373932
1472607631,330149,373986
1472608577,330135,373970
1472609562,330206,374042
1472610500,330244,374077
1472610982,330247,374080
1472611456,330272,374101
1472612472,330290,374124
1472613422,330296,374125
1472614356,330343,374174
1472615304,330333,374156
1472616269,330356,374179
1472617218,330427,374270
1472618191,330451,374295
1472619163,330437,374282
1472620111,330517,374368
1472621056,330518,374378
1472622036,330559,374419
1472622988,330577,374436
1472623954,330651,374538
1472624907,330675,374569
1472625852,330724,374621
1472626877,330747,374633
1472627810,330792,374681
1472628747,330830,374735
1472629720,330836,374725
1472630663,330876,374770
1472631639,330915,374792
1472632602,330930,374808
1472633557,330957,374831
1472634499,331051,374928
1472635477,331002,374868
1472636435,331060,374933
1472637401,331072,374937
1472638352,331070,374933
1472639318,331121,374990
1472640256,331181,375053
1472641302,331201,375075
1472642204,331214,375092
1472643161,331289,375169
1472644120,331248,375123
1472645072,331241,375120
1472646047,331314,375206
1472647011,331289,375171
1472647961,331343,375223
1472648909,331392,375298
1472649864,331036,374806
1472650840,331087,374843
1472651778,331079,374827
1472652763,331135,374891
1472653700,331153,374913
1472654662,331183,374942
1472655668,331204,374963
1472656601,331217,374970
1472657558,331219,374963
1472658517,331250,374984
1472659467,331258,374986
1472660435,331305,375026
1472661398,331301,375019
1472662361,331355,375078
1472663311,331385,375100
1472664270,331352,375047
1472665283,331385,375076
1472666197,331349,375034
1472667159,331395,375101
1472668108,331397,375089
1472669061,331428,375124
1472670063,331441,375136
1472671001,331436,375131
1472671961,331471,375171
1472672921,331537,375239
1472673867,331527,375226
1472674837,331563,375257
1472675801,331582,375276
1472676755,331645,375343
1472677722,331654,375348
1472678668,331708,375406
1472679631,331734,375415
1472680585,331707,375371
1472681561,331791,375457
1472682517,331815,375482
1472683460,331873,375540
1472683943,331844,375507
1472684540,331904,375560
1472685623,331975,375639
1472686599,331956,375603
1472687561,332013,375657
1472688054,332017,375661
1472688499,332061,375724
1472689465,332075,375735
1472690439,332124,375777
1472691385,332143,375795
1472692344,332219,375877
1472693304,332225,375877
1472694257,332259,375916
1472695268,332318,375981
1472695696,332326,375989
1472696176,332320,375990
1472697159,332363,376030
1472698112,332386,376053
1472699054,332419,376088
1472700019,332455,376120
1472700994,332473,376132
1472701937,332518,376177
1472702916,332577,376237
1472703852,332574,376221
1472704823,332617,376265
1472705791,332634,376267
1472706747,332679,376313
1472707719,332684,376315
1472708686,332704,376336
1472709663,332747,376382
1472710590,332762,376410
1472711699,332780,376421
1472712752,332773,376416
1472713714,332788,376427
1472714657,332793,376447
1472715635,332845,376499
1472716596,332844,376505
1472717547,332882,376547
1472718523,332873,376531
1472719464,332891,376552
1472720477,332913,376586
1472721392,332950,376631
1472722362,332973,376647
1472723307,332984,376642
1472724267,333002,376659
1472725226,333022,376688
1472726191,333016,376670
1472727153,333022,376688
1472728107,333062,376738
1472729064,333044,376713
1472730034,333104,376777
1472730981,333156,376843
1472731971,333206,376892
1472732909,333279,376980
1472733856,333310,377000
1472734862,333340,377035
1472735795,332346,375851
1472736753,332405,375928
1472737719,332393,375917
1472738695,332415,375943
1472739623,332478,376015
1472740605,332462,375982
1472741545,332516,376041
1472742514,332543,376063
1472743464,332539,376055
1472744434,332620,376143
1472745387,332607,376125
1472746368,332588,376099
1472747305,332647,376165
1472748262,332677,376194
1472749267,332685,376210
1472750209,332678,376200
1472751161,332722,376241
1472752116,332783,376304
1472753077,332838,376356
1472754021,332890,376407
1472754998,332891,376402
1472755952,332902,376410
1472756916,332916,376434
1472757857,332887,376393
1472758846,332931,376449
1472759780,332987,376505
1472760747,333043,376567
1472761721,333001,376508
1472762696,333017,376525
1472763679,333050,376559
1472764593,333074,376590
1472765553,333102,376617
1472766503,333153,376684
1472767469,333179,376708
1472768419,333182,376719
1472768903,333208,376747
1472769394,333198,376737
1472770352,333277,376827
1472771310,333330,376881
1472772255,333370,376942
1472772740,333365,376939
1472773230,333411,376982
1472774432,333434,376982
1472775406,333494,377041
1472776348,333546,377087
1472777312,333584,377124
1472778277,333639,377179
1472779244,333663,377218
1472780193,333651,377224
1472781149,333710,377283
1472782115,333800,377386
1472783056,333798,377383
1472784035,333788,377366
1472784249,333789,377369
1472784998,333777,377359
