DateTime,AddedIPs,RemovedIPs
1472971204,36,3
1472971322,25,31
1472972163,4,14
1472972522,13,14
1472972894,0,2
1472973124,12,77
1472973722,4,6
1472975044,62,1
1472975522,8,10
1472975762,1,5
1472976204,4,4
1472976965,2,39
1472977322,5,2
1472977922,3,0
1472978522,0,9
1472978883,56,0
1472979122,2,4
1472979363,2,2
1472979742,4,41
1472980322,3,0
1472980804,0,32
1472980922,2,3
1472982121,5,4
1472982726,53,0
1472982963,3,0
1472983403,3,9
1472983922,3,0
1472984643,12,69
1472985722,4,32
1472986565,47,0
1472987001,21,39
1472987540,1,4
1472988121,1,0
1472988722,3,8
1472989322,2,31
1472989922,5,0
1472990406,78,109
1472990546,20,23
1472991122,4,0
1472991722,8,5
1472992322,63,14
1472992382,0,1
1472992921,3,0
1472993763,2,0
1472994199,6,2
1472994722,7,0
1472995321,2,0
1472995921,1,0
1472996172,33,8
1472996521,2,3
1472997122,8,2
1472997363,4,11
1472997799,3,9
1472998088,0,71
1472998322,1,14
1472998922,7,19
1472999522,5,0
1473000003,61,0
1473000121,1,0
1473000722,5,0
1473000963,5,2
1473001397,14,2
1473001922,0,22
1473002521,1,0
1473003845,57,41
1473004563,8,20
1473004921,22,4
1473004997,0,4
1473005521,3,1
1473006121,6,4
1473006722,4,0
1473007321,9,0
1473007684,49,93
1473007922,1,0
1473008163,3,0
1473008602,5,8
1473009122,1,0
1473009722,1,0
1473010321,1,1
1473010381,32,0
1473010921,4,7
1473011523,64,0
1473011762,8,8
1473012196,17,28
1473013322,8,2
1473013921,2,0
1473014521,4,0
1473015123,0,6
1473015363,46,118
1473015721,9,21
1473016321,1,0
1473016549,4,3
1473016816,12,9
1473016922,3,0
1473017522,1,0
1473018122,2,13
1473018722,2,2
1473019204,53,10
1473019372,2,0
1473019921,1,5
1473020522,0,4
1473021125,41,124
1473021722,3,4
1473022321,0,2
1473022563,5,4
1473022969,3,32
1473023522,3,0
1473024122,7,14
1473024722,8,6
1473024974,49,0
1473025322,2,0
1473025922,2,6
1473026163,3,0
1473026522,7,8
1473027122,1,0
1473027722,3,0
1473028322,2,0
1473028805,40,11
1473028922,2,4
1473029522,11,0
1473029762,8,9
1473030122,6,6
1473030171,0,4
1473030725,2,120
1473031450,4,6
1473031921,12,9
1473032644,75,0
1473033122,3,7
1473033363,6,3
1473033722,6,20
1473033771,0,2
1473034323,17,0
1473034670,1,1
1473034922,6,11
1473035581,3,2
1473036122,15,7
1473036485,43,55
1473036722,4,9
1473036962,3,0
1473037322,18,0
1473037431,0,2
1473037921,2,3
1473038406,0,60
1473038522,1,5
1473039122,2,0
1473039721,2,0
1473040325,62,1
1473040563,0,7
1473040923,5,11
1473040971,1,0
1473041522,1,0
1473042121,3,1
1473042722,4,5
1473042781,5,0
1473043321,1,0
1473043922,4,2
1473044165,80,149
1473044521,10,10
1473044570,0,3
1473045722,0,6
1473046321,1,0
1473046922,1,1
1473047523,20,13
1473048005,81,0
1473048122,5,2
1473048722,7,1
1473049321,11,0
1473049925,61,73
1473049981,0,17
1473050521,2,13
1473051122,16,3
1473051362,2,3
1473051770,1,4
1473052922,10,13
1473053521,4,3
1473053772,73,11
1473054122,1,5
1473054722,10,0
1473054963,7,5
1473055687,9,127
1473055921,6,6
1473056522,2,2
1473057122,4,0
1473057181,0,5
1473057603,61,0
1473057721,2,21
1473058922,14,11
1473059522,4,1
1473060122,3,0
1473060781,0,8
1473061444,36,96
1473061921,2,0
1473062162,3,4
1473062521,2,0
1473062570,0,4
1473063122,18,9
1473063470,2,1
1473063721,6,2
1473064381,2,13
1473064922,5,4
1473065524,81,4
1473065763,5,9
1473066170,6,8
1473066722,2,0
1473067446,6,48
1473067922,1,0
1473068521,2,0
1473069362,57,0
1473069770,5,12
1473070321,13,10
1473070921,6,0
1473071522,1,3
1473072121,4,10
1473073212,48,98
1473073321,5,0
1473073372,1,5
1473074521,7,19
1473075127,54,6
1473075721,1,0
1473076322,13,7
1473076562,7,6
1473076922,12,1
1473076972,2,0
1473077522,1,14
1473078122,3,0
1473078965,50,54
1473079322,1,6
1473080163,4,0
1473080522,3,1
1473081122,4,2
1473081722,0,3
1473082322,8,19
1473083044,34,44
1473083522,1,0
1473083762,2,6
1473084121,3,3
1473084722,1,10
1473085322,6,0
1473086522,5,0
1473087123,47,8
1473087362,5,5
1473087721,0,8
1473088322,12,8
1473089045,2,83
1473090122,4,3
1473090962,68,0
1473090963,5,0
1473091370,3,5
1473091921,3,0
1473092210,4,2
1473092521,3,1
1473092884,0,63
1473093721,1,5
1473094322,3,1
1473094804,80,12
1473094972,7,9
1473095521,9,3
1473096121,3,4
1473096723,59,20
1473097321,1,5
1473098162,5,12
1473098570,2,15
1473099603,0,90
1473099722,5,2
1473100563,114,5
1473100922,1,1
1473101522,4,2
1473101762,3,0
1473102122,4,0
1473102722,5,0
1473103443,2,56
1473103922,6,18
1473104403,56,0
1473104647,2,0
1473105123,3,12
1473105362,3,7
1473105832,28,15
1473106921,3,0
1473107522,2,5
1473107581,0,10
1473108243,52,14
1473108722,1,0
1473109210,3,111
1473109322,0,34
1473109370,0,1
1473109922,2,0
1473110390,3,1
1473110522,1,0
1473111121,3,0
1473111181,4,0
1473111722,22,15
1473112082,51,0
1473112562,4,0
1473112921,2,2
1473113030,0,1
1473113522,3,0
1473114121,1,4
1473115921,8,3
1473116163,5,9
1473116522,24,2
1473116884,37,58
1473117843,12,81
1473118321,14,10
1473118381,0,5
1473118921,2,0
1473119521,1,0
1473119763,64,0
1473120172,7,7
1473120722,1,0
1473121071,1,0
1473121321,1,6
1473122522,11,9
1473123121,6,0
1473123604,39,9
1473123721,16,14
1473124322,3,0
1473124803,0,124
1473124922,4,7
1473125523,68,0
1473126121,7,17
1473126721,13,3
1473126963,1,10
1473127322,2,1
1473127372,0,3
1473127922,2,0
1473128643,2,70
1473129123,5,0
1473129362,72,1
1473129721,7,9
1473130321,3,7
1473130971,1,0
1473131522,6,0
1473132122,4,1
1473132483,0,83
1473132722,2,0
1473133203,102,0
1473133321,8,2
1473133940,4,3
1473134163,2,5
1473134521,2,1
1473135122,4,9
1473135722,1,0
1473136323,0,112
1473137043,76,7
1473137522,10,1
1473137763,1,0
1473138121,2,0
1473138232,0,1
1473138722,2,3
1473139322,0,2
1473139922,1,0
1473139981,15,3
1473140522,9,0
1473140883,74,6
1473141122,5,3
1473141362,2,10
1473141771,5,16
1473142084,2,128
1473142326,2,0
1473142922,5,14
1473144123,6,8
1473144726,53,17
1473144963,1,2
1473145431,19,1
1473145924,4,62
1473146521,7,14
1473147121,26,0
1473147722,2,3
1473148322,5,6
1473148575,64,0
1473148921,11,6
1473149031,1,0
1473149521,2,0
1473149763,0,46
1473149871,4,1
1473150722,2,0
1473151321,5,13
1473151922,2,0
1473152404,51,3
1473152571,8,7
1473153722,12,35
1473154323,38,6
1473154381,1,0
1473154922,3,0
1473155525,0,83
1473155762,6,2
1473156173,3,3
1473156721,19,0
1473157322,4,0
1473157921,2,8
1473158162,58,0
1473158521,5,28
1473159121,2,2
1473159362,2,0
1473159771,2,11
1473160922,20,3
1473161283,0,48
1473161521,6,1
1473162002,61,0
1473162123,4,5
1473162721,2,3
1473163255,5,12
1473163371,6,4
1473163921,3,0
1473164522,12,6
1473165122,0,3
1473165844,69,16
1473166322,2,6
1473166562,6,4
1473167044,2,75
1473167521,4,7
