DateTime,AddedIPs,RemovedIPs
1472672561,256,0
1472673000,182,0
1472674325,256,513
1472674800,9,0
1472675788,1,2049
1472676000,47,0
1472676106,256,0
1472676600,159,0
1472677186,4,4
1472677884,512,512
1472680200,452,1280
1472681479,256,767
1472682003,1,1
1472682646,3,1023
1472683200,27,0
1472683280,512,0
1472683800,168,0
1472685000,0,511
1472685074,512,0
1472686321,8,1288
1472687143,219,99
1472688000,957,0
1472689200,521,258
1472690400,7,1026
1472690742,1793,0
1472691000,200,0
1472691378,0,768
1472692282,256,0
1472692627,0,1023
1472693522,7,8
1472694619,273,0
1472694982,512,768
1472695880,256,0
1472696774,16,0
1472697946,54,0
1472698823,975,516
1472699830,0,256
1472700373,0,3442
1472700722,6,6
1472701202,0,1
1472701545,45,0
1472701800,1752,0
1472702170,0,512
1472703552,767,0
1472704200,7,0
1472705149,61,0
1472705400,747,512
1472705777,0,1279
1472706677,768,0
1472707576,0,1280
1472708883,36,2
1472709140,768,0
1472709793,163,3
1472710280,512,512
1472710800,7,0
1472712000,13,0
1472712724,256,770
1472713263,108,0
1472713878,512,510
1472715056,1,0
1472715122,5,781
1472715602,7,5
1472716563,149,1
1472717481,254,256
1472718000,9,0
1472719453,0,258
1472719800,634,0
1472720405,2,1
1472720911,3,1028
1472721079,256,0
1472722800,25,1025
1472722879,1024,0
1472723784,179,0
1472724688,768,1280
1472725200,8,0
1472726400,72,1280
1472726472,768,0
1472727000,136,0
1472728085,1,1027
1472728738,512,0
1472729465,0,1024
1472729522,8,9
1472730000,53,1
1472730097,512,0
1472730600,185,0
1472731924,260,1280
1472732400,7,0
1472733600,49,513
1472733687,1024,0
1472734200,204,0
1472734863,0,1024
1472735475,512,0
1472736378,2,0
1472737200,42,0
1472737282,1024,1536
1472737800,225,0
1472739073,510,768
1472739604,0,2
1472740255,2,0
1472740800,26,1029
1472740878,768,0
1472741400,264,0
1472742681,0,1534
1472742923,6,2
1472743859,0,3355
1472743922,12,25
1472744400,41,0
1472744496,256,0
1472745000,224,0
1472746285,0,768
1472746800,6,0
1472747283,0,1024
1472748000,43,0
1472748081,256,0
1472748600,208,0
1472749257,0,1024
1472750287,0,768
1472751600,33,0
1472751681,256,0
1472752200,46,0
1472753400,0,1278
1472753537,515,3
1472754000,6,0
1472755314,256,512
1472755800,98,0
1472757480,1792,768
1472758014,512,0
1472758322,4,15
1472758880,788,771
1472759400,74,0
1472760683,512,768
1472761013,0,256
1472761579,14,0
1472763145,17,513
1472763659,107,0
1472764292,1025,1283
1472764676,0,1024
1472766000,29,1
1472766483,0,1
1472766600,633,0
1472767692,0,767
1472767883,256,0
1472768400,2,0
1472769682,256,0
1472770322,28,0
1472770857,115,0
1472771992,256,0
1472772656,1,0
1472772721,6,14
1472773200,343,133
1472773283,256,1280
1472774163,119,1
1472774611,4,1025
1472775083,511,0
1472776251,1,0
1472776800,24,0
1472776886,256,512
1472777400,125,0
1472778002,9,10
1472778686,1022,1280
1472779998,1534,1275
1472781000,150,0
1472781845,0,512
1472782665,255,0
1472783179,3,0
1472784000,38,2
1472784076,256,256
1472784600,127,0
1472785684,1,1282
1472785882,768,0
1472787058,0,2374
1472787122,9,13
1472787600,42,0
1472787679,767,0
1472788200,126,0
1472789524,257,1024
1472790666,6,512
1472791200,36,0
1472791289,1279,0
1472791800,207,0
1472793082,1024,0
1472794266,0,1792
1472794801,70,0
1472794886,256,0
1472795400,145,0
1472795989,4,3
1472796065,1,0
1472796679,511,1023
1472797203,0,1
1472797574,4,0
1472798400,79,2
1472798485,512,1280
1472799000,111,0
1472800279,0,255
1472801044,1,0
1472801464,0,2302
1472801521,11,15
1472802000,2,0
1472802082,512,0
1472802600,128,0
1472803888,512,0
1472804883,4,0
1472805061,0,512
1472805600,45,1
1472806200,89,0
1472806861,1,2
1472806864,5,2
1472807484,1280,1536
1472808733,1,2
1472809200,17,513
1472809277,256,0
1472809800,113,0
1472811081,0,1024
1472812274,6,0
1472812564,0,1
1472812800,39,2
1472812874,256,1023
1472813400,106,0
1472814063,2,0
1472814728,1793,768
1472815922,9,17
1472816405,1,2
1472816526,311,512
1472817000,75,0
1472818336,768,3582
1472819276,10,0
1472820600,187,0
1472821256,1024,0
1472822400,1536,1789
1472823060,258,767
1472824086,323,2
1472824202,136,0
1472824863,0,256
1472825873,512,0
1472826497,6,0
1472827181,3,2
1472827200,24,3
1472827926,769,512
1472828465,119,1022
1472829977,0,2173
1472830322,6,9
1472830800,43,0
1472830936,256,512
1472831764,140,0
1472832678,1280,1536
1472833200,6,0
1472834400,42,1024
1472834484,256,0
1472835000,122,0
1472836279,0,512
1472837458,0,512
1472837978,0,4
1472838000,31,0
1472838144,512,0
1472838600,132,0
1472839443,2,0
1472839920,256,2560
1472840795,1,0
1472841600,50,1
1472841792,512,255
1472842200,120,0
1472843284,0,514
1472843485,1280,0
1472844850,519,1288
1472845362,34,0
1472845800,133,0
1472847124,256,766
