DateTime,Entries,UniqueIPs
1472974203,90030,9585903
1472974804,90116,9585996
1472975068,90109,9585989
1472975407,90129,9586006
1472975709,90047,9585924
1472976303,90045,9585922
1472976996,90037,9585901
1472977203,90040,9585904
1472977805,90035,9585898
1472978404,90058,9585933
1472978908,90054,9585926
1472979010,90007,9585879
1472979603,90047,9585919
1472980209,89998,9585862
1472980828,89958,9585824
1472981403,89959,9585825
1472982012,86716,9582348
1472982748,89916,9585775
1472983203,89921,9585780
1472983805,89918,9585779
1472984404,89875,9585735
1472984653,89873,9585733
1472985004,89912,9585772
1472985604,89991,9585855
1472986206,89950,9585815
1472986578,89950,9585815
1472986804,89944,9585811
1472987405,90043,9585900
1472987707,89990,9585845
1472988506,90033,9585889
1472988903,90032,9585891
1472989507,89952,9585814
1472990103,89914,9585776
1472990461,89910,9585771
1472991003,89947,9585799
1472991602,89948,9585799
1472992354,89884,9585722
1472992811,89889,9585732
1472993405,89982,9585825
1472994004,89980,9585825
1472994268,89972,9585818
1472994491,89972,9585818
1472994607,89900,9585738
1472995205,89852,9585689
1472995802,89852,9585690
1472996189,89851,9585690
1472996705,89805,9585637
1472997302,89850,9585682
1472998144,89795,9585628
1472998503,89797,9585631
1472999103,89786,9585615
1472999405,89747,9585576
1473000033,89789,9585640
1473000605,89764,9585617
1473001204,89765,9585617
1473001953,89589,9585427
1473002104,89584,9585422
1473002408,89484,9585319
1473003003,89477,9585310
1473003307,89419,9585239
1473003861,89415,9585235
1473003907,89326,9585140
1473004503,89323,9585138
1473005106,89277,9585093
1473005792,89261,9585079
1473006307,89250,9585073
1473006905,89207,9585028
1473007708,89199,9585018
1473008106,89121,9584940
1473008668,89190,9585009
1473008703,89186,9585006
1473009387,89145,9584968
1473009615,89130,9584952
1473009906,89099,9584919
1473010504,89085,9584905
1473011106,89009,9584827
1473011539,89001,9584818
1473011705,89069,9584885
1473012303,89047,9584860
1473012908,88936,9584733
1473013453,88936,9584733
1473013504,88965,9584772
1473014103,88972,9584780
1473014410,88807,9584615
1473015004,88806,9584614
1473015372,88805,9584614
1473015906,88729,9584534
1473016505,88670,9584470
1473017308,88672,9584471
1473017406,88604,9584400
1473018003,88599,9584394
1473018603,88596,9584393
1473019265,88549,9584346
1473019503,88548,9584345
1473020103,88550,9584347
1473020405,88581,9584400
1473021152,88578,9584399
1473021604,88558,9584371
1473022205,88555,9584368
1473022507,88511,9584324
1473023063,88510,9584322
1473023103,88507,9584314
1473023405,88608,9584416
1473024060,88566,9584374
1473024603,88568,9584375
1473024991,88565,9584370
1473025206,88541,9584344
1473025508,88463,9584266
1473026105,88413,9584204
1473026909,88415,9584209
1473027306,88383,9584178
1473027903,88409,9584204
1473028206,88365,9584159
1473028824,88369,9584164
1473029406,88326,9584121
1473029709,88232,9584015
1473030303,88231,9584015
1473030745,88230,9584013
1473030904,88233,9584016
1473031503,88191,9583976
1473032106,88153,9583938
1473032658,88153,9583939
1473032704,88149,9583934
1473033305,88179,9583987
1473033903,88180,9583988
1473034587,88173,9583980
1473035103,88173,9583982
1473035407,88133,9583942
1473036005,88068,9583868
1473036506,88073,9583872
1473036604,88071,9583867
1473037203,88072,9583870
1473037506,88068,9583866
1473038106,88003,9583797
1473038417,88007,9583801
1473038706,88037,9583849
1473039303,88040,9583852
1473039902,88040,9583852
1473040341,88038,9583850
1473040803,88038,9583849
1473041403,88027,9583840
1473042004,88025,9583838
1473042258,88031,9583845
1473042604,88033,9583848
1473043203,88030,9583845
1473043803,88028,9583843
1473044178,88022,9583838
1473044402,88022,9583838
1473045002,88028,9583844
1473045305,87989,9583805
1473046109,87985,9583802
1473046504,88004,9583824
1473047104,87972,9583796
1473047703,87971,9583792
1473048064,87968,9583788
1473048305,87939,9583744
1473048903,87935,9583741
1473049206,87893,9583697
1473049947,87886,9583690
1473050106,87857,9583659
1473050704,87855,9583657
1473051303,87839,9583641
1473051861,87839,9583642
1473051903,87844,9583646
1473052342,87909,9583711
1473052502,87906,9583709
1473053303,87872,9583675
1473053703,87879,9583682
1473054005,87912,9583726
1473054752,87903,9583716
1473055205,87864,9583672
1473055803,87970,9583798
1473056406,87908,9583728
1473056657,87899,9583719
1473057003,87888,9583706
1473057604,87881,9583695
1473058207,87818,9583625
1473058581,87814,9583620
1473058803,87807,9583613
1473059403,87785,9583587
1473060004,87738,9583539
1473060502,87739,9583540
1473060603,87734,9583537
1473061206,87661,9583462
1473061803,87594,9583386
1473062468,87649,9583457
1473063003,87646,9583454
1473063306,87601,9583409
1473063903,87607,9583415
1473064336,87600,9583408
1473064504,87606,9583418
1473065103,87607,9583421
1473065704,87567,9583381
1473066546,87560,9583378
1473066902,87559,9583379
1473067204,87559,9583379
1473067952,87551,9583363
1473068438,87541,9583353
1473068705,87500,9583309
1473069303,87496,9583305
1473069903,87493,9583305
1473070346,87488,9583300
1473070502,87486,9583296
1473070804,87512,9583321
1473071404,87554,9583363
1473072003,87492,9583296
1473072255,87484,9583286
1473072603,87483,9583285
1473073203,87476,9583277
1473073806,87374,9583167
1473074175,87376,9583168
1473074404,87331,9583125
1473075002,87327,9583121
1473075303,87326,9583121
1473076106,87318,9583110
1473076502,87323,9583117
1473077105,87285,9583078
1473077703,87294,9583085
1473078025,87294,9583085
1473078303,87293,9583084
1473078904,87376,9583177
1473079505,87337,9583141
1473079938,87328,9583130
1473080168,87274,9583087
1473080703,87274,9583087
1473081303,87349,9583173
1473081850,87352,9583177
1473081903,87355,9583179
1473082582,87352,9583176
1473083103,87349,9583173
1473083778,87305,9583130
1473084304,87305,9583129
1473084903,87308,9583130
1473085703,87309,9583131
1473086106,87243,9583044
1473086703,87320,9583133
1473087303,87439,9583276
1473087657,87436,9583273
1473087903,87437,9583275
1473088503,87515,9583368
1473089102,87513,9583363
1473089536,87506,9583356
1473089702,87559,9583409
1473090303,87617,9583466
1473090604,87608,9583456
1473091205,87720,9583569
1473091708,87728,9583577
1473091804,87814,9583664
1473092406,87839,9583682
1473093004,87879,9583726
1473093626,87966,9583827
1473094203,88033,9583894
1473094505,88028,9583890
1473095103,88174,9584035
1473095542,88182,9584043
1473095705,88363,9584224
1473096023,88454,9584315
1473096305,88541,9584403
1473096902,88545,9584407
1473097222,88547,9584409
1473097450,88551,9584410
1473097805,88641,9584496
1473098113,88569,9584423
1473098707,88566,9584421
1473099380,88568,9584426
1473099906,88563,9584422
1473100504,88595,9584467
1473101300,88592,9584466
1473101705,88628,9584501
1473102304,88705,9584593
1473102903,88703,9584592
1473103208,88709,9584593
1473103803,88802,9584686
1473104403,88800,9584683
1473105141,88802,9584686
1473105603,88796,9584679
1473106203,88792,9584675
1473106808,88828,9584699
1473107050,88824,9584694
1473107403,88817,9584684
1473108004,88811,9584677
1473108605,88767,9584633
1473108974,88765,9584631
1473109203,88758,9584618
1473109807,88663,9584523
1473110404,88659,9584519
1473110895,88663,9584525
1473111003,88756,9584616
1473111602,88757,9584617
1473111854,88758,9584618
1473112203,88755,9584615
1473112871,88751,9584611
1473113103,88739,9584599
1473113703,88738,9584596
1473114305,88803,9584660
1473114740,88814,9584672
1473114905,88910,9584768
1473115504,88900,9584757
1473116104,88902,9584757
1473116658,88904,9584760
1473116703,88901,9584757
1473117005,88993,9584851
1473117604,89086,9584945
1473118202,89087,9584944
1473118585,89091,9584948
1473118804,89063,9584918
1473119405,89011,9584853
1473120002,89011,9584858
1473120544,89015,9584862
1473120904,89002,9584849
1473121502,89124,9584981
1473122368,89126,9584984
1473122702,89119,9584977
1473123304,89115,9584969
1473123849,89116,9584971
1473124356,89110,9584965
1473124804,89280,9585154
1473125107,89224,9585085
1473125704,89220,9585080
1473126256,89221,9585081
1473126498,89266,9585126
1473126902,89264,9585124
1473127502,89266,9585125
1473128183,89258,9585115
1473128703,89256,9585112
1473129303,89260,9585115
1473130103,89252,9585107
1473130204,89250,9585104
1473130803,89239,9585088
1473131106,89282,9585131
1473132028,89267,9585115
1473132306,89300,9585155
1473132903,89273,9585123
1473133503,89462,9585312
1473133941,89465,9585316
1473134104,89537,9585380
1473134705,89513,9585356
1473135304,89508,9585356
1473135853,89513,9585360
1473135903,89514,9585359
1473136503,89516,9585360
1473137103,89506,9585348
1473137781,89498,9585341
1473138303,89489,9585333
1473138903,89486,9585323
1473139713,89542,9585379
1473140103,89540,9585377
1473140703,89512,9585344
1473141137,89512,9585344
1473141303,89523,9585363
1473141661,89523,9585363
1473141903,89525,9585365
1473142208,89424,9585244
1473142804,89422,9585241
1473143544,89509,9585323
1473144004,89499,9585308
1473144603,89494,9585303
1473145203,89572,9585391
1473145452,89571,9585389
1473145803,89579,9585398
1473146403,89690,9585564
1473147003,89693,9585567
1473147387,89685,9585560
1473147603,89680,9585555
1473148203,89680,9585552
1473148506,89626,9585485
1473149303,89644,9585502
1473149703,89635,9585493
1473150303,89637,9585495
1473150905,89612,9585467
1473151223,89612,9585466
1473151503,89605,9585459
1473151805,89597,9585447
1473152403,89592,9585441
1473153143,89583,9585433
